first_name,last_name,personal_number,birthdate,address,county,phone_number,mac_address,ip_address,iban
Iancu,Stan,7651129058767,1951-05-11,"Aleea Barbu, Pancota, 810259",Gorj,0728 717 397,e7:03:2a:f7:48:69,140.52.5.108,RO50QXPZ3808265488509929
Pompilia,Nistor,4531202089184,1922-11-24,"Strada Gheorghiu Nr. 53, Targu Frumos, 207494",Hunedoara,0257 279 795,96:35:7a:17:95:27,116.226.136.164,RO39SFFF2607167044476759
Andrian,Diaconescu,2331012336604,2018-03-09,"Soseaua Dobre Nr. 71, Moldova Veche, 828640",Iași,0722 153 734,6d:c3:2c:4c:33:1a,112.120.30.154,RO27EBEN8888503595917224
Crenguța,Popescu,5210928012429,1964-04-17,"Strada Estera Tabacu, Negresti, 363994",Galați,0759 761 110,9b:38:83:c5:83:88,199.94.13.88,RO18XLPN9004989992340705
Răducu,Stan,7070903182286,1915-06-05,"Drumul Ioniță, Afumati, 929995",Cluj,0727 927 287,95:6d:ec:d7:d5:1b,89.91.75.217,RO47UYMD3425777684310399
Marina,Diaconu,2730302142103,1957-08-18,"Bulevardul Preda Nr. 146, Sighetu Marmatiei, 903271",Harghita,0235 973 507,24:0f:b1:0e:4f:78,19.110.12.200,RO47CKIK6023563265141506
Ioan,Albu,2110216370088,1911-05-22,"Drumul Mocanu, Bocsa, 151145",Alba,0734 343 779,10:4c:2d:eb:3a:12,70.150.170.224,RO88YITV7736858068677872
Ludmila,Dobre,2551006092451,1996-05-22,"Strada Sorina Dinu Nr. 441 Bl. 56  Sc. 13 Ap. 760, Corund, 755743",Hunedoara,0747 491 077,9a:54:a2:83:64:68,175.98.169.68,RO06UKMQ7526028094040320
Sonia,Toma,7201017512435,1912-05-12,"Intrarea Dumitra Dochioiu, Gura Humorului, 969882",Vâlcea,0785 322 077,f7:9d:c6:72:d6:1a,192.248.89.22,RO35LFTN8940642110683979
Saveta,Toma,1121225269509,1940-05-20,"Strada Barbu Nr. 112 Bl. 35  Sc. 89 Ap. 379, Caracal, 191966",Caraș Severin,0759 735 811,24:11:08:21:9e:c1,114.222.234.211,RO79KQAZ8873606107599838
Arsenie,Diaconescu,8120518151292,1987-06-04,"Drumul Marioara Tudor, Tufesti, 450593",Bistrița-Năsăud,0238 088 720,75:07:d3:91:98:3c,116.194.145.170,RO66JPEF1366656089465358
Vlădelina,Diaconu,8750312013111,1959-04-08,"Drumul Sabin Tudor, Boldesti-Scaeni, 336252",Brăila,0240 853 198,fb:6c:38:e9:ec:62,200.60.117.122,RO87MHLV3679622520949328
Emil,Gheorghiu,3801201318855,1924-06-05,"Aleea Bianca Ionescu Nr. 91 Bl. 75  Sc. 30 Ap. 527, Vicovu de Sus, 158565",Galați,0750 174 000,81:f3:53:c2:64:51,152.129.84.188,RO51XVDG8696014675858451
Haralamb,Diaconu,2320407346672,1985-11-21,"Soseaua Diaconescu Nr. 30 Bl. 43  Sc. 18 Ap. 246, Tufesti, 442187",Covasna,0234 526 717,a2:15:e6:0f:f7:be,70.169.106.250,RO28YPGP2463279895621847
