first_name,last_name,personal_number,birthdate,address,phone_number,mac_address,ip_address,iban,currency
Edgar,Manole,7940522241649,1944-07-24,"Intrarea Diaconu Nr. 77 Bl. 99  Sc. 25 Ap. 603, Covasna, 548634",0257 317 262,a2:72:2c:89:cd:9a,170.20.222.120,RO78ZFVU2750041581331712,LKR
Teodor,Nistor,4670225099584,1953-05-20,"Drumul Olga Florea Nr. 520, Targu Neamt, 494860",0750 306 466,c7:96:47:05:f3:db,66.39.140.66,RO09OUKH1972499769699237,PEN
Francisc,Dochioiu,6750112248047,1978-07-07,"Aleea Caterina Ardelean Nr. 88, Dragasani, 396206",0268 128 003,d4:4a:6a:e8:43:cb,10.101.141.191,RO89MQMK9543174144712743,SBD
Ecaterina,Dumitrescu,6010128208579,1979-02-14,"Strada Beatrice Mocanu, Rosu, 529979",0726 822 723,0f:5e:83:5b:28:84,166.89.126.6,RO83XVHD2831710198347777,SVC
Florentin,Georgescu,7550425168649,1982-11-11,"Drumul Ghenadie Aanei, Macin, 113221",0256 914 225,11:c0:ce:c5:33:4d,72.69.51.21,RO89NTRT7996405912581194,NIO
Alexandru,Diaconescu,3670109375484,2015-09-21,"Aleea Eftimie Nr. 62, Iasi, 983395",0268 799 037,d2:5a:98:13:6b:4f,159.138.139.133,RO83KTHR3237883091114470,AMD
Vasilică,Ionescu,2120915430279,1957-09-27,"Strada Vasile Stan Nr. 55 Bl. 80  Sc. 82 Ap. 252, Constanta, 939998",0731 162 684,a4:38:08:23:dc:4e,220.208.85.85,RO73ZRAF6192927296506438,KPW
Tiberiu,Ioniță,4780321347024,1977-09-06,"Aleea Nemeș Nr. 606, Draganesti-Olt, 310964",0735 832 603,63:66:ae:16:23:ab,153.70.207.192,RO56EMAO6437802008618014,TWD
Cezar,Popescu,8130915087068,2005-04-16,"Strada Ducu Nistor Nr. 938 Bl. 79  Sc. 78 Ap. 606, Targoviste, 275901",0758 273 915,8e:bb:bb:c6:89:76,201.38.198.199,RO54TPOU6222898388557774,CUP
Izabela,Dochioiu,2030910026096,1931-12-20,"Bulevardul Dima Nr. 559 Bl. 97  Sc. 17 Ap. 459, Fundeni, 170469",0727 347 572,fe:67:d3:4b:b2:36,160.65.97.250,RO92MYVD6097610733210201,GYD
