first_name,last_name,personal_number,birthdate,address,county,phone_number,mac_address,ip_address,job
Sebastian,Oprea,1310809236638,1913-12-20,"Bulevardul Cristea Nr. 23 Bl. 13  Sc. 10 Ap. 160, Diosig, 682827",Constanța,0232 455 257,10:e4:c9:e1:47:28,140.41.169.93,Operator Masini Insacuire Pentru Fabrica De Ciment
Monalisa,Gheorghiu,5150827521822,1957-02-07,"Drumul Tudorița Diaconescu, Baraolt, 774384",Harghita,0232 849 048,29:35:8e:10:ca:ec,8.57.68.27,Designer Floral
Coralia,Stan,6411120275851,2005-03-14,"Drumul Adam Cristea, Rosu, 103480",Suceava,0754 009 663,d1:9f:91:c6:a1:30,50.41.230.7,Inspector De Risc
Aurica,Ionescu,1000129127134,1923-07-23,"Soseaua Ioniță, Calarasi, 903941",Bistrița-Năsăud,0755 304 251,87:63:fd:28:0d:32,129.184.229.24,Inginer De Cercetare In Centrale Hidroelectrice In Ingineria Mediului
Anișoara,Dinu,6581007526218,2012-10-29,"Drumul Dochioiu, Floresti, 122195",Gorj,0750 666 454,0a:12:c1:82:c1:f8,97.163.29.79,Mecanizator (Muncitor Portuar
Marilena,Mazilescu,1030330099567,1967-11-11,"Drumul Sandu Stănescu Nr. 70, Bailesti, 739686",Teleorman,0248 261 708,fe:02:f0:31:b2:dd,168.17.169.213,Electronist Telecomunicatii
Viorica,Tudor,2620414318902,1930-10-10,"Soseaua Aanei Nr. 48, Dej, 624697",Bacău,0239 976 858,f5:05:bb:30:d7:73,43.230.39.109,Tehnician Devize Si Masuratori In Constructii
Lili,Voinea,6080230032567,2001-02-27,"Soseaua Gheorghiu Nr. 234 Bl. 86  Sc. 25 Ap. 838, Pancota, 980259",Bihor,0730 578 358,5e:ce:05:a7:21:d2,92.160.224.0,"Inginer De Cercetare In Constructii De Cai Ferate, Drumuri Si Poduri"
Jean,Aanei,7570109345643,1920-03-21,"Bulevardul Cosmin Marin Nr. 26 Bl. 28  Sc. 17 Ap. 699, Odorheiu Secuiesc, 395474",Sălaj,0268 796 245,61:83:3a:25:df:2b,134.202.67.77,Audiolog
Gabriela,Stănescu,2981208158854,1976-11-01,"Intrarea Octaviana Toma, Feldru, 736654",Argeș,0766 781 209,8e:32:14:1f:18:5c,34.18.206.169,Mestesugar Cenuseritor
Adam,Albu,8691209305889,1917-03-06,"Strada Ozana Stoica, Simeria, 512698",Botoșani,0240 301 186,1f:50:be:a2:5f:b5,28.9.151.75,Epurator Gaze
Mădălina,Nemeș,2920120275044,1926-01-21,"Soseaua Șerban Tomescu Nr. 78 Bl. 82  Sc. 74 Ap. 493, Vladimirescu, 206891",Galați,0749 992 708,eb:68:6b:33:be:21,31.81.248.10,Pregatitor Hartie Fotosensibila
Adela,Diaconu,1211220035062,2024-02-13,"Aleea Șerban Cristea Nr. 11, Valea lui Mihai, 629524",Călărași,0231 143 659,d8:38:1c:b7:e4:c4,60.17.62.131,Referent De Specialitate In Justitie
Laurenția,Oprea,4880323033570,1988-05-07,"Drumul Manole, Slatina, 328779",Vaslui,0759 470 431,b4:1d:67:cd:ca:45,129.99.13.195,Agent Comercial
Ducu,Mocanu,7371216133837,2012-06-08,"Aleea Daria Tudor Nr. 87 Bl. 77  Sc. 39 Ap. 648, Ocna Mures, 818803",Gorj,0238 538 006,d6:cf:ac:6b:38:66,17.166.201.200,Inspector Veterinar Sef
Corina,Ionescu,2410219157906,1993-10-25,"Strada Albu Nr. 60, Viseu de Sus, 428654",Brașov,0742 825 255,8d:1b:40:46:0b:a9,212.168.18.215,"Confectioner Obiecte Din Os, Scoica, Mica Etc."
Horia,Florea,7670821379467,1929-12-10,"Bulevardul Diaconu, Cornetu, 529605",Suceava,0268 295 352,5e:c0:4d:48:81:86,123.245.58.35,Asistent De Cercetare In Filatura-Tesatorie
Eftimia,Barbu,6910131127140,2008-03-09,"Strada Dumitrescu Nr. 19, Prejmer, 715886",Mehedinți,0761 467 610,0f:8e:a8:09:e3:ca,83.243.137.170,Confectioner Gamalii Chibrituri
Stela,Dobre,7611226103283,1992-05-07,"Bulevardul Bianca Manole Nr. 192 Bl. 27  Sc. 40 Ap. 591, Vlahita, 484810",Timiș,0242 635 169,55:95:51:1b:25:87,178.195.232.125,Operator In Domeniul Proiectarii Asistate Pe Calculator
Olimpiu,Stoica,2570809526080,1943-11-28,"Strada Ioan Marin Nr. 586, Lupeni, 352064",Cluj,0768 700 108,00:ec:fd:51:87:07,49.69.141.138,Turnator Formator
Mircea,Mocanu,5050507056910,1956-03-11,"Soseaua Olivia Dochioiu, Fieni, 477746",Bacău,0769 857 168,7b:2b:f7:45:7d:df,115.29.146.121,Cercetator In Biotehnologie Pentru Agricultura
Brândușa,Stănescu,7600813427595,2003-02-06,"Soseaua Axinte Stancu Nr. 360 Bl. 92  Sc. 57 Ap. 169, Avrig, 745863",Maramureș,0246 182 437,c6:c1:ea:15:2d:26,189.87.73.216,Inspector De Specialitate Inginer Tehnologia Celulozei Si Hartiei
Profira,Aanei,8871209351526,1970-02-11,"Drumul Basarab Pop Nr. 166, Tasnad, 388227",Bihor,0264 254 250,cb:84:78:a6:a6:c3,2.71.40.16,"Sef Serviciu Statie, Tura Meteo"
Costel,Voinea,6440928272148,1912-06-15,"Aleea Martin Dumitrescu Nr. 84 Bl. 21  Sc. 45 Ap. 596, Slobozia, 768914",Buzău,0762 090 065,6f:0a:5c:05:8f:cf,195.27.116.76,Sef Serviciu Industrie Extractiva
Haralamb,Dumitrescu,7320615411584,1917-12-23,"Drumul Monalisa Mazilescu Nr. 94 Bl. 22  Sc. 19 Ap. 974, Rosiori de Vede, 537423",Bistrița-Năsăud,0735 218 968,9c:1d:ae:b8:ee:05,186.109.36.21,Preparator La Produse Explozive
Alistar,Nistor,7960527016727,1971-05-18,"Intrarea Niță Nr. 92, Roman, 258521",Ialomița,0722 140 804,78:fb:cf:44:d9:3c,20.118.239.156,Inginer Economist
Monalisa,Toma,6231205119818,1933-12-05,"Intrarea Larisa Aanei Nr. 648, Fundulea, 825880",Hunedoara,0236 418 804,a9:e6:17:eb:e2:b7,156.15.181.59,Proiectant Inginer In Minerit
Antoaneta,Dima,6701119435288,1973-06-27,"Aleea Victor Tomescu, Agnita, 489482",Ilfov,0244 017 654,e2:99:0f:cc:cc:90,80.67.164.251,Schelar
Ileana,Voinea,3170531038628,2004-05-21,"Intrarea Ilarion Tomescu, Ineu, 324952",București,0249 711 196,5d:51:a0:79:10:86,152.37.141.156,Actuar
Teodosia,Diaconescu,8310331360587,1965-11-11,"Bulevardul Stancu, Greci, 815540",Mehedinți,0720 277 052,f8:49:b2:52:ab:b4,120.29.84.248,Confectioner Cablaje Auto
Minodora,Eftimie,7100405284231,1935-11-20,"Strada Luiza Stancu, Siria, 666155",Maramureș,0770 095 213,d0:22:8d:d2:64:2b,85.152.233.224,Operator La Masina De Gravat Si Decupat Cu Laser
Janeta,Tabacu,7170605314908,2002-09-01,"Drumul Agripina Pușcașu Nr. 55, Modelu, 246809",Ialomița,0766 735 251,6d:d4:fd:2c:f8:13,36.97.168.225,Cercetator In Geofizica
Ivan,Dinu,2760603013705,1950-12-05,"Intrarea Gheorghiu Nr. 99, Pascani, 602389",Prahova,0765 402 404,b5:f2:cd:9f:7c:ed,118.236.107.25,Tehnician Silvic 
Cleopatra,Dinu,5841102384205,1941-07-28,"Aleea Diaconescu Nr. 235 Bl. 76  Sc. 74 Ap. 230, Saveni, 942966",Galați,0784 428 183,62:32:0a:01:04:a8,142.98.129.133,Curbator Lemn
Smaranda,Eftimie,5180815023501,1984-04-04,"Aleea Ene Nr. 52 Bl. 82  Sc. 74 Ap. 447, Gheorgheni, 543862",Vâlcea,0741 381 239,a6:fd:61:2b:05:57,214.34.132.60,Fasonator-Uscator Furnire
Mariana,Pușcașu,2480817464964,2015-09-06,"Drumul Ababei Nr. 15, Videle, 954599",Brăila,0784 515 268,3d:3b:d1:aa:66:9c,146.18.99.173,Tehnician Machetist
Sânziana,Florea,8710819074144,2015-08-02,"Strada Niță, Pecica, 647426",Călărași,0726 733 008,ad:d1:e3:3c:22:1e,138.195.101.17,Asistent De Cercetare In Ingineria Proceselor Siderurgice
Estera,Ardelean,1660713057008,1941-05-12,"Soseaua Dinu Nr. 889 Bl. 29  Sc. 54 Ap. 215, Bosanci, 361129",Olt,0785 637 496,d0:9e:21:c8:a0:cf,98.61.157.107,Tricoter Manual
Raluca,Ardelean,2550920069385,1968-03-24,"Strada Preda Nr. 222 Bl. 14  Sc. 55 Ap. 873, Copsa Mica, 830163",Constanța,0738 529 679,95:db:33:2a:8c:51,93.206.130.105,Asistent De Cercetare In Autovehicule Rutiere
Izabela,Georgescu,8221220113651,1913-11-16,"Drumul Nemeș Nr. 956, Salonta, 915424",Ilfov,0256 156 680,a3:59:d6:2f:a4:01,54.84.178.37,Operator La Masina De Laminat
Leonard,Eftimie,5390211044776,1998-02-15,"Aleea Gheorghiu Nr. 69 Bl. 64  Sc. 74 Ap. 786, Marghita, 253207",Tulcea,0732 580 068,85:a7:a3:6c:91:ab,171.122.254.219,Dirijor Cor
Eremia,Marin,7710131161025,2002-02-16,"Bulevardul Dinu Nr. 97, Tulcea, 461811",Giurgiu,0740 599 128,0b:3a:78:bf:e3:34,111.225.235.66,Confectioner Jaluzele
Ionuț,Ene,4470618448677,1931-09-10,"Drumul Ștefan Cristea Nr. 298, Gugesti, 215274",Constanța,0269 046 482,52:07:f7:f3:5a:f1,108.9.9.217,Operator Portuar Expeditor
Augustin,Popescu,2550412520683,1945-05-10,"Strada Stancu Nr. 47, Miercurea-Ciuc, 857281",Buzău,0722 447 706,4a:21:fb:5c:a1:d0,161.217.211.170,Manager In Domeniul Sigurantei Alimentare
Ionela,Nemeș,3950201098911,1970-05-05,"Bulevardul Diaconescu Nr. 218 Bl. 78  Sc. 94 Ap. 190, Buzau, 596443",Ialomița,0758 578 035,0c:0b:a4:b3:79:e8,38.222.51.27,Operator Batirator Fire
Albertina,Aanei,3860126257080,1994-06-26,"Drumul Cristea, Pogoanele, 321514",Maramureș,0235 055 529,36:67:34:0d:d9:6a,23.59.188.41,Referent/Inspector In Serviciile De Trafic Aerian
Bucur,Ioniță,6790418069917,1931-06-16,"Bulevardul Georgiana Popescu Nr. 47, Fetesti-Gara, 530235",Neamț,0262 262 356,63:f2:ef:46:7d:ab,57.6.236.159,Decupator Lamele Din Lemn Pentru Lazi
Flora,Dima,2950502101483,1932-09-20,"Intrarea Bianca Dima Nr. 771, Fundeni, 436290",Giurgiu,0766 512 552,7e:3d:3d:91:f6:16,174.43.149.29,Preparator La Produse Explozive
