first_name,last_name,personal_number,birthdate,county,address,phone_number,job,iban,currency,balance,latitude,longitude
Axinte,Popescu,1340506452090,2004-07-31,Tulcea,"Intrarea Marin Nr. 13, Sancraiu de Mures, 919217",0757 003 961,Conducator Autotrailer,RO12HEUR8390110534511371,TRY,61503224491,-29.917267,137.208854
Ciprian,Nistor,3120624079130,1976-10-13,Prahova,"Bulevardul Ruxanda Ababei, Cluj-Napoca, 951633",0766 412 221,Specialist In Managementul Deseurilor,RO94RCUY4095449505998835,MAD,86617589364,54.9063695,-144.428621
Ducu,Tabacu,1420110367927,1929-06-14,Prahova,"Aleea Stănescu, Nadlac, 225072",0237 209 327,Confectioner Fitile,RO79BTOB2131764633759502,DOP,4050540674,87.2016375,58.889374
Raul,Nistor,2351122102230,1927-06-07,Bacău,"Intrarea Ababei, Giarmata, 269232",0785 429 764,Tamplar Universal,RO79HDNP5004129727758527,XDR,12411116711,62.502998,89.112060
Bebe,Ene,1060518262716,2000-10-30,Covasna,"Intrarea Tomescu, Jilava, 284789",0743 608 254,Slefuitor/ Sablator Geam,RO43GCEY5331234805467636,MGA,46553211317,-80.4042655,-113.766216
Gabriela,Popa,8780116096285,1908-10-26,Iași,"Drumul Adelina Oprea Nr. 92 Bl. 69  Sc. 79 Ap. 624, Copsa Mica, 724333",0235 869 849,Sef Departament Organizatie Sindicala,RO41UQMG3060142809693272,CZK,23903717142,-51.015534,113.024732
Bianca,Georgescu,5560128173542,1929-04-22,Ilfov,"Bulevardul Mocanu, Moisei, 668547",0253 158 968,Sef Centru National De Telecomunicatii Aeronautice Aviatie Civila,RO44HOLF6405277728641460,KGS,61545459334,-55.9322385,-111.677868
Cipriana,Aanei,1471008069059,1979-07-22,Hunedoara,"Bulevardul Heracleea Nistor Nr. 413 Bl. 80  Sc. 70 Ap. 662, Savinesti, 808602",0259 690 725,Tehnician Agronom ,RO11SXKJ1337054525944771,RUB,66258433485,61.519427,85.641862
Jeana,Niță,2001226347857,2009-08-05,Tulcea,"Drumul Dinu Nr. 368 Bl. 35  Sc. 63 Ap. 714, Orsova, 162593",0788 428 276,Cercetator In Stiintele Politice,RO15KSCG5569178474839296,BYR,32305252315,-60.102144,165.509807
Alexandru,Stoica,3270208327251,1944-02-13,Neamț,"Intrarea Tomescu, Rosiori de Vede, 858325",0240 072 646,Cercetator In Constructii Hidrotehnice,RO06PUAY4848156350147015,TOP,56210958132,6.1335735,161.921971
Sanda,Cristea,7091206287028,1994-10-22,Vrancea,"Intrarea Popescu Nr. 52 Bl. 51  Sc. 60 Ap. 631, Botosani, 252659",0736 106 844,Inginer De Cercetare In Confectii Din Piele Si Inlocuitori,RO39YVMA4910592286858235,SVC,80653715430,44.3500115,64.003431
Valentin,Suciu,5540815177027,1928-03-03,Bistrița-Năsăud,"Aleea Preda Nr. 316, Corabia, 259897",0742 679 580,Distilator La Prelucrarea Titeiului,RO14IYPW2207693322186856,IMP,6605495397,-48.2300645,-104.157730
Ludovic,Dochioiu,5250128382320,1931-01-02,Ialomița,"Intrarea Diaconescu Nr. 85 Bl. 15  Sc. 77 Ap. 783, Sovata, 570844",0767 982 863,Codificator,RO29ZAJM4128399741854799,SRD,20540109000,47.912914,-97.459007
Vicențiu,Stan,6800303115192,1941-09-11,Alba,"Soseaua Evanghelina Gheorghiu Nr. 22 Bl. 71  Sc. 71 Ap. 139, Valu lui Traian, 209693",0741 001 284,"Colector Si Preparator Faina, Sange, Carne, Oase",RO54RTFN4280850635849098,ERN,32376815629,88.450748,-74.951198
Gheorghe,Stancu,6471102463140,1971-04-02,Harghita,"Bulevardul Adela Mazilescu Nr. 979, Constanta, 589393",0253 400 656,Electromecanic Auto,RO13DJFG1023811628076173,XPF,53488272890,51.8691115,-60.390052
Xenia,Marin,4270808283220,1932-12-18,Olt,"Bulevardul Georgescu Nr. 92 Bl. 40  Sc. 44 Ap. 562, Rodna, 328632",0755 209 070,Sef Lectorat,RO93UXNC2880423903686758,VEF,65431811018,60.381531,-102.743192
Geanina,Stancu,4600218037363,1969-07-25,Brașov,"Aleea Georgiana Marin, Baia Sprie, 642284",0249 726 674,Pedichiurist,RO63FVPZ0854980256036236,HNL,96877105901,13.1786335,-74.979794
Romina,Popescu,3030122262998,2009-02-22,Bacău,"Soseaua Georgescu, Marasesti, 106378",0743 870 483,Asistent De Nutritie,RO80CMJI6011313161743245,UZS,99080031533,72.358383,-131.407364
Mariana,Pușcașu,5150508515225,1968-05-26,Mureș,"Aleea Nemeș Nr. 695, Homocea, 963025",0746 836 745,Cercetator In Matematica-Fizica,RO35VHZJ0918122727497404,ARS,6176288060,-70.8238415,-127.225555
Svetlana,Ababei,7280705312013,1953-12-23,Galați,"Aleea Dinu Nr. 634, Odobesti, 616666",0245 593 830,"Montator, Reglor Si Depanator Pentru Aparate De Masura Electrice Si Relee",RO33PGDR9608781609130668,DJF,52117330053,-35.896145,94.898927
Grigore,Stoica,1591116227967,1971-04-07,Caraș Severin,"Aleea Emanuel Barbu, Diosig, 310422",0722 913 889,Director Economic,RO06LQPK1597142369068117,AZN,37508293824,76.7311655,-161.907655
Estera,Oprea,2670622114201,1918-12-21,Sălaj,"Soseaua Iustinian Ene, Sighetu Marmatiei, 698063",021 286 1851,Intretinator Textile-Piele,RO33WCRY3858789616039105,PHP,86674041497,74.662317,-75.778273
Romulus,Ene,1000230396460,1950-01-19,Iași,"Bulevardul Norbert Tomescu Nr. 619 Bl. 99  Sc. 40 Ap. 823, Baicoi, 363083",0745 251 727,"Finisor Textile (Vopsitor, Imprimeur)",RO76FCAB0149696564235494,KHR,8848255473,2.439987,-122.695928
Gregorian,Eftimie,5530125339305,2022-10-17,Ialomița,"Soseaua Arina Albu Nr. 47, Topoloveni, 874197",0760 626 205,Producator Delegat Evenimente De Marketing,RO08WFOG7571425909477812,TRY,87494651778,-51.055278,12.879051
