first_name,last_name,birthdate,personal_number,address,phone_number,job,iban,currency,balance
Adriana,Florea,1930-06-22,1880312277409,"Bulevardul Cosmina Stan Nr. 95, Oradea, 917447",0235 610 464,Director General Adjunct Regie Autonoma,RO44EEBA2864963089692030,MUR,35222345711
Pătru,Marin,2022-03-23,1360810110162,"Bulevardul Mocanu Nr. 24 Bl. 98  Sc. 87 Ap. 957, Ovidiu, 435042",0738 862 472,Operator Responsabil Cu Supravegherea Tehnica A Instalatiilor,RO96XDZI1467465765335610,HNL,80173976619
Emanuela,Suciu,1915-03-01,3300512436056,"Strada Paulina Aanei, Urlati, 569441",0732 647 966,Saluzitor Franghii,RO41XUJX3121088521615551,LSL,28563802906
Niculina,Diaconescu,1948-03-25,4860602428918,"Aleea Diaconescu Nr. 89 Bl. 34  Sc. 70 Ap. 741, Zalau, 409147",0268 790 770,Psiholog In Specialitatea Psihologie Clinica,RO38IVSW2750561799774545,NGN,92611832922
Ștefan,Marin,1970-01-06,5870202346928,"Aleea Eftimie, Deta, 701321",0720 730 107,Cosar,RO52ZQJD7726376819155832,MUR,1308757352
Catinca,Tomescu,2016-01-06,4450625133821,"Aleea Mocanu Nr. 64, Cluj-Napoca, 707859",0727 441 856,Pescar In Mari Si Oceane,RO38EQQH6422504701536671,BWP,19800143450
Nichifor,Ioniță,2015-06-16,1410916029896,"Strada Marin Nr. 96, Vlahita, 477056",0756 803 580,Agent Statie Metrou,RO95QODI5820706141681250,TRY,82656839361
Anghel,Oprea,1947-07-28,8891217327038,"Drumul Albu, Campina, 875581",0780 739 961,Director Braserie,RO84QPLW9029180485103760,SGD,83939096761
Andra,Popa,2007-07-10,5900324413895,"Soseaua Cornel Suciu Nr. 753 Bl. 33  Sc. 92 Ap. 599, Beclean, 391719",0761 818 845,Electrometalurgist,RO42RHLJ3768517468001748,GEL,7271135663
Marcheta,Dobre,2007-06-02,4730103263453,"Soseaua Diaconescu Nr. 73, Ramnicu Valcea, 891345",0748 486 777,Pedagog Scolar,RO95AOPA2590257181412019,BSD,63237581982
Stancu,Dochioiu,1923-11-30,8730901126982,"Bulevardul Savina Tabacu Nr. 254 Bl. 50  Sc. 42 Ap. 895, Hunedoara, 164972",0265 433 423,Asistent De Cercetare In Biotehnologie Pentru Agricultura,RO97IIOV1802567106617754,PEN,3613767808
Nicolaie,Pop,1929-01-08,3690530335699,"Aleea Cipriana Nistor Nr. 20, Titu, 942694",0721 866 461,Referent De Specialitate Forta De Munca Si Somaj,RO67IUAT2114567962328846,SAR,43733998328
Ghenadie,Voinea,1978-11-07,4090807456785,"Strada Pușcașu Nr. 788 Bl. 18  Sc. 69 Ap. 151, Targu Neamt, 161495",0754 441 713,Maistru Mecanic Auto,RO50MVMO8564364746969734,ALL,3298555207
Adi,Gheorghiu,1957-08-25,5360309213419,"Bulevardul Aanei, Targu Secuiesc, 500548",0758 015 621,Sef Lectorat,RO27BIXM8824960406900940,MDL,38711703425
Maria,Stan,1947-07-04,3280206366831,"Aleea Arina Ene Nr. 90, Bailesti, 343835",0232 370 047,Lustragiu,RO56OZPX3085936622663709,INR,41399796304
Zenobia,Stan,2008-11-06,6490526191593,"Intrarea Victoria Tomescu, Bragadiru, 723078",0233 513 825,"Farmacist Sef Sectie, Laborator",RO87ZRTM5026532572277727,MGA,99758923436
Loredana,Dochioiu,2002-12-30,3190410184171,"Drumul Diaconu Nr. 29, Slatina, 814235",0762 300 336,Audiolog,RO02STGY1882434501273950,TTD,60322238232
Relu,Ene,2023-08-28,4660107114410,"Aleea Manole Nr. 433, Segarcea, 984950",0757 462 992,Operator Masini Puitoare,RO73OIXV3645701245573812,IDR,33064154681
Mona,Ardelean,1985-05-18,3170603041772,"Bulevardul Diaconescu Nr. 73, Berceni, 959866",0239 197 133,"Sef Serviciu Organizatie Politica, Obsteasca, Umanitara",RO76KTPT1130327533095324,SRD,29859657883
