first_name,last_name,personal_number,birthdate,address,county,phone_number,mac_address,ip_address,job,iban,currency,balance,latitude,longitude
Caterina,Tabacu,6240529516441,1913-11-08,"Intrarea Adi Stancu, Techirghiol, 520618",Brăila,0726 943 522,ae:73:33:4b:d7:c1,61.204.163.225,Sef Tura Telecomunicatii Aeronautice Aviatie Civila,RO42EQYJ3820686446464703,HRK,74220908422,52.356573,142.449090
Teofil,Niță,5540211448140,1964-11-15,"Soseaua Stănescu Nr. 182 Bl. 12  Sc. 57 Ap. 678, Fieni, 721355",Suceava,0728 701 917,68:d8:74:64:87:63,30.43.128.187,"Asistent De Cercetare In Bacteriologie, Microbiologie, Biochimie, Farmacologie",RO73XIYY7723225010857250,SOS,5021068749,11.647471,122.569118
Delia,Dima,3720731241554,1913-01-12,"Soseaua Anton Dochioiu, Dumbraveni, 177145",Brașov,0788 283 393,fa:fe:f2:74:ae:03,129.236.125.89,"Incasator Si Cititor Contoare De Energie Electrica, Gaze, Apa",RO17LUPU2059355875345140,UGX,92612268656,-15.9564025,160.581063
Timotei,Nistor,7860628315470,1991-09-06,"Strada Dumitrescu Nr. 66, Rasnov Romacril, 769207",Sibiu,0763 414 819,72:bc:33:c8:71:38,125.239.107.12,Inginer De Cercetare In Utilaje Si Instalatii Portuare,RO86PTWY2112899834805439,AFN,21045385892,35.545625,-133.507054
Vasilică,Nistor,3730409354917,1938-01-25,"Strada Pușcașu, Chisineu-Cris, 309100",Dâmbovița,0258 902 800,ac:16:a2:cd:b6:9f,34.6.11.146,Vicepresedinte Institutie Publica,RO37FAYK9996426359775095,NOK,39188979321,66.6269135,98.583917
Domnica,Florea,7691210390931,1992-01-17,"Drumul Oprea, Arad, 851733",București,0264 547 086,70:37:b5:5e:78:66,220.131.249.77,Proiectant Inginer In Zootehnie,RO93OXZH5374871910849213,ZMW,41821915602,88.220844,108.047833
Clementina,Dochioiu,4080702113474,2011-08-26,"Aleea Barbu Nr. 17 Bl. 97  Sc. 38 Ap. 437, Timisoara, 847784",Mureș,0246 577 409,63:79:54:5b:c7:75,52.21.85.62,Poleitor Filiere,RO59XUKQ2387600863611759,XCD,36750381705,30.926184,-86.082101
Minodora,Stănescu,2460728088712,1949-01-15,"Drumul Popa Nr. 69, Urlati, 824833",Covasna,0725 051 184,20:bd:0d:e8:2a:5d,90.179.30.203,Proiectant Inginer In Silvicultura,RO45IIYP5462657956058313,BBD,89646263225,-44.710572,81.330352
Filip,Florea,7870809395062,1934-10-25,"Soseaua Popa Nr. 980 Bl. 54  Sc. 41 Ap. 735, Ianca, 462260",Buzău,0267 404 178,aa:6f:47:22:13:46,39.86.67.247,"Cioplitor-Montator Piatra, Marmura",RO30XABX2348535477838598,IDR,65886193957,50.3505925,-75.325597
Stelian,Stănescu,2460317103081,1948-05-23,"Drumul Toma, Sannicolau Mare, 530518",Neamț,0268 138 597,cb:c4:16:bf:8f:e1,223.239.168.252,"Pregatitor, Montator, Reparator Ite, Cocleti, Lamele, Spete",RO44LFUL0816630701772251,QAR,83243911176,8.268804,-93.758927
Iris,Manole,5150409376466,1989-11-06,"Aleea Simona Dinu Nr. 39, Anina, 888203",Bistrița-Năsăud,0732 239 339,65:72:1f:b5:bd:ba,148.194.3.150,Proiectant Inginer In Silvicultura,RO74BZFC7783957135718529,CAD,97726247759,35.052729,36.129801
Flora,Ioniță,6370917210431,1996-11-26,"Soseaua Eftimie Nr. 551 Bl. 16  Sc. 36 Ap. 418, Pecica, 333547",Maramureș,0729 013 659,53:6d:60:a2:9e:f0,171.3.20.204,Inginer Electromecanic,RO22FGVW6154574187705620,CNY,2404786617,-76.052898,-152.514259
Silvana,Mocanu,3930429317191,1951-05-07,"Soseaua Diaconu, Harsova, 718718",Giurgiu,0240 262 699,99:88:1e:9d:f0:99,112.79.52.34,Director Economic,RO14VLED6298328553350063,LBP,60290635406,-0.7124685,121.123214
Malvina,Tomescu,6120804179030,1972-01-08,"Soseaua Pop, Mangalia, 218500",Brașov,0268 281 073,c0:5f:3b:83:84:3c,143.216.207.136,Tehnician Devizier,RO29BSSX5713409548292253,ALL,16382388611,-24.437010,-109.192613
Antoniu,Stan,2091031208281,1986-08-21,"Bulevardul Domnica Nistor Nr. 28, Ramnicu Valcea, 479830",Cluj,0730 565 286,b3:53:e6:e7:b1:38,45.21.152.99,Confectioner Bastoane Din Pluta,RO87RDUS4753865376541412,PAB,59515349593,-37.597660,97.989144
Iurie,Oprea,6480414329964,1947-03-02,"Strada Gianina Ababei, Alba Iulia, 469201",Vrancea,0744 755 126,4c:cc:1c:11:03:ca,23.185.106.23,Cioban Montan,RO23SWPS8732844931136413,GBP,68333033024,11.954200,-84.139622
Venera,Tudor,3761208523918,1937-08-28,"Drumul Georgescu Nr. 72 Bl. 96  Sc. 28 Ap. 516, Pogoanele, 686939",Caraș Severin,0256 196 603,cb:21:86:ac:a6:39,96.182.153.199,Cercetator In Turnarea Metalelor,RO12XXKR3268389698604541,GMD,8100407357,-59.3132755,127.735919
Laura,Tabacu,4940328386856,1963-11-16,"Soseaua Emanuela Dinu, Targu Ocna, 464164",Galați,0238 077 262,06:1d:02:f4:50:3c,209.112.11.130,Proiectant Inginer Metalurg,RO51NKTL0372276986995541,DKK,76441021245,-41.0669635,-79.033918
Vladimir,Stancu,2860404421012,1982-02-10,"Aleea Dorli Niță Nr. 889, Ocna Mures, 782407",Brăila,0247 022 586,8f:e8:60:9e:5a:6a,117.29.45.118,Instructor Sportiv,RO12AVXG1736862009157392,HUF,1108952359,31.3944215,-89.656133
Stelian,Stoica,2240324263061,1970-10-26,"Intrarea Maria Diaconu Nr. 61 Bl. 85  Sc. 29 Ap. 635, Drobeta-Turnu Severin, 936268",Dâmbovița,0728 463 780,63:92:0a:a1:d0:13,99.226.49.45,Reglor La Masini Pentru Fabricarea Lampilor Electrice,RO93STTS4381008264782440,BGN,27505968015,81.081766,155.787965
Sabina,Stancu,8550311011479,1926-09-09,"Strada Dima Nr. 44 Bl. 70  Sc. 11 Ap. 488, Huedin, 281917",Dolj,0786 334 238,25:9d:0d:16:c2:b0,76.198.21.93,Maistru-Operator La Roboti Industriali,RO70NBSE2762251970167539,HUF,58878402687,28.389685,95.836977
Speranța,Suciu,1510722520802,1960-02-27,"Aleea Popa Nr. 166, Popesti-Leordeni, 157161",Brăila,0239 331 291,c6:cd:f9:7e:4e:83,64.158.100.196,Talpuitor (Confectioner-Reparatii Incaltaminte),RO13DPLC5691944610561536,WST,39612082560,-39.404145,130.823246
Floarea,Nemeș,4270613013022,1910-10-10,"Bulevardul Aura Nemeș Nr. 366, Pascani, 686156",Tulcea,0728 305 559,38:0c:c7:8e:ac:a8,155.28.106.57,Tehnolog Alimentatie Publica,RO91OJPV1982981514480347,BND,57136251149,-71.9914035,70.973598
David,Dima,2620517055568,1953-07-25,"Strada Stan Nr. 41, Bocsa, 949963",Botoșani,0233 094 635,93:7d:42:86:73:13,112.3.189.132,Auditor In Domeniul Sigurantei Alimentare,RO56DEBZ5514490971626202,HUF,98194462286,21.8324325,-129.072822
Mugur,Stoica,2131019043836,2002-03-04,"Aleea Gheorghiu Nr. 201 Bl. 91  Sc. 67 Ap. 552, Sebes, 862606",Vaslui,0269 119 822,81:31:69:de:bf:9d,3.158.206.63,Operator La Fabricarea Produselor Refractare,RO98RBYN7651002638850235,THB,31821506185,4.022454,-92.085569
Norman,Dinu,6750329407346,1952-09-05,"Soseaua Stan Nr. 847, Tulcea, 279641",Vrancea,0745 969 703,03:92:74:3b:99:d7,159.213.166.127,Calugar,RO16TURH0812666627526763,MKD,74151955146,-72.9218675,-14.796898
Dan,Dochioiu,2411129135783,2022-04-27,"Bulevardul Dochioiu Nr. 97, Onesti, 578525",București,0750 047 519,ca:75:dc:91:e5:c2,76.88.170.185,Maistru Fabricarea Armamentului,RO88VAYD8595174725178012,HTG,58588775960,27.7039305,114.049475
Betina,Popa,5241105282741,1910-12-06,"Strada Mocanu Nr. 624, Peris, 523970",Vâlcea,0753 059 038,d2:89:47:24:f9:ce,81.160.7.34,Meteorolog Aeronautic Tehnician,RO26NGEL1011591682790021,GEL,71254421333,-51.4984205,149.874442
Luca,Stănescu,8960907360537,1976-04-16,"Intrarea Lucreția Marin Nr. 15, Gilau, 661321",Ilfov,0231 419 104,5a:d5:dd:b3:43:27,32.225.53.192,Grafician Industrial,RO81RVQL5837919339812073,MRO,1987680331,-84.496410,-150.196155
Matei,Barbu,3411113253930,1989-11-23,"Strada Manole Nr. 672, Macin, 668850",Arad,0250 456 584,ae:82:98:ca:68:0f,183.163.114.250,Consilier Inginer Silvic,RO27ISHW7823626847515099,BDT,49775386005,21.207853,-153.076882
Dominic,Pop,2830525336455,1993-10-15,"Bulevardul Daciana Eftimie Nr. 43 Bl. 24  Sc. 22 Ap. 233, Vlahita, 466862",Timiș,0269 930 323,a4:09:b0:d0:bb:be,208.6.1.133,Cercetator In Constructii Miniere,RO08DWZO9508901141195190,STD,23210545303,46.550722,20.407404
Lucia,Georgescu,6980312270364,1988-03-13,"Aleea Suciu, Slatina, 391304",Galați,0240 063 606,53:ae:7a:08:30:ff,144.218.252.191,Operator Dispecer Sisteme De Monitorizare Si Aparatura De Control,RO40YDCQ5125581040704084,RWF,12516135759,-60.4977085,-30.301494
Stela,Ene,6450525132731,1979-01-13,"Intrarea Oprea, Cudalbi, 125714",Harghita,0732 123 575,15:b9:7c:5e:a6:21,126.92.76.150,Expert Inginer Mecanic,RO71LLAF4075153258842408,VUV,59207108645,-76.7804675,-173.933856
Marius,Georgescu,3711106201123,1980-06-25,"Bulevardul Ababei Nr. 45, Cugir, 952117",Timiș,0734 204 278,a5:7c:d3:1d:8c:1f,117.164.207.252,Ambasador,RO02JILW5343547012241142,UZS,3888027740,13.117054,33.093602
Ianis,Pușcașu,6371205174897,1945-04-26,"Drumul Nistor Nr. 252 Bl. 15  Sc. 86 Ap. 111, Negresti-Oas, 550886",Vaslui,0253 460 448,8c:73:fb:e7:0b:6e,7.159.211.237,Brancardier,RO88RNMS8240455198577735,PKR,46015440074,-67.806661,-169.490183
Cătălin,Stan,6570205232284,2006-05-03,"Bulevardul Cosmina Tomescu Nr. 806 Bl. 70  Sc. 36 Ap. 578, Motru, 777555",Giurgiu,0751 997 298,df:75:00:d7:94:0f,101.31.75.25,Saltelar,RO28ZEHY8743028018024747,KGS,10454348950,75.467392,-168.057539
Ducu,Barbu,4900228455703,1988-02-03,"Bulevardul Ardelean Nr. 74, Amara, 349820",Harghita,0253 710 183,48:47:19:dd:e7:28,57.143.26.123,"Inspector De Specialitate Formare, Evaluare Si Selectie Profesionala",RO09SBMM0821847459232846,THB,97033832087,13.2378945,-56.199239
Matilda,Ababei,8610716060539,1945-06-12,"Drumul Daiana Florea Nr. 78, Cudalbi, 517415",Bistrița-Năsăud,0753 138 622,d4:f0:99:2e:69:17,215.109.32.30,Asistent De Cercetare Economist In Relatii Economice Internationale,RO70KNMF9601812366787450,HNL,62186112800,-74.3533415,-125.983255
Gabriela,Mazilescu,2280506192617,1977-02-15,"Strada Tomescu, Marginea, 367892",Dolj,0742 823 928,f5:1f:d0:9e:3a:a5,166.59.214.41,Lucrator La Prelucrarea Pestelui,RO74OFQX6660199755105214,STD,60873483143,86.8980795,80.100253
Larisa,Pop,1680319392421,2017-06-21,"Drumul Mazilescu, Oituz, 186338",Vaslui,0253 831 288,df:8c:86:f8:81:7f,212.180.192.56,Inscriptioner Pe Produse De Sticla Si Ceramica,RO62XPDP5326046826334902,SAR,20158339978,31.8133265,38.577576
Natașa,Manole,7331012278214,1998-02-02,"Intrarea Barbu Nr. 43, Alba Iulia, 399030",Călărași,0268 328 411,6d:0e:8d:68:7a:5e,37.45.78.220,Cercetator In Mineralogia Tehnica Si Experimentala,RO60ICLE7340333073627897,KYD,14019282954,82.346601,102.777264
Adelin,Stoica,1000522036069,1996-03-22,"Soseaua Niță Nr. 79, Otopeni, 179847",Bihor,0257 192 718,0d:a4:e2:c3:3a:83,116.1.247.163,Operator Extractie Titei,RO27FZUJ1272292962588310,TWD,27328249242,54.988864,-132.245232
