first_name,last_name,personal_number,birthdate,address,phone_number,mac_address,ip_address,iban,currency,balance
Robertina,Nistor,8691214027412,1934-06-19,"Soseaua Albu Nr. 82, Boldesti-Scaeni, 619623",0259 229 185,ec:32:6d:ed:26:5b,76.168.156.225,RO13WKIQ1655195198947043,USD,17082008540
Nicu,Dobre,6630323036023,1959-05-16,"Bulevardul Dima Nr. 528, Nasaud, 970769",0241 681 339,cc:8d:8e:31:bb:78,54.44.192.250,RO35HLMQ0811727242212917,AMD,98686934770
Relu,Tabacu,4690616146341,2014-04-14,"Drumul Mocanu, Jibou, 111155",0268 544 762,41:bc:ad:bf:de:d5,219.70.1.192,RO30ZPVS5751239761067411,MOP,43767476194
Grațian,Ioniță,2180626106334,2008-09-24,"Aleea Crin Stancu Nr. 27 Bl. 25  Sc. 33 Ap. 208, Strehaia, 824253",0748 676 128,6e:e2:26:4a:94:9a,11.156.15.173,RO76HMDW0852380043661440,GEL,23340859902
Adam,Georgescu,8051126425077,1954-11-21,"Drumul Preda, Harlau, 174006",0242 816 116,13:c1:d8:d9:d7:43,33.157.185.23,RO07NHFN3526526934279687,IQD,50319393882
Carmen,Popa,4401019512438,1991-09-03,"Drumul Flaviu Florea Nr. 444, Strejnicu, 248090",0260 353 488,b5:a7:8c:fa:2e:fd,104.147.7.35,RO40NPVK6478114678863929,NIS,41035172302
Dariana,Stancu,1110320317176,1998-10-15,"Soseaua Albu Nr. 359, Ocna Mures, 177480",0784 128 184,02:0e:84:c0:54:ea,137.202.114.102,RO72VUVP9114510800097097,MRO,17134758549
Georgeta,Stan,1310716249601,1947-07-23,"Strada Nistor Nr. 164 Bl. 98  Sc. 15 Ap. 322, Saveni, 507974",0232 731 687,7d:da:4a:3e:15:fe,117.71.243.181,RO16JQFH9935749666443641,EGP,99367283258
Roxelana,Popa,7000412381344,1942-08-25,"Drumul Cristea, Rosu, 565851",0725 654 127,1a:27:42:12:5e:25,25.95.71.185,RO15OADV1934375341256490,MKD,8259117240
Codruța,Georgescu,4190812341088,1918-11-09,"Drumul Stoica Nr. 708, Remetea, 923200",0762 797 742,57:aa:2b:f2:6e:54,170.233.129.209,RO95DHOS6554452401544911,ZMW,64310231157
Alida,Dochioiu,5410915519060,1947-12-17,"Intrarea Narcisa Cristea Nr. 381 Bl. 83  Sc. 81 Ap. 453, Giroc, 583664",0722 392 370,ac:c4:d6:fc:7d:4e,93.163.63.48,RO98FMWM3670188715015717,CLP,26080194398
Estera,Preda,2850510266863,1919-02-05,"Drumul Ababei, Pascani, 634514",0262 912 398,40:15:83:61:f1:3c,154.23.198.175,RO59EJPO7218560218445134,PKR,16117344670
Iulian,Albu,5750731203645,1931-11-08,"Soseaua Marilena Ardelean Nr. 16 Bl. 66  Sc. 75 Ap. 128, Rasinari, 719377",0254 314 231,cd:7e:dc:c1:27:c1,35.11.32.62,RO16MJMJ7711394482785647,UGX,15119131961
Narcis,Suciu,1420822288861,1938-10-04,"Strada Ionuț Nistor, Jibou, 940297",0767 190 575,3b:1c:37:9c:cb:61,42.250.196.114,RO73TMJP5850503058637661,NPR,58919460456
Pătru,Ardelean,4960923340439,1955-07-03,"Drumul Dima Nr. 671 Bl. 17  Sc. 56 Ap. 843, Fagaras, 499083",0749 030 901,84:2c:02:3c:1f:9e,201.34.160.40,RO12DBUG9454919442819628,CRC,75153532570
Ludmila,Manole,1260915317421,1911-03-21,"Strada Laurențiu Manole Nr. 81, Slobozia, 973732",0729 429 427,81:c9:e7:ad:87:81,24.86.5.55,RO50QSAB9362746838949626,BDT,23263179254
Vlad,Pop,6940511154698,1939-12-25,"Strada Dumitrescu, Giarmata, 803755",0735 778 701,03:5a:21:b2:f4:41,60.209.129.243,RO12UGKI3094298288993223,BZD,23768429302
Beatrice,Nistor,3010913122097,1957-08-29,"Bulevardul Liviu Oprea, Craiova, 506759",0751 452 438,5f:cb:01:2e:3c:34,65.212.179.242,RO48ORKL5042137495430755,SHP,63561284722
Didina,Cristea,4680125210091,1934-02-03,"Aleea Popa, Barbulesti, 341939",0761 249 881,f7:46:33:7f:14:9c,184.145.190.153,RO30YVGY7798340872621884,AUD,34630881454
Antonie,Tabacu,7020625019229,1934-02-23,"Strada Oprea, Barbulesti, 329311",0764 628 111,03:c1:46:64:33:a7,184.122.83.208,RO41LVVK6381350442839949,YER,83650630305
Alis,Marin,4440229524150,1977-02-24,"Bulevardul Aura Aanei Nr. 23 Bl. 68  Sc. 93 Ap. 750, Savinesti (Poiana Teiului), 286711",0743 970 142,29:40:e3:48:ce:e6,84.50.17.239,RO61VKBB8369580933956840,BAM,55659899178
Teona,Popescu,5060808068294,1979-04-29,"Intrarea Voinea, Reghin, 688644",0738 041 792,82:8b:29:b8:47:81,221.240.87.213,RO65TMCR2775718038698760,LBP,72071088106
Alistar,Niță,8680207308994,1928-07-31,"Aleea Horațiu Toma, Balan, 854137",0753 006 767,9e:ae:98:bf:ca:18,208.209.185.144,RO52BZAM7962957357046146,ALL,99434603536
Sabrina,Nistor,7070720428434,1928-06-27,"Strada Simona Dochioiu Nr. 210, Gherla, 684516",0251 967 297,6e:e9:a9:c1:e3:6a,154.96.213.234,RO94QWID1151112498580303,CDF,23933082093
Adrian,Mazilescu,4171124191894,2014-05-10,"Aleea Oprea Nr. 733 Bl. 59  Sc. 37 Ap. 958, Lumina, 523279",0260 566 965,97:66:c2:cf:f1:42,144.39.56.224,RO33AQXH6452529958692916,CAD,5005816074
Lorena,Ardelean,1010914253211,1958-12-21,"Drumul Dinu Nr. 147, Sacele, 175176",0739 169 294,c1:10:39:98:71:af,16.254.217.100,RO11TJJM6685003590874287,LTL,17873634936
Ramona,Tudor,1071109357423,1973-01-07,"Strada Gheorghiu Nr. 229, Pitesti, 543586",0233 078 469,6d:14:90:81:26:50,97.73.28.78,RO73UYDE1659385860889248,GTQ,43686270509
Adela,Manole,1590318056492,2000-08-29,"Strada Gheorghiu Nr. 45, Babeni, 534505",0263 517 898,c3:80:31:44:8f:8a,58.73.94.209,RO02VGBE9651651145191575,MRO,83825650955
