"bank_id","user_id","iban"
"1","10773","RO19LNEI5533655455238313"
"2","10810","RO39VXSB3141467412605038"
"3","11226","RO58RPML8938517361704188"
"4","11253","RO80GWFD8013386344640602"
"5","11941","RO40MUNR2108398571361971"
"6","13194","RO86JYZD8552308150866686"
"7","13680","RO90OHZY8683914705822446"
"8","13801","RO82LHAQ9415117846646304"
"9","14044","RO55UKEA2732668851637604"
"10","14244","RO03DAIC0450865327093502"
"11","14283","RO56FTMZ8450731639041451"
"12","14403","RO82MJVM3475706158262420"
"13","15413","RO59GNJZ8909667599382932"
"14","15453","RO50ANYY5073810315684053"
"15","15882","RO45YHCU9628999227813675"
"16","16098","RO25CUEY7143001260632165"
"17","16393","RO90NACI2230735715221153"
"18","16661","RO57UZAC5123622144206747"
"19","16855","RO56MYWQ9253718769095816"
"20","16867","RO13NTFI9972990560548846"
"21","17154","RO18WLRS6915033612337882"
"22","17916","RO24XNYN1142953047550454"
"23","17993","RO84NJAW4798869294207353"
"24","18042","RO80HBWJ9696071035082271"
"25","18145","RO43ROJK2950535329073894"
"26","18720","RO54YZDI6731443846839906"
"27","18884","RO26JWEL4875509160117838"
"28","19407","RO25VPDA7075050458967580"
"29","19447","RO95FVQU8782453487214150"
"30","19579","RO15PIVY4182483866618837"
"31","19768","RO89RLIP6053516469635102"
"32","19808","RO95TDHY1016719886776404"
"33","19937","RO21ECTO1573740573415892"
"34","19968","RO15XMWU0746063096931686"
"35","19969","RO12BXCJ5635702278712523"
"36","19970","RO73ACPN4746065518317246"
"37","19971","RO17PKMK0029123796292308"
"38","19972","RO57YTTA4478433935378134"
"39","19973","RO32XUGZ1472034357937661"
"40","19984","RO28RZCZ6603644372196519"
"41","10001","RO50QXPZ3808265488509929"
"42","10002","RO39SFFF2607167044476759"
"43","10003","RO27EBEN8888503595917224"
"44","10004","RO18XLPN9004989992340705"
"45","10005","RO47UYMD3425777684310399"
"46","10006","RO47CKIK6023563265141506"
"47","10007","RO88YITV7736858068677872"
"48","10008","RO06UKMQ7526028094040320"
"49","10009","RO35LFTN8940642110683979"
"50","10010","RO79KQAZ8873606107599838"
"51","10011","RO66JPEF1366656089465358"
"52","10012","RO87MHLV3679622520949328"
"53","10013","RO51XVDG8696014675858451"
"54","10014","RO28YPGP2463279895621847"
"55","10015","RO20SMYI3886877189114503"
"56","10016","RO33XGUE3127483611477857"
"57","10017","RO74POGL3170856200946202"
"58","10018","RO21VWVP4906661503528725"
"59","10019","RO40KUXY3085731283878855"
"60","10020","RO06HIES9180138547008765"
"61","10021","RO28IWSL2542925243738124"
"62","10022","RO30TOZN8891005398172882"
"63","10023","RO26EAER6732823361268070"
"64","10024","RO85OEDO9641140454089719"
