"personal_id","user_id","personal_number","birthdate","address","country","phone_number"
"1","10773","3070814332403","1994-09-16","Drumul Niță, Cugir, 540436","Dâmbovița","0753 413 596"
"2","10810","4190328240296","1924-06-20","Drumul Dinu Nr. 54 Bl. 13  Sc. 40 Ap. 959, Cugir, 934858","Gorj","0257 119 115"
"3","11226","1481210262708","1931-12-15","Drumul Pop Nr. 52, Baicoi, 400026","Covasna","0259 394 430"
"4","11253","1360206307123","1926-08-05","Aleea Nistor, Victoria, 218869","Ialomița","0236 427 836"
"5","11941","3780330161273","1977-04-14","Aleea Niță, Boldesti-Scaeni, 221517","Vâlcea","0740 518 899"
"6","13194","7260413025058","1933-01-29","Aleea Dumitrescu, Feldru, 359570","Bihor","0784 853 844"
"7","13680","3710406401368","1983-12-25","Strada Teea Nistor, Macin, 982827","Vrancea","0253 297 001"
"8","13801","8130201338921","2020-01-28","Drumul Oprea, Vaslui, 210597","Prahova","0740 595 578"
"9","14044","7930415119779","2006-11-17","Aleea Gheorghiu, Targoviste, 112190","Teleorman","0253 830 265"
"10","14244","8580702438155","1954-05-20","Bulevardul Monalisa Pop Nr. 738, Borcea, 408133","Vâlcea","0231 338 490"
"11","14283","6460526360076","1954-06-24","Drumul Dobre Nr. 31, Orsova, 516387","Argeș","0769 918 493"
"12","14403","5231025433876","1916-07-01","Aleea Preda, Bolintin-Vale, 270413","Cluj","0740 021 657"
"13","15413","4410707044360","1948-10-25","Soseaua Stănescu Nr. 82, Baia Mare, 191046","Buzău","0728 364 627"
"14","15453","2730131263864","2018-04-20","Aleea Pușcașu, Curtea de Arges, 878442","Alba","0253 754 357"
"15","15882","3690530038801","1983-01-30","Aleea Aanei, Focsani, 750067","Sibiu","0258 918 056"
"16","16098","2140703020271","1923-10-09","Strada Manole, Teius, 590091","Ialomița","0237 074 151"
"17","16393","4000815259198","1925-09-22","Aleea Nistor, Carei, 144441","Olt","0755 213 421"
"18","16661","2110814297570","1919-07-16","Intrarea Stanca Popa Nr. 511, Simleu Silvaniei, 488314","Tulcea","0235 211 560"
"19","16855","7980218336816","1961-08-18","Aleea Diaconu, Otelu Rosu, 516087","Sălaj","0738 131 539"
"20","16867","2780927327067","1978-07-07","Aleea Stancu Nr. 57, Giarmata, 707273","Sibiu","0269 003 974"
"21","17154","7740405254791","1941-05-01","Drumul Dochioiu, Tudora, 923500","Bihor","0744 357 348"
"22","17916","8250709077483","1994-03-24","Bulevardul Delia Ene Nr. 69, Toflea, 320296","Vaslui","0750 065 743"
"23","17993","3430509112450","1964-02-19","Aleea Albu, Tunari, 369007","Giurgiu","0746 896 076"
"24","18042","2711222049201","1920-03-07","Soseaua Pop, Reghin, 465483","Iași","0250 956 078"
"25","18145","1581206329789","2013-06-18","Strada Voinea, Teius, 128731","Olt","0764 448 951"
"26","18720","2770528277894","1944-02-22","Bulevardul Voinea, Cernavoda, 829947","Ilfov","0239 403 509"
"27","18884","7710231234571","1985-11-05","Drumul Mazilescu, Pantelimon, 761696","Olt","0244 483 418"
"28","19407","7121128039933","1956-12-21","Soseaua Claudia Gheorghiu Nr. 311, Fagetel (Remetea), 415798","Botoșani","0728 469 469"
"29","19447","3370804324411","1920-04-11","Strada Alexandru Georgescu, Curcani, 380722","Brăila","0238 591 671"
"30","19579","2390126346837","1943-11-27","Intrarea Stancu, Oravita, 536085","Gorj","0259 957 699"
"31","19768","8160203226844","2009-07-09","Aleea Ștefania Marin, Mizil, 360283","București","0239 695 499"
"32","19808","2601107364529","1955-07-10","Soseaua Pop Nr. 81, Tufesti, 951309","Gorj","0268 524 635"
"33","19937","6240729021477","1965-08-29","Drumul Nistor, Calan, 552254","Mehedinți","0750 976 059"
"34","19968","1151005291254","2012-08-21","Strada Nicoară Oprea Nr. 81 Bl. 36  Sc. 24 Ap. 651, Sabaoani, 169537","Hunedoara","0737 845 674"
"35","19969","2500712186874","1956-07-12","Drumul Celia Popa, Botosani, 985783","Iași","0742 840 228"
