"bank_id","iban","currency","user_id"
"1","RO20JRJU8484117036864849","BDT","10425"
"2","RO51BSMF3878826210887806","ERN","10524"
"3","RO39SYIV1561542849542950","SOS","10596"
"4","RO37VTYQ5933908348850385","UAH","11035"
"5","RO08FNWS9543496956971628","BRL","11076"
"6","RO59DGQU2634416724218181","MOP","11244"
"7","RO34IWLT4102093224603390","HRK","11615"
"8","RO10IPOY9851784989551517","GHS","11942"
"9","RO82KTRY6926716812939536","AED","13271"
"10","RO39DDDE4819891784551050","IRR","13351"
"11","RO13JXEE2649211233893129","NAD","13557"
"12","RO70MPBK9347114947999564","SOS","13640"
"13","RO13XVTA4617886227386821","GEL","13891"
"14","RO68TEWY6970162129081823","KZT","13976"
"15","RO98BEGF7886317389601843","MGA","14722"
"16","RO07XFPD6773466955587431","MUR","15262"
"17","RO64LYRG1537309760612044","SDG","15588"
"18","RO56NWUM2856637432209331","KHR","15671"
"19","RO60MSBC4921925679036692","CUC","15711"
"20","RO52PZAZ9588226463969165","BTN","16246"
"21","RO71TJLI5595181205860825","SBD","16781"
"22","RO36INOC7470806598603139","ZWD","17065"
"23","RO53ZURI8823529174033584","OMR","17320"
"24","RO85WPBB0225097419215356","BBD","17816"
"25","RO91NNXQ6395864718737260","ILS","17856"
"26","RO16DKTI7477856235520858","VUV","18823"
"27","RO14SOTQ3456734194485476","MRO","19767"
"28","RO51QYUZ1792661594974980","COP","19968"
"29","RO74NRDY3690616720238300","SHP","19969"
"30","RO96AMDH4440769999843775","DZD","19970"
"31","RO35YICH9174295688083544","ANG","19971"
"32","RO76GOYD6085602951471286","TRY","19972"
"33","RO76QOEZ3500003457121664","ILS","19973"
"34","RO83CWRV5829081331306656","NIS","19974"
"35","RO15ZCRY7971561975942607","CUP","19975"
"36","RO58UHYL6705897158619175","SOS","19976"
"37","RO90VPSL9667944578352726","BWP","10001"
"38","RO43TIKT5924023137179066","NIS","10002"
"39","RO94HCZO8815440224311373","SRD","10003"
"40","RO53WYVK1130432279118755","CLP","10004"
"41","RO26CUKW6117058245319209","BRL","10005"
"42","RO90BZAY8917888795429711","ERN","10006"
"43","RO95KNQP9195334160077261","NIO","10007"
"44","RO93QBXL6345951385670723","NIS","10008"
"45","RO23UNPS8492902079477930","RWF","10009"
"46","RO77ZYJD2368649403937778","BWP","10010"
"47","RO15OHXX5090248977367437","BYR","10011"
"48","RO93PEFQ2664774850900259","TRY","10012"
"49","RO52LLII0414464426983796","TJS","10013"
"50","RO64ESKP9556025026790266","WST","10014"
"51","RO19KNMO4243681714586817","MYR","10015"
"52","RO42YNQU2735359021161540","ETB","10016"
"53","RO54KYZW9746396545952558","JOD","10017"
"54","RO85QGDM7780423176013159","IQD","10018"
"55","RO05CDLO8840053953263624","NIS","10019"
"56","RO28FIYZ6080517284185684","NIO","10020"
"57","RO03ASHK1004428726812813","DZD","10021"
"58","RO68QPYF2268385639926537","CAD","10022"
"59","RO07INDB0541279674751678","NIO","10023"
"60","RO63LGKA0886427941223832","USD","10024"
"61","RO31WNQK8639052871964473","VEF","10025"
"62","RO09NSVX7140899584213152","MRO","10026"
"63","RO81VSJI0507328649137812","NIS","10027"
"64","RO22PRDD0852570907218465","AFN","10028"
"65","RO92PHJI9957512078924588","JOD","10029"
"66","RO98ORHS3452947988317987","EUR","10030"
"67","RO17RBFQ8564284699638591","WST","10031"
"68","RO33ONZC4246725279811782","PLN","10032"
"69","RO90XSHL5164082738517535","SGD","10033"
"70","RO40CRDT9217101048458290","RUB","10034"
"71","RO73EXSK3988648878643408","BAM","10035"
"72","RO94IKVX6932316017823178","SCR","10036"
"73","RO82EDIG2871945213334161","GHS","10037"
"74","RO80VRAH6885113917978023","KPW","10038"
"75","RO05FPHV1380695032202425","GHS","10039"
"76","RO10XDDL3928216776059634","THB","10040"
"77","RO53NNPH6148260799684359","EUR","10041"
"78","RO64JFGT4807153812590145","BND","10042"
"79","RO31WSDV3186662023995434","JMD","10043"
"80","RO31JABV9452429756400094","SEK","10044"
"81","RO70WVOF0600677287879896","KZT","10045"
"82","RO12IDUZ7899406475680262","UZS","10046"
"83","RO90TKZS3117953688582703","GGP","10047"
"84","RO74EJLB1088328096069479","OMR","10048"
"85","RO88LQNZ4741780892356906","SCR","10049"
"86","RO41ACJR6765849222633733","INR","10050"
"87","RO13XLHI6608326459108319","AWG","10051"
"88","RO67NTSL4568561409022146","ZAR","10052"
"89","RO71LRPY4197303057425896","BYR","10053"
"90","RO10UUZS2318154636838924","KMF","10054"
"91","RO53PSUR8208195788484513","SLL","10055"
"92","RO41GCJG4826041130955850","TZS","10056"
"93","RO64PVTL2750943915155132","MKD","10057"
"94","RO28JOVP7064251330936252","HUF","10058"
"95","RO05RKVO4345776213120768","BSD","10059"
"96","RO70NJOT4500644767963612","GYD","10060"
"97","RO76CMOM5109508515915193","MDL","10061"
"98","RO22UJRX3705182134389830","BIF","10062"
"99","RO13QTKF5327618144871184","INR","10063"
"100","RO25UWLW3735509291557836","NPR","10064"
