"personal_id","personal_number","birthdate","address","phone_number","user_id"
"1","7640918097926","1972-06-24","Bulevardul Betina Ionescu Nr. 21 Bl. 48  Sc. 16 Ap. 952, Copsa Mica, 406275","0731 513 651","20037"
"2","3950212075821","1985-09-30","Strada Popa Nr. 99 Bl. 83  Sc. 28 Ap. 577, Onesti, 131411","0762 236 671","20038"
"3","4511016403522","1981-05-17","Aleea Dumitrescu Nr. 93 Bl. 10  Sc. 64 Ap. 744, Poienile de sub Munte, 351346","0734 890 931","20039"
"4","1101026083510","1990-07-27","Drumul Barbu, Lupeni, 933874","0239 768 383","20040"
"5","2890811105511","1950-11-03","Aleea Dima, Domnesti, 936564","0249 616 028","20041"
"6","8241021283091","1980-09-16","Drumul Teohari Ioniță Nr. 646 Bl. 35  Sc. 16 Ap. 191, Iernut, 307068","0743 405 454","20042"
"7","3860307345980","1932-11-14","Aleea Niță Nr. 86 Bl. 86  Sc. 73 Ap. 452, Barbulesti, 868744","0233 897 393","20043"
"8","2951125329196","1950-05-05","Soseaua Silvana Suciu, Marghita, 372566","0728 256 016","20044"
"9","4940902384689","2004-12-27","Bulevardul Mariana Manole, Sebes, 954659","0723 065 748","20045"
"10","2071015067657","1927-10-06","Soseaua Pop Nr. 948, Medgidia, 992339","0738 450 076","20046"
"11","1030702036668","1979-06-20","Strada Dinu Nr. 266, Fundulea, 297317","0724 460 172","20047"
"12","8440525444537","2010-09-10","Strada Cedrin Voinea Nr. 76 Bl. 63  Sc. 36 Ap. 611, Marasesti, 978647","0239 475 052","20048"
"13","2341112201918","1948-12-02","Bulevardul Pușcașu Nr. 861 Bl. 22  Sc. 19 Ap. 308, Insuratei, 778217","0768 827 633","20049"
"14","1700611107872","1911-09-25","Soseaua Tudor Nr. 79, Oravita, 462808","0729 551 673","20050"
"15","3281019257193","1967-09-05","Drumul Nistor, Domnesti, 253610","0251 967 865","20051"
"16","8251019258077","1933-08-21","Aleea Popa Nr. 529 Bl. 37  Sc. 87 Ap. 959, Balan, 229670","0241 013 593","20052"
"17","3500515224251","1912-07-19","Aleea Dumitrescu Nr. 670, Titu, 938355","0784 034 742","20053"
"18","3511130239354","1974-03-02","Drumul Norbert Georgescu Nr. 68 Bl. 80  Sc. 36 Ap. 502, Botosani, 248987","0259 252 888","20054"
"19","6091123276376","1976-02-18","Strada Marin Nr. 870 Bl. 67  Sc. 29 Ap. 994, Dobroesti, 816910","0251 569 106","20055"
"20","7170528326824","1999-12-04","Aleea Albu Nr. 46, Dragu-Brad, 509460","0749 951 328","20056"
"21","3500207129941","1972-12-23","Intrarea Nicodim Dumitrescu, Tomesti, 637618","0267 410 963","20057"
"22","6261210463864","2009-10-25","Soseaua Melania Ene, Maieru, 172024","0746 751 871","20058"
"23","7520608106940","1911-11-03","Intrarea Voinea Nr. 769 Bl. 22  Sc. 86 Ap. 769, Targu Frumos, 457049","0747 400 161","20059"
"24","1290930362869","2006-06-22","Intrarea Flavia Florea Nr. 302 Bl. 53  Sc. 97 Ap. 162, Tecuci, 465560","0756 097 798","20060"
