"personal_number","birthdate","phone_number","job","user_id"
"5610430052525","1979-06-19","0735 552 564","Ofiter De Punte Maritim","5286"
"1300622017253","1966-04-16","0268 569 124","Farmacolog","5393"
"4990918351027","1940-03-16","0763 558 324","Preparator Filmare","5585"
"3601105379564","1966-09-30","0248 370 596","Somelier","6123"
"2550120405092","1910-06-24","0747 274 673","Expert Jurist","6576"
"8910104198261","1961-10-11","0745 194 636","Apicultor","7194"
"2860914127339","2010-09-29","0758 043 974","Librar","7328"
"1320901445077","1973-05-25","0245 223 301","Sef Vama","7697"
"7860620200398","1908-11-30","0231 028 067","Comandant Port, Flota","7868"
"8780903330714","1965-07-21","0729 925 822","Plapumar","8225"
"7170303035648","1959-10-04","0232 071 278","Masinist La Instalatiile De Turbine Hidraulice","8468"
"2090428110728","1934-11-06","0259 440 407","Tehnician Zootehnist ","8539"
"2390210188373","1940-09-26","0754 679 503","Urbanist","8782"
"6660831047201","2001-11-27","0780 724 221","Manager De Zona","8819"
"6810122469586","1969-12-28","0245 180 071","Diriginte Santier (Studii Superioare)","8851"
"4501024077970","2017-10-29","0750 895 561","Teletipist","9026"
"2840702011892","1915-06-19","0243 960 526","Librar","9151"
"6360923310969","1982-11-30","0258 077 655","Liftier","9233"
"8680919155204","1943-05-16","0762 417 372","Artist Liric","9425"
"8200813154244","1956-09-20","0764 129 485","Rabotor, Mortezor Roti Dintate","9652"
"2350511527596","1950-04-25","0268 675 226","Corespondent Presa","9689"
"5400611224620","1976-11-16","0755 955 207","Agent De Interventie Paza Si Ordine","9998"
"5260110032655","1994-07-14","0739 600 036","Acoperitor-Invelitor Tigla, Azbociment, Tabla","9999"
"4950131386992","2015-12-21","0263 546 637","Electrician De Intretinere In Constructii","10000"
"1340506452090","2004-07-31","0757 003 961","Conducator Autotrailer","5001"
"3120624079130","1976-10-13","0766 412 221","Specialist In Managementul Deseurilor","5002"
"1420110367927","1929-06-14","0237 209 327","Confectioner Fitile","5003"
"2351122102230","1927-06-07","0785 429 764","Tamplar Universal","5004"
"1060518262716","2000-10-30","0743 608 254","Slefuitor/ Sablator Geam","5005"
"8780116096285","1908-10-26","0235 869 849","Sef Departament Organizatie Sindicala","5006"
"5560128173542","1929-04-22","0253 158 968","Sef Centru National De Telecomunicatii Aeronautice Aviatie Civila","5007"
