"latitude","longitude","address","county","user_id"
"16.650793","93.821742","Strada Stănescu, Satu Mare, 160101","Ilfov","5286"
"26.468372","36.932471","Drumul Raul Diaconu, Avrig, 218290","Buzău","5393"
"-56.20433","-63.080611","Strada Dima, Lumina, 567780","Vrancea","5585"
"-7.6465395","85.822869","Intrarea Diaconu, Arbore, 335851","Ilfov","6123"
"-72.789741","24.621863","Soseaua Aanei Nr. 20, Jibou, 166581","Timiș","6576"
"52.1193515","63.61534","Drumul Dumitrescu, Fetesti, 650248","Constanța","7194"
"-1.8389605","118.711579","Drumul Pop, Satu Mare, 500386","Bacău","7328"
"-58.2314525","131.162748","Bulevardul Marin Nr. 34 Bl. 31  Sc. 53 Ap. 417, Buzau, 453986","Satu Mare","7697"
"77.946188","-134.609632","Soseaua Raluca Niță, Suceava, 374994","Alba","7868"
"65.975236","109.833105","Strada Albu Nr. 230, Lupeni, 339508","Gorj","8225"
"-75.991333","-15.771631","Soseaua Georgescu, Mihail Kogalniceanu, 507349","Sălaj","8468"
"-4.416498","-91.152904","Soseaua Preda, Techirghiol, 327290","Alba","8539"
"58.776001","95.013303","Bulevardul Diaconescu, Bragadiru, 142438","Covasna","8782"
"80.3590795","95.247004","Drumul Stănescu, Dancu, 850636","București","8819"
"59.433343","-158.252301","Bulevardul Zoe Ardelean Nr. 834, Resita, 659152","Timiș","8851"
"32.4774055","-152.755354","Soseaua Cristea, Resita, 514013","Maramureș","9026"
"-71.760043","-172.94347","Strada Stan Diaconu Nr. 249, Sovata, 478616","Iași","9151"
"-89.5970345","-152.993639","Aleea Vicenția Niță Nr. 94, Pucioasa, 484711","Iași","9233"
"-21.874479","-86.781406","Soseaua Adina Nemeș, Iasi, 512222","Tulcea","9425"
"-63.8064255","164.125584","Soseaua Pușcașu, Fundeni, 588628","Vrancea","9652"
"82.8162145","-31.05063","Soseaua Nemeș Nr. 95 Bl. 99  Sc. 99 Ap. 647, Valenii de Munte, 374103","Vrancea","9689"
"35.874607","50.932329","Aleea Sebastian Barbu, Caransebes, 392902","Cluj","9998"
"24.8489675","-158.538933","Drumul Mazilescu Nr. 468 Bl. 77  Sc. 93 Ap. 998, Cornetu, 223282","Mureș","9999"
"-13.751162","91.112385","Intrarea Dima, Braila, 529624","Hunedoara","10000"
"-29.917267","137.208854","Intrarea Marin Nr. 13, Sancraiu de Mures, 919217","Tulcea","5001"
"54.9063695","-144.428621","Bulevardul Ruxanda Ababei, Cluj-Napoca, 951633","Prahova","5002"
"87.2016375","58.889374","Aleea Stănescu, Nadlac, 225072","Prahova","5003"
"62.502998","89.11206","Intrarea Ababei, Giarmata, 269232","Bacău","5004"
"-80.4042655","-113.766216","Intrarea Tomescu, Jilava, 284789","Covasna","5005"
"-51.015534","113.024732","Drumul Adelina Oprea Nr. 92 Bl. 69  Sc. 79 Ap. 624, Copsa Mica, 724333","Iași","5006"
"-55.9322385","-111.677868","Bulevardul Mocanu, Moisei, 668547","Ilfov","5007"
"61.519427","85.641862","Bulevardul Heracleea Nistor Nr. 413 Bl. 80  Sc. 70 Ap. 662, Savinesti, 808602","Hunedoara","5008"
"-60.102144","165.509807","Drumul Dinu Nr. 368 Bl. 35  Sc. 63 Ap. 714, Orsova, 162593","Tulcea","5009"
"6.1335735","161.921971","Intrarea Tomescu, Rosiori de Vede, 858325","Neamț","5010"
"44.3500115","64.003431","Intrarea Popescu Nr. 52 Bl. 51  Sc. 60 Ap. 631, Botosani, 252659","Vrancea","5011"
"-48.2300645","-104.15773","Aleea Preda Nr. 316, Corabia, 259897","Bistrița-Năsăud","5012"
"47.912914","-97.459007","Intrarea Diaconescu Nr. 85 Bl. 15  Sc. 77 Ap. 783, Sovata, 570844","Ialomița","5013"
"88.450748","-74.951198","Soseaua Evanghelina Gheorghiu Nr. 22 Bl. 71  Sc. 71 Ap. 139, Valu lui Traian, 209693","Alba","5014"
"51.8691115","-60.390052","Bulevardul Adela Mazilescu Nr. 979, Constanta, 589393","Harghita","5015"
"60.381531","-102.743192","Bulevardul Georgescu Nr. 92 Bl. 40  Sc. 44 Ap. 562, Rodna, 328632","Olt","5016"
"13.1786335","-74.979794","Aleea Georgiana Marin, Baia Sprie, 642284","Brașov","5017"
"72.358383","-131.407364","Soseaua Georgescu, Marasesti, 106378","Bacău","5018"
"-70.8238415","-127.225555","Aleea Nemeș Nr. 695, Homocea, 963025","Mureș","5019"
