"economic_id","iban","currency","user_id"
"1","RO33GNHT8184143717149941","QAR","10012"
"2","RO82RJDB3180078622753753","RUB","10225"
"3","RO81HMLL5692026027069493","GHS","10346"
"4","RO65JUNZ0534011016585992","XAF","10487"
"5","RO30YKWR9347275420888655","HTG","10604"
"6","RO65ZOVH2721632086594924","RSD","11195"
"7","RO46LLOL7244903718449318","GEL","11380"
"8","RO76ERVU7870779132443444","PKR","12781"
"9","RO85NJYE3578328536588023","XPF","12819"
"10","RO27SAGA9709732727045622","ARS","13266"
"11","RO02MQLP2487006577848673","SRD","13303"
"12","RO61LUZC4875073328454723","CAD","13531"
"13","RO86FEQV1412128917734072","SEK","13716"
"14","RO71DUFK6418935959390150","YER","13866"
"15","RO20YQSY1255155030558980","BOB","14504"
"16","RO54AJMB5569823846971265","GNF","14844"
"17","RO49QTDA2931059621201026","HNL","15407"
"18","RO59GVVO8265199744524323","TOP","15821"
"19","RO82DCLJ4416148678211638","AOA","16006"
"20","RO11LFXE1294074410779365","OMR","16352"
"21","RO68UBAR4018753011690013","CNY","16606"
"22","RO29EFDG9111737229227352","MYR","16645"
"23","RO19UWCZ1085725839376367","KES","16869"
"24","RO30VISO0040543029042736","EGP","17241"
"25","RO86KWDC7736532282403068","DKK","17278"
"26","RO23KCIG8624361099491507","KRW","17467"
"27","RO96GQKM2545356304964719","AMD","18035"
"28","RO50YAJD5815795676878352","KGS","18065"
"29","RO24FSNB5926328174328846","TTD","18179"
"30","RO48HAMY7958711543166314","PEN","18251"
"31","RO31JLBS3051485947661735","CLP","18367"
"32","RO89OQVE0908305252574820","VND","18564"
"33","RO11IZGY3132737544982136","KZT","18586"
"34","RO24OGJV6997006496652319","BOB","18661"
"35","RO70BFAE6499076620648569","MMK","18812"
"36","RO18YDDR8855769633221110","BOB","18888"
"37","RO36RGLB0872094631989563","DOP","18971"
"38","RO71UYBS4468954050839132","MOP","19228"
"39","RO37TTKP0879456118935125","USD","19412"
"40","RO63XHEF9158421386818843","GMD","19972"
"41","RO43WQVV0870286544262051","AWG","19973"
"42","RO21YWMD1043893426936368","CRC","19974"
"43","RO92CSGT7199279971567390","XDR","19975"
"44","RO95LGEP5126752437411797","CAD","19976"
"45","RO49ILMT2726977262457737","RWF","19977"
"46","RO40ZEUL1196411854557705","JEP","19978"
"47","RO49EJCF2935718632458583","BRL","19979"
"48","RO50FNCO5266915361149602","XCD","10001"
"49","RO04OHOY1084654923733547","TJS","10002"
"50","RO28NOVX5845398004694957","PGK","10003"
"51","RO77MZVP6657726159749309","PAB","10004"
"52","RO61JKAY4022757134779756","XCD","10005"
"53","RO66VMBH7853736523306858","RSD","10006"
"54","RO63UGYG7568056126062091","MRO","10007"
"55","RO49YAES0182891444325425","UZS","10008"
"56","RO83ELHU5734414665092563","LAK","10009"
"57","RO25GDXX2341256465443091","MUR","10010"
"58","RO06OUFO1582765138023448","TJS","10011"
"59","RO47YEHA2832181199871457","MUR","10013"
"60","RO13FEKA5722206398822143","ALL","10014"
"61","RO45KEOC2529740680062054","TOP","10015"
"62","RO18NEKA9033517825148036","UAH","10016"
"63","RO91DFDZ8299505952057431","SAR","10017"
"64","RO55DJRP7491933961887284","LTL","10018"
"65","RO16NBKR1103722495938333","VUV","10019"
"66","RO24SBKD3687197448796550","HTG","10020"
"67","RO87PAQT1906430617536729","CHF","10021"
"68","RO24CIAL1704980460435641","WST","10022"
"69","RO11TJYD4758555285942255","HNL","10023"
"70","RO47MHOX3503166940601005","HUF","10024"
"71","RO70QYAH3050379247530459","USD","10025"
"72","RO64DYSI2111361496583162","DKK","10026"
"73","RO21ZADS4238292925895611","GTQ","10027"
"74","RO21USNU7378046263348844","SCR","10028"
"75","RO25YVZW5554857273793961","BSD","10029"
"76","RO12ZGSB8831491695786486","ISK","10030"
"77","RO28WALE8241965741147159","MGA","10031"
"78","RO25YRUR3153428832374649","SVC","10032"
"79","RO05HSQI2222187728606487","KWD","10033"
"80","RO47JPHO5272796768218158","DJF","10034"
"81","RO38ERKC5477084708781919","PGK","10035"
"82","RO59KCYW3194095183258633","LYD","10036"
"83","RO64MPPV7414650134278471","LTL","10037"
"84","RO39GKYI5034656788563812","XCD","10038"
"85","RO06JUYD6489028419019919","AWG","10039"
"86","RO18JHWL7580224400521845","PLN","10040"
"87","RO09HUNT5762816704967418","UAH","10041"
"88","RO08XFWP9735309744997710","RUB","10042"
"89","RO38ZYXC4349566024866821","SCR","10043"
"90","RO47NQCV2234209618879195","AFN","10044"
"91","RO31RTEX8246742759824829","BZD","10045"
"92","RO05DITD3383344271295769","CHF","10046"
"93","RO88ADUW8247941629446890","AMD","10047"
"94","RO84JYXC4135631909740602","SBD","10048"
"95","RO87XZDZ1403708977437192","GEL","10049"
"96","RO13WJIB8864619936448688","UAH","10050"
"97","RO41PVWP9534849868808144","RON","10051"
"98","RO98DNTQ1613447245711334","BHD","10052"
"99","RO29FJAM4489653015448816","GGP","10053"
"100","RO96HRFC3073905508439521","DZD","10054"
"101","RO93VYYM9245883665405903","ETB","10055"
"102","RO33OVUO2059652360666889","GIP","10056"
"103","RO16GCVJ5317553607591361","COP","10057"
"104","RO90EINF6447333720798587","MVR","10058"
"105","RO68JTFM4558560569176483","JEP","10059"
"106","RO49OAKZ4782984851020125","USD","10060"
"107","RO41DJJM1759758255502713","PHP","10061"
"108","RO57SLJV2069101027189099","KPW","10062"
"109","RO83MWDP8505095645264016","AWG","10063"
"110","RO12QVEE6116596203818941","GMD","10064"
"111","RO78OQLO8864081202164047","MXN","10065"
"112","RO91NZNI0853800781878187","MUR","10066"
"113","RO13MBEV7155855875521309","GEL","10067"
"114","RO89HSHS8762358042224031","TZS","10068"
"115","RO47NTBT8383929648983143","DZD","10069"
"116","RO28OKBV7990433381774546","CDF","10070"
"117","RO41YPJB2964862129383654","BDT","10071"
"118","RO22CHSC3598446836017822","KPW","10072"
"119","RO52DBPH4447494827825764","UAH","10073"
"120","RO43NJYK7531455851789117","VND","10074"
"121","RO50VXIF6376546271456008","VEF","10075"
"122","RO32PMMP5713284469361877","JPY","10076"
"123","RO81YOGJ2868825701829098","LKR","10077"
"124","RO73ZTOU3491771902864400","ALL","10078"
"125","RO76KRPR1722017773635467","TRY","10079"
"126","RO36GNOH1558330915525573","JPY","10080"
"127","RO43QVNR6120452619521762","SVC","10081"
"128","RO96ONGQ2482615114620261","ZWD","10082"
"129","RO44NRVH0789741479081504","BBD","10083"
"130","RO11XQQI8947093932801354","SRD","10084"
"131","RO53RMKO7828344703142142","HTG","10085"
"132","RO51ZQXP5897344037619428","THB","10086"
"133","RO40BOCE2966322462843427","LAK","10087"
"134","RO17EJZO5845874970646891","NOK","10088"
"135","RO18ZPDV3679328148612289","MYR","10089"
"136","RO85CWYQ9425741866830993","MDL","10090"
"137","RO91IJTS0019898871737627","TVD","10091"
"138","RO13EZXN8306180812407578","DJF","10092"
"139","RO92AHYP1643679114657318","GGP","10093"
"140","RO67WPZY7959803787894465","BND","10094"
"141","RO71WYYT6899023455992319","LSL","10095"
"142","RO04XYEK8330402621297469","CLP","10096"
"143","RO12GPPU5149856921507982","GHS","10097"
"144","RO63XPIC7164851443550102","BGN","10098"
"145","RO26GHQW0837027108695074","UZS","10099"
"146","RO84XCNV9428496734540652","VUV","10100"
"147","RO16HPIW7867774367245506","VND","10101"
