"personal_id","phone_number","birthdate","address","job","user_id"
"1","0745 005 645","2010-09-04","Aleea Mocanu, Balotesti, 442045","Maestru Dans","10012"
"2","0246 524 466","1974-04-23","Drumul Popescu Nr. 824, Motatei, 857353","Distilator In Industria Chimica","10225"
"3","0749 435 611","1982-07-25","Drumul Suciu, Botosani, 926620","Medic Rezident","10346"
"4","0256 954 805","1943-12-09","Aleea Pușcașu Nr. 196 Bl. 19  Sc. 49 Ap. 869, Calarasi, 370826","Actuar","10487"
"5","0267 891 310","1926-01-25","Aleea Florea, Fetesti, 187819","Fasonator Calapoade","10604"
"6","0256 570 842","1996-09-12","Drumul Nistor Nr. 13, Gheorgheni, 363040","Trapezist","11195"
"7","0257 508 380","1940-12-19","Bulevardul Gheorghiu, Amara, 510722","Trasator Naval ","11380"
"8","0244 909 172","1921-02-16","Soseaua Ducu Niță, Baia Sprie, 284003","Farmacolog","12781"
"9","0238 951 785","1938-07-06","Drumul Florea, Constanta, 984565","Tamplar Restaurator","12819"
"10","0268 811 488","2023-03-15","Soseaua Zaraza Mocanu Nr. 44, Rucar, 928952","Secretar Responsabil De Agentie","13266"
"11","0736 738 634","1991-06-18","Soseaua Dumitra Suciu Nr. 42, Jibou, 446056","Picher Sef District","13303"
"12","0237 024 706","1967-07-21","Bulevardul Suciu, Dej, 331062","Bucatar-Sef","13531"
"13","0735 290 395","1964-09-27","Bulevardul Irina Barbu, Baia, 549990","Receptioner De Hotel","13716"
"14","0740 741 614","1967-11-23","Strada Matei Pop Nr. 54 Bl. 27  Sc. 23 Ap. 456, Dej, 945109","Pompagiu","13866"
"15","0739 662 306","2019-08-17","Soseaua Ene Nr. 69, Carei, 432166","Cuptorar Ceramica Fina Si Decor","14504"
"16","0788 739 342","2003-02-06","Bulevardul Preda, Suceava, 123067","Analist Financiar","14844"
"17","0768 820 267","1969-08-07","Strada Nistor Nr. 304, Tuzla, 159985","Manipulant Marfuri","15407"
"18","0262 031 415","1968-06-22","Soseaua Barbu, Ruscova, 296522","Sef Parchet","15821"
"19","0772 245 637","1960-11-14","Soseaua Lili Ene, Ianca, 882779","Ignifugator","16006"
"20","0769 483 387","1946-03-08","Soseaua Mazilescu, Borcea, 534091","Expert Farmacolog","16352"
"21","0720 378 911","1945-03-23","Drumul Sebastian Ene Nr. 26 Bl. 72  Sc. 27 Ap. 208, Tunari, 468669","Rabotor-Mortezor Universal","16606"
"22","0761 006 915","1940-12-04","Drumul Eftimie Nr. 361 Bl. 90  Sc. 49 Ap. 657, Cornetu, 825149","Portar","16645"
"23","0233 478 496","1975-06-23","Soseaua Rareș Ardelean Nr. 126 Bl. 20  Sc. 22 Ap. 408, Pechea, 760322","Impresar Teatru","16869"
"24","021 047 9193","1926-08-16","Strada Dinu Nr. 355, Cugir, 451537","Docher-Amarator","17241"
"25","0730 705 679","1985-01-19","Aleea Adelina Albu Nr. 23, Ramnicu Sarat, 977064","Evaluator","17278"
"26","0752 254 415","1960-11-12","Bulevardul Popescu Nr. 193, Curtici, 986931","Reglementator","17467"
"27","0241 822 607","1945-02-25","Aleea Lorelei Dobre, Lumina, 281332","Notar-Sef","18035"
"28","0729 388 396","1912-10-23","Soseaua Bucur Dumitrescu Nr. 854, Baile Borsa, 711335","Babysitter","18065"
"29","0241 054 428","1920-05-09","Drumul Pop, Alba Iulia, 189314","Subinginer Centrale Termoelectrice","18179"
"30","0754 415 526","1969-11-14","Intrarea Oprea, Seini, 866446","Barman-Sef","18251"
"31","0711 275 765","1928-08-19","Soseaua Felix Albu, Titu, 441415","Corist","18367"
"32","0259 918 943","1944-03-23","Intrarea Ionescu, Hateg, 918516","Meteorolog Previzionist","18564"
"33","0743 840 426","1956-06-07","Drumul Noemi Florea Nr. 17, Vladimirescu, 752968","Director Braserie","18586"
"34","0739 320 531","1950-06-13","Strada Roxana Ionescu Nr. 33 Bl. 96  Sc. 20 Ap. 791, Giurgiu, 513028","Cascador","18661"
"35","0780 236 092","1964-11-28","Aleea Stănescu Nr. 62, Calan, 863264","Matar","18812"
"36","0755 297 273","1914-11-12","Bulevardul Georgescu Nr. 182, Sovata, 912899","Ghid Turism Ecvestru","18888"
"37","0730 853 933","1908-04-20","Intrarea Nadia Preda, Pogoanele, 682651","Director Disco-Bar","18971"
"38","0772 151 983","2020-09-15","Intrarea Dobre, Dragalina, 565488","Manechin","19228"
"39","0257 751 617","1918-04-24","Intrarea Toma, Fundeni, 236990","Prim-Procuror","19412"
"40","0245 654 534","2002-03-29","Strada Filofteia Ardelean Nr. 374, Poiana Mare, 503684","Specialist Orga","19972"
"41","0238 949 811","2003-12-22","Strada Dobre Nr. 96 Bl. 94  Sc. 70 Ap. 764, Corabia, 559148","Tehnician Sanitar","19973"
"42","0720 848 436","2010-05-11","Soseaua Dumitrescu Nr. 998 Bl. 26  Sc. 44 Ap. 323, Baia Sprie, 682566","Cercetator In Filozofie","19974"
"43","0248 601 789","1980-09-24","Soseaua Mocanu Nr. 801, Negresti-Oas, 583657","Sef Centru (Sectie, Sector) Telecomunicatii","19975"
"44","0258 860 105","1978-04-24","Strada Dumitrescu Nr. 41, Cluj-Napoca, 378156","Consultant Bancar","19976"
