"bank_id","iban","currency","user_id"
"1","RO14VLED6298328553350063","LBP","5013"
"2","RO02LUXW5927379048604725","TTD","5244"
"3","RO02GQEK1992782881427470","TJS","5528"
"4","RO28ANKI7159274031560458","CRC","5704"
"5","RO18YLMA4377613992781245","IQD","5737"
"6","RO75TTWS1420652449717294","XAF","5826"
"7","RO44VSBU8837704303821297","BAM","5888"
"8","RO50DKUQ2405487529058420","IMP","5924"
"9","RO77KXUF3048465817530377","KGS","5978"
"10","RO87IUGX2098285806197774","PHP","6130"
"11","RO77JPXN2623684121890291","GGP","6310"
"12","RO13QZHW3703639962426772","TRY","6341"
"13","RO16OEDE1930934713012656","MAD","6432"
"14","RO27EONZ1221009141693627","BTN","6923"
"15","RO81OKJU5493119069368357","DKK","7031"
"16","RO70LCAX2138649081472966","RUB","7258"
"17","RO47VENA8018279452164453","BYR","7411"
"18","RO82HDKG3903341728674126","XDR","7595"
"19","RO93CYCO1878531344826588","DZD","7685"
"20","RO11VDIA5890429791777589","BOB","7734"
"21","RO33CCKG5983448695449828","PLN","8055"
"22","RO58EMIW6745795048869509","DZD","8257"
"23","RO44UTKT1934593986268972","BOB","8390"
"24","RO15QZSY0195440254042878","CUP","9186"
"25","RO62UJNA2007663129255873","THB","9467"
"26","RO82JPWH5536294824296583","HRK","9983"
"27","RO75ZWUE2269269667267691","BZD","9984"
"28","RO46JTQI2962908492584822","TRY","9985"
"29","RO61DTGQ4765623969163703","LYD","9986"
"30","RO52CEHC1836504848882418","CLP","9987"
"31","RO74RQQX2850789058253631","HRK","9988"
"32","RO36KVIQ5704612254742342","ZWD","9989"
"33","RO26PSDX2653491990728196","GBP","9990"
"34","RO80FYYD1142492339335470","ERN","9991"
"35","RO20KFRR8885349377041068","LTL","9992"
"36","RO10JGGD6527746933085974","CRC","9993"
"37","RO82HNOS9428324682157306","BTN","9994"
"38","RO32XXTW7225307687389681","MGA","9995"
"39","RO42EQYJ3820686446464703","HRK","5001"
"40","RO73XIYY7723225010857250","SOS","5002"
"41","RO17LUPU2059355875345140","UGX","5003"
"42","RO86PTWY2112899834805439","AFN","5004"
"43","RO37FAYK9996426359775095","NOK","5005"
"44","RO93OXZH5374871910849213","ZMW","5006"
"45","RO59XUKQ2387600863611759","XCD","5007"
"46","RO45IIYP5462657956058313","BBD","5008"
"47","RO30XABX2348535477838598","IDR","5009"
"48","RO44LFUL0816630701772251","QAR","5010"
"49","RO74BZFC7783957135718529","CAD","5011"
"50","RO22FGVW6154574187705620","CNY","5012"
"51","RO29BSSX5713409548292253","ALL","5014"
"52","RO87RDUS4753865376541412","PAB","5015"
"53","RO23SWPS8732844931136413","GBP","5016"
"54","RO12XXKR3268389698604541","GMD","5017"
"55","RO51NKTL0372276986995541","DKK","5018"
"56","RO12AVXG1736862009157392","HUF","5019"
"57","RO93STTS4381008264782440","BGN","5020"
"58","RO70NBSE2762251970167539","HUF","5021"
"59","RO13DPLC5691944610561536","WST","5022"
"60","RO91OJPV1982981514480347","BND","5023"
"61","RO56DEBZ5514490971626202","HUF","5024"
"62","RO98RBYN7651002638850235","THB","5025"
"63","RO16TURH0812666627526763","MKD","5026"
"64","RO88VAYD8595174725178012","HTG","5027"
"65","RO26NGEL1011591682790021","GEL","5028"
"66","RO81RVQL5837919339812073","MRO","5029"
"67","RO27ISHW7823626847515099","BDT","5030"
"68","RO08DWZO9508901141195190","STD","5031"
"69","RO40YDCQ5125581040704084","RWF","5032"
"70","RO71LLAF4075153258842408","VUV","5033"
"71","RO02JILW5343547012241142","UZS","5034"
"72","RO88RNMS8240455198577735","PKR","5035"
"73","RO28ZEHY8743028018024747","KGS","5036"
"74","RO09SBMM0821847459232846","THB","5037"
"75","RO70KNMF9601812366787450","HNL","5038"
"76","RO74OFQX6660199755105214","STD","5039"
"77","RO62XPDP5326046826334902","SAR","5040"
"78","RO60ICLE7340333073627897","KYD","5041"
"79","RO27FZUJ1272292962588310","TWD","5042"
"80","RO10DGMK7796388095525887","FJD","5043"
"81","RO22GVJF0630973332510120","RON","5044"
"82","RO91YJLP2474504673276963","MGA","5045"
"83","RO16FYON3573599345255095","JMD","5046"
"84","RO65KKMW9162960633415592","RWF","5047"
"85","RO86XIFM0870105648086841","TZS","5048"
"86","RO50HCTY3691315382141754","UAH","5049"
"87","RO71TFRH2756541045929394","ILS","5050"
"88","RO52OFGT6039222374841726","FKP","5051"
"89","RO44WGRA5121477852575605","BAM","5052"
"90","RO44XABB2821609482596808","ALL","5053"
"91","RO37WAQZ9663415594974281","OMR","5054"
"92","RO85QUPG6300759070983247","TJS","5055"
"93","RO07HLRJ8757258425025577","SPL","5056"
"94","RO48LJSA8793008579825721","PKR","5057"
"95","RO76MBII5812223774725480","IDR","5058"
"96","RO82LTMC6508084145144334","PAB","5059"
"97","RO67FDCX6180563978384742","NGN","5060"
"98","RO27LWRY9539024969515126","AUD","5061"
"99","RO96IZKN7266519409090769","GYD","5062"
"100","RO15ENQS1958985120947432","ILS","5063"
"101","RO40KYQF4229417506123890","MWK","5064"
"102","RO95BJHL3566292075696225","TMT","5065"
"103","RO38FUQV2076018448626373","MOP","5066"
"104","RO49QVKC4922529072213983","MKD","5067"
"105","RO14PTNH4872845085540165","XOF","5068"
"106","RO94ORTB1876491514777354","KZT","5069"
"107","RO26QVVS6275709187796412","DZD","5070"
"108","RO85TCUN9677724342337668","BRL","5071"
"109","RO31XRGL4914470445869552","ALL","5072"
"110","RO09JLNP8998856366372792","BGN","5073"
"111","RO09MYPZ5147200821540753","DZD","5074"
"112","RO07JYTM3851505429201256","SRD","5075"
"113","RO23URGG6046822313241798","KES","5076"
"114","RO76JLKI7366223660973908","TOP","5077"
