"personal_id","personal_number","birthdate","address","phone_number","user_id"
"1","3930429317191","1951-05-07","Soseaua Diaconu, Harsova, 718718","0240 262 699","5013"
"2","8741110051502","2018-09-09","Drumul Măriuca Suciu Nr. 29, Strehaia, 390635","0268 172 612","5244"
"3","7350514126307","1945-12-21","Intrarea Pușcașu, Turda, 300366","0727 023 678","5528"
"4","1091111276456","1923-08-06","Soseaua Georgescu, Dumbraveni, 649749","0747 526 002","5704"
"5","1671024090209","2002-01-26","Soseaua Stănescu Nr. 439, Mihail Kogalniceanu, 917180","0251 530 403","5737"
"6","7761202316643","1981-02-07","Soseaua Dobre Nr. 91, Pipera (Voluntari), 210501","0239 823 751","5826"
"7","8190110075602","1945-04-17","Aleea Cezara Popescu Nr. 15, Sacueni, 541361","0257 976 923","5888"
"8","8080808282416","1944-03-03","Drumul Diaconu, Deva, 756150","0265 171 723","5924"
"9","3271210247756","1952-04-04","Aleea Oana Cristea, Baia Mare, 146491","0772 937 158","5978"
"10","2430414139710","2023-11-17","Strada Florea, Mangalia, 678061","0250 908 952","6130"
"11","2051207415711","1965-11-03","Soseaua Pop, Glina, 550231","0728 702 263","6310"
"12","4531127141161","2022-03-10","Soseaua Betina Popescu Nr. 45, Moisei, 316618","0734 654 688","6341"
"13","8880511468485","1937-12-25","Intrarea Stănescu, Arad, 701641","0264 339 400","6432"
"14","3770319028876","1997-12-05","Bulevardul Dinu Nr. 105 Bl. 31  Sc. 33 Ap. 987, Floresti, 579825","0263 313 074","6923"
"15","4920717204825","1978-09-20","Drumul Nemeș, Cudalbi, 829590","0756 083 548","7031"
"16","1030403347339","2011-11-14","Bulevardul Ardelean, Curcani, 818617","0233 810 087","7258"
"17","7820621056783","2013-08-29","Aleea Ioniță, Navodari, 999825","0786 485 607","7411"
"18","4100517510041","2021-11-03","Drumul Popescu Nr. 874, Caransebes, 747473","0734 630 089","7595"
"19","7381203103098","1916-06-02","Intrarea Tomescu, Toplita, 152784","0269 155 549","7685"
"20","7270228198411","2007-07-23","Drumul Diaconescu, Marghita, 847225","0729 654 951","7734"
