"bank_id","iban","currency","user_id"
"1","RO89CDDH3143474894499109","TWD","10166"
"2","RO82KQGP0003671828651638","SYP","10208"
"3","RO12ABAZ2424588350818689","STD","10746"
"4","RO85EINN1171080358528233","MRO","10869"
"5","RO14JXWB5273547516027122","MKD","11459"
"6","RO51ZAWR0298039598295692","AUD","11945"
"7","RO81XMFT8156389248241902","MXN","12484"
"8","RO92QNJS0294788577082931","ZMW","12572"
"9","RO13BYRC2751681991753095","TVD","12974"
"10","RO92RRCC7959441171528936","ILS","13289"
"11","RO85YZHO2657926933022024","TOP","13468"
"12","RO88TFOW0700574825053302","MOP","14873"
"13","RO38LFSD8577558023115707","TWD","15161"
"14","RO32EXXW2150317230404901","BTN","15325"
"15","RO06PAWB1864726438129887","MYR","15370"
"16","RO18LDLK3774016891591328","GYD","15883"
"17","RO86JOBT3300473991291923","MUR","16030"
"18","RO57WHGJ6063420582402338","STD","16237"
"19","RO67ZJKT8360533971895476","TTD","16277"
"20","RO32JRLA3029209330376211","ANG","17148"
"21","RO12XJQZ5281243781689451","EGP","17391"
"22","RO78LUNU6945127189392653","LKR","17641"
"23","RO53AEOE3289219909414643","CDF","17860"
"24","RO59BCPQ8184310334088675","JEP","17930"
"25","RO66MWRB6679250164363446","SEK","17972"
"26","RO17JMNK5998703167647726","JMD","18140"
"27","RO80LWNQ7173885849239175","TVD","18507"
"28","RO27YMCP5139922569028313","MKD","18718"
"29","RO42EBEW4315527456266447","XPF","18842"
"30","RO19ZTGW8460540088547432","XCD","19005"
"31","RO78ULFS8187765130874613","UYU","19214"
"32","RO23LFJR5518840226944722","TZS","19439"
"33","RO24EMXP3477021455819318","TMT","19461"
"34","RO45TVRB2911226603018449","DKK","19997"
"35","RO92GQQU6485064144946394","SHP","19998"
"36","RO73XRVL2104969671958412","SVC","19999"
"37","RO89AQVB2722993142572292","SOS","20000"
"38","RO64IAYY5374498684772965","TZS","10001"
"39","RO58BYXP5913915905079998","KMF","10002"
"40","RO80UETL7155762983683824","SVC","10003"
"41","RO17XHVE2673187299166770","BDT","10004"
"42","RO35CCOJ9427909580044194","XDR","10005"
"43","RO15SUET7103238742687970","CRC","10006"
"44","RO20BJIX6108539245507766","CLP","10007"
"45","RO49SQKL7565145106716953","FJD","10008"
"46","RO21DHBZ8208624866344110","MVR","10009"
"47","RO43NAJS8119567513533925","MRO","10010"
"48","RO77IOLF9992042751304639","AFN","10011"
"49","RO42KKRC9170771466164854","KES","10012"
"50","RO65KIBL8813002201211850","RON","10013"
"51","RO95FWUX5458005950022984","ISK","10014"
"52","RO69SUMM9216951891035504","BTN","10015"
"53","RO23XENV6461816276241554","AWG","10016"
"54","RO34VNOB6838634359634397","BBD","10017"
"55","RO39TYZD8168531657748326","HKD","10018"
"56","RO75OQQU7119152093758761","CLP","10019"
"57","RO96NBWJ3910855413494612","SEK","10020"
"58","RO83FLGY3075093233148482","BYR","10021"
"59","RO71UAZF8530912374652608","MOP","10022"
"60","RO13OIFW6062528756683377","ETB","10023"
"61","RO48AIVS0893811005287061","MMK","10024"
