"personal_id","personal_number","birthdate","address","phone_number","user_id"
"1","6291019164241","1926-02-01","Strada Nemeș Nr. 293, Constanta, 726654","0730 455 814","10166"
"2","2650823403830","2014-03-11","Soseaua Tatiana Tudor Nr. 35, Cajvana, 881599","0747 099 172","10208"
"3","3430715451584","1949-02-21","Soseaua Antim Cristea, Craiova, 862774","0758 136 071","10746"
"4","6040902370808","1924-09-27","Strada Leopoldina Diaconu, Adjud, 904411","0255 900 514","10869"
"5","7180103252831","1997-02-11","Aleea Tudor, Borcea, 173103","0734 963 586","11459"
"6","4731228368210","1951-01-23","Drumul Florea, Dragu-Brad, 858237","0724 945 411","11945"
"7","2650431315496","1969-06-23","Drumul Barbu Nr. 879, Rovinari, 491849","0772 078 564","12484"
"8","8880116058630","1965-04-30","Soseaua Stancu, Nadlac, 230547","0253 509 059","12572"
"9","6200805420480","1960-08-06","Aleea Pușcașu Nr. 31, Cluj-Napoca, 659892","0260 768 357","12974"
"10","7980908407159","2005-02-21","Aleea Pușcașu, Husi, 803613","0735 141 370","13289"
"11","3060316127085","1992-12-22","Aleea Stan Nr. 449, Turnu Magurele, 893475","0784 207 585","13468"
"12","8460226114611","1989-12-18","Bulevardul Dinu Nr. 50, Bragadiru, 450744","0728 413 727","14873"
"13","1530319351706","1920-02-12","Aleea Marin, Rasnov, 434984","0239 198 436","15161"
"14","5880806406491","1974-11-05","Soseaua Pușcașu Nr. 694 Bl. 40  Sc. 86 Ap. 144, Balotesti, 962214","0744 828 295","15325"
"15","4130514525191","1910-10-16","Aleea Toma, Tulcea, 804563","0260 351 228","15370"
"16","4171005205573","2007-09-07","Strada Tudor, Jilava, 418421","0747 856 875","15883"
"17","7700630397323","1933-05-19","Soseaua Stancu, Agnita, 383323","0785 579 494","16030"
"18","2660615331894","1937-10-14","Intrarea Cristea, Cumpana, 728544","0749 789 123","16237"
"19","2150504238866","1971-11-01","Drumul Cristofor Toma, Bumbesti-Jiu, 519560","0739 287 527","16277"
"20","4810606341333","2021-05-17","Aleea Vera Diaconu, Urziceni, 613768","021 789 0329","17148"
"21","8240523115877","2014-07-20","Intrarea Aanei Nr. 522 Bl. 10  Sc. 29 Ap. 678, Rodna, 139252","0766 966 170","17391"
"22","6091215080571","1914-07-03","Bulevardul Tomescu, Cudalbi, 233732","0766 955 836","17641"
"23","5010805237856","1991-02-16","Drumul Dochioiu, Ludus, 899685","0756 602 400","17860"
"24","5730730030231","1988-08-22","Aleea Niță Nr. 19, Bals, 114458","0767 421 641","17930"
"25","1960928284893","2005-09-17","Bulevardul Florea Dima Nr. 805, Ramnicu Sarat, 812955","0255 511 487","17972"
"26","7570609233793","1912-09-22","Soseaua Diaconescu, Strehaia, 417456","0745 718 430","18140"
"27","6160322518586","1992-11-26","Aleea Dumitrescu Nr. 51, Balotesti, 510051","0236 558 032","18507"
"28","7921012159399","1927-09-07","Bulevardul Tudor Nr. 593, Titu, 641318","0241 675 957","18718"
"29","8420124455436","1938-11-01","Soseaua Mocanu, Fetesti-Gara, 525392","0262 164 584","18842"
"30","6501208055703","2002-09-13","Aleea Barbu Nr. 31, Saveni, 626110","0757 460 692","19005"
"31","4550425194875","1967-08-10","Aleea Ioniță Nr. 342, Rodna, 795366","0757 845 134","19214"
"32","4290213147044","1968-06-01","Strada Marin, Codlea, 163685","0245 498 599","19439"
"33","7910418180572","2003-01-03","Soseaua Lucrețiu Dinu, Nadlac, 130476","0243 118 636","19461"
"34","1550120129734","1968-10-04","Aleea Ardelean, Marginea, 873590","0240 902 693","19997"
"35","1570629075375","1987-02-23","Soseaua Pușcașu Nr. 52 Bl. 34  Sc. 32 Ap. 259, Eforie Nord, 558336","0263 638 439","19998"
"36","4550523369538","2013-01-18","Strada Mocanu Nr. 39, Copsa Mica, 454605","0254 529 064","19999"
"37","1800819084120","1964-04-18","Intrarea Ionescu, Borcea, 645996","0769 649 821","20000"
