iban,currency,balance
RO12HEUR8390110534511371,TRY,61503224491
RO94RCUY4095449505998835,MAD,86617589364
RO79BTOB2131764633759502,DOP,4050540674
RO79HDNP5004129727758527,XDR,12411116711
RO43GCEY5331234805467636,MGA,46553211317
RO41UQMG3060142809693272,CZK,23903717142
RO44HOLF6405277728641460,KGS,61545459334
RO11SXKJ1337054525944771,RUB,66258433485
RO15KSCG5569178474839296,BYR,32305252315
RO06PUAY4848156350147015,TOP,56210958132
RO39YVMA4910592286858235,SVC,80653715430
RO14IYPW2207693322186856,IMP,6605495397
RO29ZAJM4128399741854799,SRD,20540109000
RO54RTFN4280850635849098,ERN,32376815629
RO13DJFG1023811628076173,XPF,53488272890
RO93UXNC2880423903686758,VEF,65431811018
RO63FVPZ0854980256036236,HNL,96877105901
RO80CMJI6011313161743245,UZS,99080031533
RO35VHZJ0918122727497404,ARS,6176288060
RO33PGDR9608781609130668,DJF,52117330053
RO06LQPK1597142369068117,AZN,37508293824
RO33WCRY3858789616039105,PHP,86674041497
RO76FCAB0149696564235494,KHR,8848255473
RO08WFOG7571425909477812,TRY,87494651778
RO49ALYJ8837724843612200,UZS,23795271625
RO96GDGN8095203783981431,NZD,68358287382
RO43ACTY5978960778360967,EUR,47988159801
RO90JVGJ2041725946499111,PHP,93555927506
RO12BNSB6755211456700611,IDR,79159934391
RO51VVKC8800987166745608,SVC,69983028158
RO97YLXA0200995391593136,SZL,24627741418
RO04VZTG1452565223111963,JMD,8705055912
RO06ZQVL1804930927724033,CUC,53803489846
RO97LYAU8891999338521874,HKD,51871255371
RO78UYIL9896150620562679,CZK,15309645509
RO08PWAC3078381046794035,DOP,39265236194
RO07RSDY6340023178457946,LYD,63693625259
RO48CDVZ4884684293163959,LAK,56828333090
RO17TGIE3013112332998308,BTN,44089000791
RO65HHAV4043736417905828,AZN,43767666839
RO51DLVS0931300431590997,ISK,49657111115
RO44JCVR2000024131809187,HTG,92716142811
RO65BZAT7105633758071154,LAK,52542012851
RO84MSBL8464713273892021,PEN,13631222837
RO28JMGK4618938593313733,IRR,58092271375
RO53SHRZ2628557318977212,MGA,81836470517
RO20OYLG2221409443939759,BBD,68089209202
RO19LBJX8047251719600424,AFN,95867899575
RO50XAYP8404739985908122,LAK,85342070270
RO86XLZY3768400274607208,ERN,1374200722
RO11ITBQ7452024344245130,KMF,10047688846
RO75TGJC2343891583592464,KZT,98127467949
RO07GILR0842768664090035,TRY,14568460420
RO48SYHM2305286751561235,SCR,42754272577
RO84RQOC8155762000789796,TOP,3009952515
RO08XWJM0097958901973451,YER,49785618129
RO50OARK3056795841155896,BAM,75544159527
RO86YZWM5138187412788956,BAM,33680661407
RO54BMRQ2373383437705175,MUR,29215924385
RO40XIRG4424507398138938,SAR,9412401601
RO64UGUL6548587955229434,ZAR,62719717200
RO36LGVG2282340067085051,MKD,19900461995
RO74EHVT2128451737312387,SDG,28816251032
RO24WBBH1773631485819427,XDR,23526354564
RO91LTWG0282035956994084,IQD,74282906860
RO61SZXG5474862847853289,AZN,43887222562
RO46XLZQ9247361909746328,MZN,19241553015
RO21CITJ2247041676754433,JOD,2565804077
RO65QIIC5813799475294838,KMF,41292535835
RO79RIDP3631666104791289,LAK,57726141363
RO34IKSP1537326891287073,VEF,3617850669
RO73XJXC5965941671464541,KYD,20399441177
RO05QDWB6396210677928869,DJF,13512087089
RO70DMGE1696424754724346,GMD,61069214670
RO43ULXP7209369769358957,PLN,7520350493
RO42EFQQ0900084525266272,XCD,59391821854
RO27UTLK4946125449960769,TMT,87456508525
RO41ODJU6748814344573476,BMD,22588682657
RO95LLGA2917610224178484,PKR,51880644569
RO16YSLL8078126293192603,LAK,45782212675
RO44EKIV8407294258010690,SDG,68842918161
RO03IPGF3053080402946410,ANG,89311795106
RO96EVFD5071788237665402,GHS,79924709748
RO80FXHR8255325879969669,HKD,52182750608
RO05LBJW1633138626057022,MOP,23784997741
RO46KUVV3001276135426313,ILS,27201759003
RO60JCBJ5488367354180555,SZL,74042694336
RO55ZHQG6163368034784281,ZMW,5244652921
RO43BGRD6786983183599301,MNT,17762230425
RO80VGOJ5560735940318784,FJD,86785897991
RO10HWUN4392146825997980,OMR,3352558831
RO39POCS2099540757137462,AOA,1370101447
RO74DTTE4379169471697790,VND,53823353260
RO73AQNL9846065597638968,PGK,63538729219
