personal_number,birthdate,phone_number,job
1340506452090,2004-07-31,0757 003 961,Conducator Autotrailer
3120624079130,1976-10-13,0766 412 221,Specialist In Managementul Deseurilor
1420110367927,1929-06-14,0237 209 327,Confectioner Fitile
2351122102230,1927-06-07,0785 429 764,Tamplar Universal
1060518262716,2000-10-30,0743 608 254,Slefuitor/ Sablator Geam
8780116096285,1908-10-26,0235 869 849,Sef Departament Organizatie Sindicala
5560128173542,1929-04-22,0253 158 968,Sef Centru National De Telecomunicatii Aeronautice Aviatie Civila
1471008069059,1979-07-22,0259 690 725,Tehnician Agronom 
2001226347857,2009-08-05,0788 428 276,Cercetator In Stiintele Politice
3270208327251,1944-02-13,0240 072 646,Cercetator In Constructii Hidrotehnice
7091206287028,1994-10-22,0736 106 844,Inginer De Cercetare In Confectii Din Piele Si Inlocuitori
5540815177027,1928-03-03,0742 679 580,Distilator La Prelucrarea Titeiului
5250128382320,1931-01-02,0767 982 863,Codificator
6800303115192,1941-09-11,0741 001 284,"Colector Si Preparator Faina, Sange, Carne, Oase"
6471102463140,1971-04-02,0253 400 656,Electromecanic Auto
4270808283220,1932-12-18,0755 209 070,Sef Lectorat
4600218037363,1969-07-25,0249 726 674,Pedichiurist
3030122262998,2009-02-22,0743 870 483,Asistent De Nutritie
5150508515225,1968-05-26,0746 836 745,Cercetator In Matematica-Fizica
7280705312013,1953-12-23,0245 593 830,"Montator, Reglor Si Depanator Pentru Aparate De Masura Electrice Si Relee"
1591116227967,1971-04-07,0722 913 889,Director Economic
2670622114201,1918-12-21,021 286 1851,Intretinator Textile-Piele
1000230396460,1950-01-19,0745 251 727,"Finisor Textile (Vopsitor, Imprimeur)"
5530125339305,2022-10-17,0760 626 205,Producator Delegat Evenimente De Marketing
6570923527002,1995-08-04,0257 098 546,Analist Financiar
3410425517861,1946-06-09,0757 210 666,Tehnician Pedolog
3850912204155,1965-03-22,0720 930 125,Tehnician Proiectant Transporturi Si Comunicatii
8560214325015,1992-06-06,0759 151 592,Medic Veterinar 
1920525258287,1961-04-15,0711 499 115,Tehnician Pedolog
2181211037998,2002-05-13,0250 927 462,Lipitor Lentile Si Prisme
8861107360823,1954-11-12,0738 962 942,Perceptor
1711101511573,2010-02-10,0248 117 507,Instructor Auto
6931027401303,1931-10-18,0268 929 724,Scafandru Salvator
3360514320277,1984-10-18,0753 193 075,Dispecer Retea Distributie
7291203464363,1965-04-22,0762 160 455,Inspector Protectie Sociala
3760106146119,1950-02-09,0758 457 011,Presedintele Romaniei
8461229285210,1974-07-21,0722 384 588,Director Centrul Judetean De Asistenta Si Resurse Educationale (Cjare)
7140212065572,2007-07-20,0744 641 218,Pontator
5470602386379,1956-03-16,0784 216 000,Consilier Inginer Industrializarea Lemnului
3861122111043,1915-02-01,0234 790 955,Medic Expertiza A Capacitatii De Munca
2960819271837,1957-07-25,0727 651 216,Lipitor Si Protejator Spete
4840715326603,1916-02-10,0267 483 338,Director Resurse Umane
2810321070869,1947-10-19,0231 737 733,"Sef Birou Organizatie Politica, Obsteasca, Umanitara"
7530911220012,1930-05-06,0768 360 609,"Pregatitor Lemn, Stuf, Paie"
3621016150864,1937-03-17,0253 132 399,Sef Laborator Informatica
6680117206396,1960-04-12,0737 478 802,Conducator Intreprindere Mica 
3020422032631,1959-06-15,0721 113 622,Desenator Film Animatie
5151019293024,1990-02-19,0236 418 750,Organist
2740918448177,1933-07-27,0740 374 621,Operator La Instalatii Automate Pentru Prelucrarea Topiturii De Sticla
6260828087962,1945-08-02,0763 635 920,Asistent De Cercetare In Cadastru
5820208155411,2011-02-16,0744 572 597,"Decan, Rector, Prorector, Prodecan"
2790507331250,1938-04-16,0760 835 887,Maistru In Industrializarea Lemnului
7460928265523,2000-07-06,0232 213 198,Inginer De Cercetare In Comunicatii
5150220281573,1940-09-22,0759 811 055,Director Centru De Calcul
5000906428049,1961-08-24,0748 828 079,Artificier La Lucrari De Suprafata
7710813378382,2019-01-21,0769 110 446,Inspector Documente Secrete
2411218357516,2012-12-08,0726 751 261,Sef Serviciu/Sef Birou Daune
4180614373809,1934-12-15,0785 772 821,Sofer Autobuz
1530821150846,2022-10-10,0731 449 771,Procuror Sef Birou/Serviciu
2161210096886,1990-01-07,0748 399 108,Sef Manevra
6291222386494,1975-03-23,0761 069 211,Editor Imagine
8840602038581,1977-12-19,0766 384 475,"Muncitor Necalificat La Demolarea Cladirilor, Captuseli Zidarie, Placi"
8831016125474,1961-07-18,0260 046 641,Bibliograf
6410816335545,1941-12-26,0231 927 352,Operator La Sfaramarea Minereurilor
7890516264315,1984-12-11,0239 190 282,Asistent De Cercetare In Stiintele Politice
3710807124601,1987-12-04,0267 980 479,Dispecer Operatiuni Salubrizare
2440730086652,2022-10-30,0732 489 000,Pilot Aeronave
8110122221187,1931-05-19,0245 968 800,Tehnician Acustician-Audioprotezist
6170619089888,2007-06-29,0723 082 207,Prim-Grefier
3280613041221,1997-06-02,0248 354 085,Sef Oficiu Interjudetean Difuzare Film
6610214525421,2000-11-05,0754 626 069,Trasator
6860828323226,2013-09-06,0747 581 726,Arbitru Judecator Sportiv
2931112366317,2006-01-28,0762 438 525,Director Unitati Tip Fast-Food
1301114347366,1931-11-14,0254 405 717,Administrator Sistem Documentar
4940307233434,1919-07-06,0728 675 249,"Croitor-Confectioner Imbracaminte, Dupa Comanda"
8111212386871,1960-08-02,0264 256 241,Operator Radionavigant Instructor Aviatie
3190107184623,2013-09-20,0234 757 129,Ghid Turism Ornitologic
8290130403304,1954-08-27,0727 243 101,Tehnician Agronom 
7060401153911,1953-05-19,0770 465 268,"Chimist In Materiale Oxidice (Sticla, Ceramica)"
3210425085310,1918-06-10,0724 562 589,Sef Agentie Publicitate
6580711043269,1974-05-21,0259 464 065,Operator La Confectionarea Industriala A Palariilor
8130302307965,1924-09-16,0755 103 176,Bobinator Transformatoare
7390423515666,1970-02-02,0233 768 334,Curatitor-Reparator Palarii
6050924372072,2014-09-19,0788 405 358,Confectioner Cablaje Auto
5470504025136,2018-02-25,0259 040 691,Gazda Club
5911101360499,1965-04-15,0264 893 871,Medic (Farmacist) Director
1570210527241,2003-11-20,0770 730 198,Prelucrator Presa Scrisa
8260617343773,1966-06-28,0742 459 179,Asistent De Cercetare Economist In Management
5170813033724,1960-10-13,0737 310 914,Educatoare
4120712468531,1974-01-09,0761 010 362,Expert Receptie Investitii Industriale
7511226526285,1961-03-09,0231 617 420,Referent Transmitere
2520706191401,1918-12-09,0743 656 351,Cantaret Bisericesc
5211121445541,1946-01-07,0758 076 135,Manipulant Marfuri
3650117011475,1986-02-08,0246 476 498,Organizator Spectacole
1140302523748,1908-11-05,0732 097 142,Muncitor Plantatii Si Amenajare Zona Verde
6420706357358,1954-12-12,0720 778 355,"Inginer Constructii Civile, Industriale Si Agricole"
5580327095821,1989-10-25,0750 267 246,Regizor Scena
1630104399160,1936-02-28,0232 923 824,Inginer Materiale De Constructii
6470824324916,1987-03-05,0248 137 845,Inspector De Specialitate Farmacolog
7290213090487,1937-08-18,0756 560 108,Expert Administratia Publica
7781024214616,1938-01-18,0780 633 705,Sef Centrala Telefonica
4240206255503,1967-08-10,0785 153 787,Cercetator In Centrale Hidroelectrice In Ingineria Mediului
6141226448665,1993-04-11,0256 078 715,Impletitor Papura
8000602270512,1920-04-07,0265 589 599,Gestionar Depozit
3231214102612,1959-06-09,0245 091 971,Inspector Scolar Pentru Implementarea Descentralizarii Institutionale
5330205515775,1961-05-15,0736 847 712,Director Proiect
1990923269194,1967-09-14,0265 575 101,Tipograf-Tiparitor
6100612518056,1919-03-16,0738 517 003,Electrician Exploatare Centrale Si Statii Electrice
3821126191613,2020-12-17,0238 390 347,Tragator Fete Pe Calapod
8090330075591,1921-07-21,0244 852 269,Director Centru Informare Turistica
8320117195261,1942-10-20,0238 981 135,Gardian De Inchisoare
8260208286303,1991-06-30,0761 887 730,Tamplar Mecanic La Frezat Si Gaurit
7160214158032,1961-04-06,0231 577 015,Inspector Documente Secrete
1290215235312,1955-07-20,0722 554 601,Reglor Benzi Montaj
3010716412721,1985-03-08,0731 935 699,Analist Pret De Revenire/Costuri
4670123288235,1932-01-18,0784 840 610,Carmangier
3790930149441,1924-02-02,0747 891 486,Agent Transporturi
5051130340135,1968-10-08,0738 807 880,Sef Cart
1581017414438,2000-02-17,0723 933 261,Sef Mecanic Instructor
6011021146949,1980-07-26,0770 775 151,Specialist Imbunatatire Procese
6660818263371,1979-07-03,0736 936 103,Cercetator In Medicina Veterinara
1791205127506,2004-10-15,0261 826 324,Ajutor Fochist
2510307227967,1943-06-23,0767 201 357,Cazangiu Tevar
5251129457211,1956-06-22,0788 135 592,Operator Circulatie Miscare
8520518343963,1910-03-21,0780 014 684,Expert Actuar
7021213269131,2009-05-31,0250 532 924,Tamplar Manual Ajustor Montator
1071001082574,1919-03-10,0763 906 775,Sef Oficiu Somaj
2880814331329,1983-08-26,0242 952 578,Diriginte Santier (Studii Superioare)
1111216125339,1953-02-07,0749 495 721,Sef Formatie Paza Si Ordine
