personal_number,birthdate,address,phone_number
2730503087430,1924-04-17,"Strada Dima Nr. 82, Glina, 648755",0265 683 894
7821113085081,2007-12-13,"Intrarea Florea, Cisnadie, 290085",0769 037 301
5900425385031,1970-05-10,"Soseaua Diaconu Nr. 565, Mihail Kogalniceanu, 947623",0236 115 774
6980530443247,1995-11-26,"Strada Ababei Nr. 88 Bl. 25  Sc. 65 Ap. 815, Reghin, 839084",0729 752 846
5660808142363,2022-04-01,"Soseaua Dima Nr. 322 Bl. 88  Sc. 10 Ap. 721, Chisineu-Cris, 485148",0746 826 454
2531110186207,2017-12-27,"Aleea Delia Mazilescu, Sinaia, 157816",0254 284 494
5940614284774,1955-03-13,"Drumul Tomescu Nr. 99 Bl. 98  Sc. 54 Ap. 771, Tarnaveni, 534180",0751 213 709
6310710142103,1974-08-02,"Soseaua Niță Nr. 750 Bl. 37  Sc. 57 Ap. 413, Deva, 877730",0732 308 542
1320804132323,1999-06-24,"Intrarea Ababei Nr. 554, Covasna, 840985",0744 792 642
6390305429163,2004-04-28,"Strada Nistor Nr. 50 Bl. 94  Sc. 20 Ap. 912, Campina, 261413",0722 181 138
8230208047863,2023-09-19,"Strada Georgescu, Draganesti-Olt, 740599",0748 016 814
5520525262648,1951-03-19,"Bulevardul Sava Oprea Nr. 34, Balan, 998536",0255 303 744
8231127362155,2003-02-10,"Soseaua Heracleea Nemeș Nr. 470, Boldesti-Scaeni, 874283",0770 595 806
2680125240442,2003-07-30,"Drumul Tabacu Nr. 52, Sangeorgiu de Mures, 315952",0258 018 975
3031023240930,1987-09-08,"Intrarea Dinu, Slobozia, 509783",0254 888 278
3350115129792,1918-09-04,"Drumul Ababei Nr. 228, Ocna Mures, 152621",0264 724 405
7910915126764,1985-12-24,"Bulevardul Ionescu Nr. 742, Toplita, 363076",0743 344 451
6880717348363,1974-09-28,"Strada Voinea Nr. 526, Cristuru Secuiesc, 249475",0766 023 737
6120229274805,1911-10-22,"Drumul Nistor Nr. 14, Petrila, 791481",0745 654 754
4110320414787,1954-04-19,"Bulevardul Bogdan Tomescu, Modelu, 793438",0755 549 272
2200209258801,1939-06-10,"Bulevardul Eftimie Nr. 31 Bl. 92  Sc. 66 Ap. 442, Santana, 466008",0253 331 391
3460215164661,1936-10-11,"Drumul Diaconescu Nr. 94, Husi, 568481",0768 792 632
7121221154487,1940-11-06,"Strada Marinela Tomescu Nr. 70, Simeria, 946293",0742 841 141
1811005226406,1963-12-16,"Drumul Nistor Nr. 82 Bl. 80  Sc. 71 Ap. 363, Sacele, 459657",0259 299 068
3450515010306,1965-07-04,"Intrarea Francesca Pop Nr. 377 Bl. 98  Sc. 12 Ap. 708, Lupeni, 737216",0738 977 316
4150829364911,1919-10-27,"Intrarea Dumitrescu Nr. 80 Bl. 26  Sc. 91 Ap. 326, Calarasi, 267433",0723 356 240
7510126195492,2020-03-26,"Bulevardul Popescu Nr. 97, Apahida, 177687",0725 569 233
