iban,currency
RO50FNCO5266915361149602,XCD
RO04OHOY1084654923733547,TJS
RO28NOVX5845398004694957,PGK
RO77MZVP6657726159749309,PAB
RO61JKAY4022757134779756,XCD
RO66VMBH7853736523306858,RSD
RO63UGYG7568056126062091,MRO
RO49YAES0182891444325425,UZS
RO83ELHU5734414665092563,LAK
RO25GDXX2341256465443091,MUR
RO06OUFO1582765138023448,TJS
RO33GNHT8184143717149941,QAR
RO47YEHA2832181199871457,MUR
RO13FEKA5722206398822143,ALL
RO45KEOC2529740680062054,TOP
RO18NEKA9033517825148036,UAH
RO91DFDZ8299505952057431,SAR
RO55DJRP7491933961887284,LTL
RO16NBKR1103722495938333,VUV
RO24SBKD3687197448796550,HTG
RO87PAQT1906430617536729,CHF
RO24CIAL1704980460435641,WST
RO11TJYD4758555285942255,HNL
RO47MHOX3503166940601005,HUF
RO70QYAH3050379247530459,USD
RO64DYSI2111361496583162,DKK
RO21ZADS4238292925895611,GTQ
RO21USNU7378046263348844,SCR
RO25YVZW5554857273793961,BSD
RO12ZGSB8831491695786486,ISK
RO28WALE8241965741147159,MGA
RO25YRUR3153428832374649,SVC
RO05HSQI2222187728606487,KWD
RO47JPHO5272796768218158,DJF
RO38ERKC5477084708781919,PGK
RO59KCYW3194095183258633,LYD
RO64MPPV7414650134278471,LTL
RO39GKYI5034656788563812,XCD
RO06JUYD6489028419019919,AWG
RO18JHWL7580224400521845,PLN
RO09HUNT5762816704967418,UAH
RO08XFWP9735309744997710,RUB
RO38ZYXC4349566024866821,SCR
RO47NQCV2234209618879195,AFN
RO31RTEX8246742759824829,BZD
RO05DITD3383344271295769,CHF
RO88ADUW8247941629446890,AMD
RO84JYXC4135631909740602,SBD
RO87XZDZ1403708977437192,GEL
RO13WJIB8864619936448688,UAH
RO41PVWP9534849868808144,RON
RO98DNTQ1613447245711334,BHD
RO29FJAM4489653015448816,GGP
RO96HRFC3073905508439521,DZD
RO93VYYM9245883665405903,ETB
RO33OVUO2059652360666889,GIP
RO16GCVJ5317553607591361,COP
RO90EINF6447333720798587,MVR
RO68JTFM4558560569176483,JEP
RO49OAKZ4782984851020125,USD
RO41DJJM1759758255502713,PHP
RO57SLJV2069101027189099,KPW
RO83MWDP8505095645264016,AWG
RO12QVEE6116596203818941,GMD
RO78OQLO8864081202164047,MXN
RO91NZNI0853800781878187,MUR
RO13MBEV7155855875521309,GEL
RO89HSHS8762358042224031,TZS
RO47NTBT8383929648983143,DZD
RO28OKBV7990433381774546,CDF
RO41YPJB2964862129383654,BDT
RO22CHSC3598446836017822,KPW
RO52DBPH4447494827825764,UAH
RO43NJYK7531455851789117,VND
RO50VXIF6376546271456008,VEF
RO32PMMP5713284469361877,JPY
RO81YOGJ2868825701829098,LKR
RO73ZTOU3491771902864400,ALL
RO76KRPR1722017773635467,TRY
RO36GNOH1558330915525573,JPY
RO43QVNR6120452619521762,SVC
RO96ONGQ2482615114620261,ZWD
RO44NRVH0789741479081504,BBD
RO11XQQI8947093932801354,SRD
RO53RMKO7828344703142142,HTG
RO51ZQXP5897344037619428,THB
RO40BOCE2966322462843427,LAK
RO17EJZO5845874970646891,NOK
RO18ZPDV3679328148612289,MYR
RO85CWYQ9425741866830993,MDL
RO91IJTS0019898871737627,TVD
RO13EZXN8306180812407578,DJF
RO92AHYP1643679114657318,GGP
RO67WPZY7959803787894465,BND
RO71WYYT6899023455992319,LSL
RO04XYEK8330402621297469,CLP
RO12GPPU5149856921507982,GHS
RO63XPIC7164851443550102,BGN
RO26GHQW0837027108695074,UZS
RO84XCNV9428496734540652,VUV
RO16HPIW7867774367245506,VND
RO11JIBE7051334910731797,SZL
RO87YMEX6217300693868018,HKD
RO66EXPD6751600513569467,ISK
RO07HWPL6636534545491316,AMD
RO64KRJJ1869485270343016,CUC
RO94HJFT3469008539038250,UAH
RO29NZOY6665495373217322,CVE
RO52SASZ0690208884911959,TVD
RO88IGOZ0043975320188698,BZD
RO15SPID6848156394750959,DZD
RO77SDKP7592871716323700,MNT
RO58DUXR5929519712134172,FKP
RO73HCAJ7641506874894452,CUP
RO36RNPF5898317414183980,PAB
RO79ICIQ8609452894110712,IRR
RO97WAVG8976558484519064,LYD
RO93JMND7474871541356004,MZN
RO32GEGR6023116007777450,LAK
RO20PPPR3131668594182570,HTG
RO96KKQT8667155973673726,BHD
RO59XICP5610349595409053,BBD
RO45NLFV1318458782686904,BSD
RO08JSBM7866464090278176,GNF
RO48ORQR4136074092889267,BYR
RO60JDGB0274773163781301,SVC
RO82KIVQ3612330631916028,CRC
RO32BLSX3095096889852524,SLL
RO61YOJG5475987172386732,AZN
RO79GNWJ9030869804377340,LTL
RO49ADLN2622555794229232,ERN
RO27OSBL4364125889307121,NAD
RO96NDWN8726901122047863,GIP
RO11JPLO4300616945741460,KGS
RO04WJCW5353680923239729,BDT
RO96CHVM8086913194043792,JMD
RO18OZVE7089239566977860,UAH
RO44GHMI0897503820812087,NAD
RO60MBPN5556466693732530,GNF
RO03EYNV0142987727631426,STD
RO05XIVR6972113674529040,NIS
RO97LHEV0276137695593167,SGD
RO80CBNB9622002330174118,CDF
RO82MFLT6705948534982187,BGN
RO55LWIH0484033493421016,XOF
RO66LDBX9864015925325419,UZS
RO10YPVR4599614558907090,AOA
RO85JZXT2798578095177083,NPR
RO96ESIY0249528828411774,DJF
RO82YBAA6697194218081787,CVE
RO19LHIA5373801567809554,ZMW
RO46QUPR6972321152019505,BGN
RO72VWHJ6316863773849742,BHD
RO33CAYD8746127891694104,DOP
RO86DXBB5568472838765006,ANG
RO54NLZF0267649919032239,PYG
RO40USCD6379028556047672,TWD
RO83RJRY0920207019323640,DZD
RO03XZOU9410700091240941,SCR
RO14NLME7272568553148681,GNF
RO82HLZF7308159853542177,MVR
RO88WBNT0775726374964488,SRD
RO09LDQL5572609726238511,KRW
RO78ZEKB1633282042038027,MNT
RO42HUEQ0991025591042236,SCR
RO45TGKF0568633089691852,INR
RO03NXEK4207670976910996,BIF
RO51XHYO0363151344037504,DZD
RO37PUFE2761257605052327,CUC
RO75QFAR4873624612075802,MXN
RO47QVYM2326918073522700,DJF
RO29VKFV9789766582767693,IDR
RO48ISOL7163445461700350,MDL
RO96HQVR2297078845964927,MZN
RO02GVYQ2044136169662876,JOD
RO21MLEX6803340812986056,TND
RO03SOYC0621436338917719,SCR
RO53PTGT0093298489424657,SOS
RO92IKNO0003489409293399,NGN
RO33ZDES9983683523627804,IRR
RO48ESWJ1081827272346856,GBP
RO94GFFH5571182788871299,SVC
RO09MQIR0020253652548688,TOP
RO93DSIV9140811518030354,AFN
RO97BMNC9087882267272189,TOP
RO91UEEF0292942088930128,SEK
RO06MEGK9611604210330252,RON
RO22NAXI6857688417043519,BBD
RO72HJCS8376989784774678,DZD
RO06TSUM9365177822086458,YER
RO92IYUC0439495166475032,KYD
RO26PEFU0685211032241242,SCR
RO92LWGX2266847617244316,GMD
RO10FTND9267900365755912,OMR
RO85GUAH5084010400381283,ZMW
RO93ZVCK5122964430327233,JEP
RO05NJJG7927551482801466,PHP
RO22EVFT2439517593845347,GTQ
RO81UBSL3135048566282389,JPY
RO91SZHW4473979335936357,LRD
RO97JGEF6831355560299431,XCD
RO37SFFB7482818626777251,YER
RO48BVDT0557639446370730,CHF
RO23RYSM2108308849138641,SBD
RO61VBWS6097503545139980,XDR
RO55FPTV5755904029338917,BSD
RO10QGXX0766875516182514,FKP
