iban,currency
RO64IAYY5374498684772965,TZS
RO58BYXP5913915905079998,KMF
RO80UETL7155762983683824,SVC
RO17XHVE2673187299166770,BDT
RO35CCOJ9427909580044194,XDR
RO15SUET7103238742687970,CRC
RO20BJIX6108539245507766,CLP
RO49SQKL7565145106716953,FJD
RO21DHBZ8208624866344110,MVR
RO43NAJS8119567513533925,MRO
RO77IOLF9992042751304639,AFN
RO42KKRC9170771466164854,KES
RO65KIBL8813002201211850,RON
RO95FWUX5458005950022984,ISK
RO69SUMM9216951891035504,BTN
RO23XENV6461816276241554,AWG
RO34VNOB6838634359634397,BBD
RO39TYZD8168531657748326,HKD
RO75OQQU7119152093758761,CLP
RO96NBWJ3910855413494612,SEK
RO83FLGY3075093233148482,BYR
RO71UAZF8530912374652608,MOP
RO13OIFW6062528756683377,ETB
RO48AIVS0893811005287061,MMK
RO28NKSV0132401570932344,XCD
RO95MBJS7506877630106990,CNY
RO62SSAI6094627157458378,BBD
RO48TOYU2128003550325810,BBD
RO08EFCM1255963096593747,MYR
RO50CUAW2382863818355518,PAB
RO17SBEX9026367566241179,HKD
RO26POJY1116221619397236,NGN
RO25YWYS6652111651155799,COP
RO90NTCS1308242013500200,AMD
RO05SGGZ6690575895538483,ZAR
RO75ASEZ5843495268271987,BBD
RO77UYWT7836587307055275,VEF
RO24AXPT1780656730913617,XDR
RO34IUUE6234929181105373,PLN
RO96SRRD2672951687890112,BMD
RO96ZJTN7347615442659850,GMD
RO06LYGR8688337619338036,ANG
RO02VUDE3958929564041331,AUD
RO05FFIR3789958292445784,SDG
RO86YQED7828645392951671,LYD
RO46GOBW2968253652109649,VND
RO46CURB2263061746891061,VEF
RO47IFQW2794621442770264,GHS
RO95YHJF1833985195875633,GBP
RO98KXXK0733746872899622,DJF
RO31RHUY7695881612856541,YER
RO13SVCV1631780330907335,GYD
RO33RSRS6084167265673522,KGS
RO63DGTK7872448099949915,AED
RO43YREE1526313413324524,GNF
RO68IDRC7212944236506936,BTN
RO80RAUQ6156878297716795,SRD
RO73LTUO5691640258854321,MNT
RO25WDLQ1977663600304066,OMR
RO05EHBF8464830956201450,USD
RO05EUSX8092941769347533,UGX
RO71SVCO9119763666502879,KYD
RO40ZHUT5756401660238441,VND
RO36XZFO5743096797745765,KRW
RO78UBLU3278945824310838,HRK
RO45POVP4866958267496649,USD
RO26WAVV9373576944838640,KWD
RO07BFAH8730295254528472,LTL
RO83SICH1642972206816474,HUF
RO84BEVJ8550435154717958,PLN
RO96PLSP5145569165268842,IDR
RO77OKAF0470442306985915,KHR
RO37IGRZ0289417676063316,FJD
RO04OXRA5902096154734874,CRC
RO33MJPE5162485330331650,NIS
RO67BLJM7561654172224810,NAD
RO96UTFF4467695200314683,SLL
RO94QJPG4485106555114812,NAD
RO56YGME3707140457491140,PAB
RO21SIWK3261916694688094,XAF
RO56MIYT2099303659854647,BOB
RO79HMXA0462527722437143,STD
RO49BHTW6001138525729648,SPL
RO39IJXA5789028846508529,VND
RO53TKYI3044020789812857,MYR
RO59PEDW9576328776372904,LKR
RO67YVZP8754126123249808,HRK
RO83MXTG6760771849561619,NAD
RO52QPEM9066297016408458,SGD
RO57YUMP0740873051840312,LKR
RO10HIQZ9446578280260262,BDT
RO43GTAR1046255576678271,VUV
RO81FHKA8431140341108682,GBP
RO77PFOU6726347912213693,TWD
RO12KHII4253568118768369,MOP
RO68ZWFC7642592292831253,NIS
RO80ZJIW1495535384550142,NPR
RO17QCCQ2659707979859641,KWD
RO44LGFX8575741776173089,BSD
RO55AOKW1158516919600867,FKP
RO14KYRC6769730734676729,SRD
RO83PIVS9084092621815908,TTD
RO62YSHW2198413764502550,IMP
RO48EWNX4957917922131990,PGK
RO31WVFF3235625662614125,TRY
RO88CSPN3179249653894524,NIO
RO48ECQH1112137188699556,BTN
RO25QPVT5745639403143182,ARS
RO95HNHM6650824941530703,ERN
RO40JKPM9752912398508290,LAK
RO43NMBW9075925240080690,GGP
RO60REYT2900014133787504,SVC
RO22BNYL1518797443007929,HKD
RO86FBES8021726266403989,PYG
RO61DZGX6327526127713715,TTD
RO24STVR8321610350180626,SVC
RO24EZWS4872475953640682,MKD
RO83FOZT4257269882377294,BHD
RO91ETXB9143528313444553,BHD
RO94EZFS1787636247135399,DJF
RO22CEGV0300299979642196,KGS
RO11UMEB0335811407624514,AZN
RO69SVZE4989455280334577,BZD
RO29ZACE1944807334326691,HUF
RO52LHOJ5012975768199013,MYR
RO21DPPZ8652845369880243,BTN
RO13BYXL9585462939441851,AED
RO91RNFS3463479872925986,MXN
RO96CGKP2418350772697963,AUD
RO38UVQU9968818549664344,BWP
RO90ATHR6539775099966115,IQD
RO31BSMH8469526742613879,BDT
RO97XYCT0588855528604925,ZMW
RO07YRXN8557462233859105,SAR
RO33ZNQZ2768616286705939,RSD
RO06BPMH1309624064818742,JPY
RO74BUAZ9454607230239887,SGD
RO69JOBQ0820788321037735,LRD
RO97ILJQ4501452579879357,SPL
RO16BMIN4984363398857680,JMD
RO54URSV9277602419018387,BRL
RO42QAZV5917503875248409,ZWD
RO73TRUG0708907423665714,HTG
RO92PMJI2444189230452278,MRO
RO50STUX7828428844918764,LYD
RO77IBFR8543154803285801,CRC
RO62KLNA3759690750129061,TND
RO90UFFI1774918470811377,ALL
RO35CHBU3447148672095870,BIF
RO39DHQE7191847219461623,MUR
RO77IEPD9396326071145276,XDR
RO74JVGF9361122397729923,KWD
RO12SGPA5515779155497216,UYU
RO43YSOE7139898945781844,DKK
RO53YFZP3940494270131000,TJS
RO82RHME0866105189098147,LKR
RO28LDEH8811405874891201,BAM
RO14SKNW7215794211626348,PKR
RO49QPIX5503118330540552,BHD
RO69YSMR6053005973299920,ZWD
RO27RAOH2092002463909998,JMD
RO51ZCEE1768689014734841,SCR
RO57VKBA3983542289908804,CZK
RO16OFAI6777979126755444,AUD
RO89CDDH3143474894499109,TWD
RO21NKMP0438953753566022,LSL
RO35VJDI3271038840138545,LAK
RO26BLZE8717847912869815,SPL
RO93ITVZ1091208480646341,USD
RO26EBZV3881231578552970,UAH
RO65KTHL5087288370314626,CHF
RO24LNYD9528369279932530,UAH
RO11CEHP2597689752595968,LAK
RO23XOWV9555106673502458,NPR
RO71MKOG0375239144393668,ILS
RO57VPTC3680299267265105,DKK
RO08JQVP5449786977623336,ZAR
RO70IXEN2334166493831602,RSD
RO17ATMO0637503639398391,TMT
RO78BVRA5937329465190398,BAM
RO96NMAW8265448620321253,ZMW
RO74XVNI5875328374601607,YER
RO45RKCB0877968717242635,SZL
RO50IJTJ6138213354794299,CDF
RO23VNBT4232264975215647,KWD
RO13TQUB0358349053681823,BMD
RO83ZJTB3876965856250058,HKD
RO86MSOL6187324258459104,SLL
RO63RUFE7270791392474621,MAD
RO73DGEA5341796393844391,MGA
RO43UJDJ4731779549719752,BGN
RO03GCGU4389792268286692,MYR
RO23JQWS2754577006089845,TJS
RO67INBV0177913988847991,LKR
RO76ZQCZ9548665390598040,JOD
RO03YWCH9368714170052768,BAM
RO54XNVW9759204272193066,UAH
RO15EUJU2872585341039166,AOA
RO89NQFL8781130593498446,UAH
RO26MTXJ9430940447599873,DOP
RO72OKBZ7299820728864196,PKR
RO05ZFXC7736599356769391,CUC
RO92PAYW4012477381095812,DOP
RO93QVVF1288285853789984,PAB
RO46OTRG8061288237642830,BTN
RO42XGZT6907596173606577,BHD
RO82KQGP0003671828651638,SYP
RO50IELJ9140084441701342,HRK
RO72GHQS8732928405210651,MDL
RO70QOSK5042502972256082,STD
RO06HPYM2942516145053684,MMK
RO32KTCQ2558468103838654,NAD
RO09WCKL8016990737097669,UZS
RO87GPQQ5564755576016603,MXN
RO27EWMA0051879567324391,HTG
RO85POQI5974569541073204,OMR
RO69ADJI7843795958195215,TRY
RO03UFYM2917899642663429,THB
RO74BJXD1237926402605006,ARS
RO60SPCK1303479282764140,SEK
RO94AAMQ8259810950402823,CUP
RO36OLLX0563525056289631,BHD
RO91BILB2572127263617179,GNF
RO91EBQS1727134408163199,XOF
RO77NRWS7176244906385406,ZWD
RO75CSCM3003373653625372,DJF
RO32KJGM3229119093686718,BYR
RO22DFSI3463604278260025,BBD
RO88TMUP7364061913027885,NOK
RO41OFOG6595399963726240,ZWD
RO84EACD7030776345827599,THB
RO46RUNV6678767971943941,RWF
RO10UGCV5145112863231611,GGP
RO07LZSM5292967644563268,BMD
RO46QONL7572048524919088,TND
RO57ULCT8205885261786460,UZS
RO26OUUJ0416156956928024,MOP
RO73KPGV8810049294833567,UAH
RO32CGSO3530009041660034,SRD
RO75OMTD7111770168325729,AED
RO77ACRY2388877251011168,GBP
RO63IYER8901347389958036,SVC
RO61NXQY1824438641183709,BHD
RO26QUDA7228157017794505,CDF
RO36DLZA5902840966576064,PLN
RO63FMVY1308206307567116,ETB
RO48XJVX8811778827876767,GTQ
RO80PRQH0868346781882827,MUR
RO39UCEJ4584445771330020,MZN
RO14VZGJ6167084495327655,FJD
RO66PSGU6848310926946895,OMR
RO21NBSZ7019934559694573,ZAR
RO44HYHS0072805534324192,LKR
RO85ASUT4295382365392834,MGA
RO71EWFY0266263257105394,IRR
RO48TBVZ4331754387111625,AMD
RO61ORUY0412571531709005,GGP
RO72PXUL3598139353955307,UAH
RO47MOZZ1396661673871757,KGS
RO76IVOW1011092704635432,KWD
RO92LJIF6540629051146571,CRC
RO87QQXN9509867085705407,MDL
RO10YAPH7278338987322043,INR
RO11HFJC1370392385044927,JEP
RO61HJSA8603614439253141,TJS
RO53ATUJ7824645199654882,SDG
RO52VDIZ6630547968810893,TOP
RO38SMMZ3359585493825531,NIO
RO29DSGK6259062974537994,GBP
RO62EMVX4815491736074069,CHF
RO41EGDB8514798165951688,BMD
RO05FPXW2637867602530750,MKD
RO88ROEP7728584039116642,PHP
RO97OUBX3920562305817058,HUF
RO28OJSM4183834578955052,MVR
RO27CEJH6432300592792043,TTD
RO17SBWG7517629081926227,MUR
RO02ISBQ6508760187037816,PHP
RO69OSXT6655910616277712,BZD
RO58QLNC4040516624645502,NGN
RO89MYBP4979592015285443,DZD
RO69RWNK0444320629287400,ZWD
RO55RZFB8891913293794805,TJS
RO86BITX4153039798786008,AUD
RO70ZCBP2568636027479613,ILS
RO22YLLD6846099244676092,COP
RO91RUFH9449630933327621,MWK
RO32CBMD7187507865151883,MWK
RO05TREN5859485085901004,DZD
RO37YWTX1555362291688010,BHD
RO57YBWJ7470092760279971,VUV
RO33TBLO8491607299259422,YER
RO16WHHH4127477186047818,BAM
RO24ONFN0154621274313698,CUC
RO41ZIEV0262787053583187,GTQ
RO19BHSW8645151335500236,CHF
RO89KWYS6600327872272714,AFN
RO78GJBW3615753676275847,CNY
RO49POIH2210914613406292,NIO
RO70WYDV4244440973900400,TOP
RO84TEBE9692089888102902,HUF
RO24KTZP0848009491747217,GMD
RO80VGHD1187827883790010,AED
RO38EFWP3523251589424233,GIP
RO34DKEJ5907971886866134,LSL
RO10JWZV4356068356788676,AMD
RO62RVHU9974552914285183,MUR
RO84NFNY9462440721721375,TZS
RO21LUBA9543649912182646,TRY
RO98LQTN9985154217765812,CZK
RO70POUP8256234501685944,MYR
RO97DAFI2971539673311068,GIP
RO84CUVP2650975524963934,KWD
RO57CQJG1731542304111644,HUF
RO87QOVR6337238059638918,CRC
RO17NHPR5581749996781537,SYP
RO58NRMC9558995989341635,MWK
RO41OLGT0539281976675597,TND
RO51VMMN1288066399081259,AMD
RO36CNMU0605816343425436,MUR
RO10CEQD1816689344871908,ARS
RO07NIWO5608789210402504,AWG
RO84LGNZ9405915947703440,ANG
RO03ZZFK8892526938043970,STD
RO57LYIF3343251114251826,DZD
RO29ZRKA4093779386300407,XPF
RO39IZSP9550396942314974,CRC
RO53QEWN4178761579235718,KGS
RO14DTEB3374361261163612,PKR
RO24TGBP0745228286650011,LBP
RO83DCKZ4607803501441890,IDR
RO49KWOW0268594152880301,AMD
RO15LUMY5361214761344040,VEF
RO88YKEA0643495129763438,DZD
RO72CTFI1892095497067055,BND
RO51IMKK3355234944760070,BYR
RO59QTNG1336422209196636,HKD
RO66MQUT7515081398962366,UYU
RO97QRKP6332654182911370,XAF
RO47ZSRW3931934024948887,THB
RO82YNEI7282390055467974,TMT
RO14WAMT4801474455548933,IQD
RO41JWNO5236658202577137,SPL
RO63PAKV2342389937495915,TND
RO47NTTM1608025684798656,GHS
RO89UCRO9977143168864626,SEK
RO79TWJZ7417481391492186,GIP
RO20EYUZ6946831765204505,MOP
RO38XVDW6640425235516758,MRO
RO47DBKF3562695941641056,MNT
RO21TAHM7228152885911973,KRW
RO82ZHNC5041026891915617,GHS
RO56IQZF0928014657053961,SZL
RO96ZTJG0366369364962540,AMD
RO83PYMD1418614179049066,AFN
RO31MGUQ5724361442905208,DKK
RO97EJSP1586961949727852,KMF
RO75XUCD5028089601900080,CLP
RO68KGAD7898195124113047,DOP
RO08GMCX4808848643676856,JOD
RO30UNIY7106022641729523,SEK
RO63AYII5476049667190444,AWG
RO95FLDK1673915326919743,BDT
RO98QRZN6777835120475720,SOS
RO94IOWB7442265581826392,KYD
RO10LMMG9319865986511989,FJD
RO20POUW4776039801666977,SHP
RO43DRYJ3057411329823271,ILS
RO93LDZA1051692272074666,XAF
RO92HHSW6658470162354685,JOD
RO59WUCT9370603589899986,PAB
RO46RANM9419831907669945,SOS
RO43EDRY3251247829484782,LKR
RO06UDCL7717214031551949,KWD
RO72CLLO5512035810246855,DOP
RO89CLAQ2505785037445699,PHP
RO18XDWM2937044700933188,BBD
RO03VIQT2442446306769596,PLN
RO11TINA7645574686902130,LKR
RO12WMLB9448469073099288,BGN
RO63DZYG9823454191925402,LRD
RO05THXI4604322961415567,AED
RO37FRWU9957560693170476,RUB
RO25IHTZ9439528796586615,AED
RO57FUPJ1678274493990992,BYR
RO59IMQO6075546917261252,CUC
RO14UJRH3795655714275669,AFN
RO91NNCV8991921796059641,VND
RO25XYQS2007078504640887,GEL
RO86BPWK6346030934912416,PEN
RO65GQDC6439123211637917,MYR
RO68KRBO7938978959932724,KYD
RO69YFIZ8265532867058770,IMP
RO21CPRV5342474930638330,DJF
RO66IDKI4523236062194367,KRW
RO62UBNW0910617674924285,CAD
RO59IOMC3307423451692947,MYR
RO90HDIK8858484437090627,MWK
RO50BWYB5360003305597857,GIP
RO56LDKV1718017049041692,LTL
RO15YTWE7650118857874149,SBD
RO68FAQZ6063301657225802,JEP
RO33DITR0142953332909588,AFN
RO94ZWFT7662458198649585,KPW
RO42RZDG1476386787108960,SGD
RO84TNZZ0062631506749606,CVE
RO66YFWI0309939785579250,PEN
RO92PIKF3973470186812499,AMD
RO52NLFZ1914773970632311,JEP
RO27MIQJ4550216342980014,GEL
RO33TUWE5064498381411991,NOK
RO88WKTN1622253161711128,IMP
RO81LBHU1899009502422191,BMD
RO09PIIW8709530799738437,XAF
RO57HKLI8783282044761890,NGN
RO10MSFT1538794933117762,USD
RO82JGJT8678839729894574,PKR
RO07OASR6760064728086346,WST
RO76KWNW0054029671437185,SGD
RO72IHRB6146660440665641,MNT
RO38UFYP2003925670936660,BMD
RO75ACWO9186506820183703,MXN
RO75HRLD3832758882073146,NIS
RO88VCXA6166506053658266,GIP
RO27CWCQ1498119445018447,PGK
RO65XIDD9312599482327885,SRD
RO72ODTN9315724532271861,UZS
RO86VBMY3854387589878761,SRD
RO37MIJR4430306418505840,KWD
RO78FDGJ3321781124761902,VND
RO66TWAI8316518301221189,SZL
RO09ECOK5702684756323132,NGN
RO73IOWO9180876884736105,PHP
RO38FMHV4310398572466228,KPW
RO23XBHH0128210079832225,MOP
RO18JNVB7594452726102409,COP
RO39PZTT5634891930735771,ISK
RO41UQIS5514577171266100,GTQ
RO41XAAT5622424078573087,VUV
RO54KTDH6660572126943168,TWD
RO22QRLV0151601627868395,MWK
RO43DYYT4309120527495495,BHD
RO52QUBR1951291977828461,SDG
RO61EEYI3783962450043952,PLN
RO92AAWD6066500705483020,ZWD
RO45UHJE8914667880404382,CUC
RO05NFYH1888656856074217,CVE
RO57JMYK8775099378797690,BBD
RO70GSCT0349430189595073,YER
RO34YBLA6027471719594008,HNL
RO42TBZG3409750377559283,LYD
RO61XNQX6329728090560180,ARS
RO22ZJTR5910275839509458,SPL
RO46GIAM9051110376254878,UYU
RO73YFJX2817312689883321,TRY
RO46GCZF2197293779767399,CUP
RO56BWWZ8493872916579016,KMF
RO10OPMC9330575997193678,SEK
RO25FOAZ5116047699809025,SRD
RO04TDQV7460104990885482,ERN
RO44GJAX3573786585024423,BBD
RO83MVEP7949602612996260,BND
RO21XIPC9251313853982365,KZT
RO24GWIC0913684849925302,JMD
RO90EEZM0386192591583837,BZD
RO62JNYI4173966364437603,MDL
RO30VWOH1746170424585841,BMD
RO92SNHP9585789392005157,CVE
RO69CQQG9483567184073340,WST
RO66VESK2107117952806400,CAD
RO85YXPJ6141177360196771,ALL
RO80XVXB0593929013999956,PAB
RO93YGSU0513072175929495,KWD
RO63IKPF6967527520623334,VEF
RO82CXEF6030736134143136,AZN
RO48LYYJ6857855380037780,CNY
RO56PZLS8116604352021068,UYU
RO23AGCF1297884945844753,XDR
RO59EFDK1463910988011453,KPW
RO93IJFX2458710377364998,SEK
RO95LFII0182013541770124,UYU
RO77GGAP8823800478619318,KHR
RO25JIHA0059147396053689,CLP
RO61KOCK4535896929284804,SOS
RO11LVGW2852424936476130,VEF
RO19LTSK0315676481467277,DKK
RO64VXKD6685306587279151,GHS
RO19JBBV5149032991110574,KGS
RO72UPBT5702901471608976,LSL
RO56GBCV0028163222863567,LRD
RO39QPHF9778387155930695,AFN
RO17JYUX2603493379435571,INR
RO46IOPV3549800400283493,NZD
RO82IOTM5882393075567310,MNT
RO19IPKG6927712210983050,SPL
RO19NLAZ1540739608523009,ARS
RO14TTMJ5024050877126602,CNY
RO34KKZZ4675782880724094,BMD
RO57AWMH2813927154228595,FJD
RO28MMZG3588718263897794,KZT
RO98YLBA3466254668667062,SEK
RO86LPVM7978442466486652,UAH
RO17GOGW7738473725669882,SHP
RO24LVOG9901636106034556,TOP
RO80FZSW3137618769314945,AED
RO63JNFJ1722293955645513,HKD
RO09LSAS1064929801861405,JEP
RO25ROUU1338761268852275,ZWD
RO34NYIZ7491768665269018,UGX
RO11LHUQ8969832175501665,ZAR
RO52TQHE1387300946742445,VND
RO92MCZG3206149784092304,GEL
RO68UTDZ6032147759553209,BDT
RO19SHXM3245953088135668,MNT
RO85JGKP8916879734655662,GIP
RO40IQYB2419261974675738,SLL
RO26PXHT5745329388010363,BND
RO12WRVS7509842543452573,SRD
RO31IYDM9574981294256373,QAR
RO24RRXZ9884329337095970,DJF
RO59CCHZ8088256486053700,EGP
RO92VZCQ4424649397154356,LKR
RO23ZVZQ1431357142876986,USD
RO49SLUK3249330427065188,RSD
RO55ELUS3446609172323210,TMT
RO88IRYK3104564409879589,ZMW
RO32IWNP8558110866630795,PLN
RO08SCUO1002211243864274,BYR
RO54DJAX6181655620688559,CLP
RO96MOIJ6352180821303385,ZWD
RO81JLOQ7245987766198816,BWP
RO26QRCS0654946056012289,AWG
RO35EMZX5643593940540251,XCD
RO37RQWV1354317746304043,MGA
RO22QZFF3492362300549686,ERN
RO21UORM0202800587697554,STD
RO40GVUF1802298939031627,SGD
RO56TNMC0010287115036369,SLL
RO94JLPH3775883306292380,TVD
RO69SSPB8163774633945114,GBP
RO41FMAN6481838222209479,THB
RO66UNBK9128580673144703,PYG
RO47UQBS2785179264236964,USD
RO42MRPQ6932452977253152,KMF
RO05ILZQ4584465103520219,SCR
RO60GSRN3873164135601155,PYG
RO78JOWN8866483432594861,NAD
RO55EXDG8786320581772622,GYD
RO81HQXT8885397834664328,DOP
RO45DVHZ9016126204888264,KPW
RO25FJEJ7258886575478704,SEK
RO21AQWH2608950100045329,TRY
RO65PZBZ8524742065254085,UGX
RO55SODD0931660446177280,TRY
RO21RTSF9415746964603521,CAD
RO87LACJ6738551810673151,NZD
RO49XDKS0937220870760755,MYR
RO19XBYY3724232597927166,KES
RO26FRBW4124374795524578,BSD
RO96RBZA9729535836424181,JOD
RO62SKZE2822610913165512,HNL
RO20JGNO3890550462068395,ZMW
RO48RCOR3527658481742049,UZS
RO05EWCR3212364290444344,DKK
RO95KDFM9786198306342452,JMD
RO92LXQN6783354062188677,AUD
RO90SOKV9138572114054325,NOK
RO74QXWQ7326341910974886,SVC
RO24NFKT8167619573753294,CHF
RO72DXRW5161525147043913,BMD
RO85KTXP9075415881363187,BGN
RO15KEJC5340654463308990,GHS
RO71RSMH7994388973609065,GNF
RO21ESTP2409463350062672,CHF
RO06GMKX3666113455002866,RUB
RO62ECYL5360917171088567,TVD
RO56KYGT6086616613402911,CLP
RO75PCJY7829463631904882,LAK
RO20ZOKD1971608405860046,AFN
RO69ETKV3184282981116806,BDT
RO86FCTU6919564856455574,SRD
RO97QMPF0990221001719148,ISK
RO47HZNB9010558971158688,SAR
RO17CXSB9938051987511834,COP
RO13IYBI5514560237159465,TRY
RO10DDDT4030805691467196,ARS
RO46JLTB6583795563708797,BBD
RO16UIZT2227060808271402,BBD
RO24VMUU6367432041134659,MGA
RO72DNWK7431600323263640,XDR
RO76EFPL1560253231681839,LKR
RO94ABTW8718276524315052,MKD
RO88WXRA0480276918455169,AWG
RO04ZSRF6022432824133824,KGS
RO37ZLCP6383328308252990,HKD
RO80RSFV5191697889815163,BYR
RO04OKMM8132854786981216,VND
RO21PGOS0140897480722092,BBD
RO91NQGD3748484535348311,RON
RO29RBVY0662371403089093,TOP
RO68RHPX9067360672561570,KGS
RO33JATW5664248887209492,SZL
RO74XLKG7635791398653441,THB
RO38QACB4250462852329858,PGK
RO50PYWH3746539267834687,LYD
RO08YQEV4487653179491175,SVC
RO81DDIT3234348360767107,MWK
RO55GZYU8352545672025749,QAR
RO65HLXO2737140228461381,VEF
RO97OGBS7226513097340175,GTQ
RO71YUEX9754506585972255,RWF
RO77RRXO4776272021657224,GMD
RO02EXFU7081986468624690,KES
RO91FIDB6488677538104575,UZS
RO43RGVP8403158574587891,HKD
RO18UTGU6229315294892003,SBD
RO09ITIM9767213266659482,MKD
RO16KYGI6107563074640875,TWD
RO21QOLK2725700018803355,KHR
RO20GFUN9332025828114153,DJF
RO76HAZB6004175515554747,TTD
RO90OPLI2106044927360572,STD
RO40FGHZ2232411846318487,LTL
RO12GIIX2410268600975627,KHR
RO25BHZO8240922494550175,INR
RO81GFFI4249168353157205,BYR
RO27XWWB0087891534037825,XPF
RO52QQOO2656488038214734,SPL
RO46HTLI6347815231219666,SOS
RO63BQKJ6702028966017053,NIS
RO21LNXI1464960662023273,MWK
RO59JSXZ5867420992013638,KZT
RO42UYVI3934241488746272,GIP
RO66IWLW6562567923268002,MRO
