first_name,last_name,phone_number,birthdate,address,mac_address,ip_address,job,iban,currency
Ilinca,Aanei,0726 523 997,1953-02-09,"Drumul Filip Aanei Nr. 57, Odorheiu Secuiesc, 696519",82:eb:2f:c9:a3:18,176.100.22.59,Gradinar,RO50FNCO5266915361149602,XCD
Ivan,Dinu,0745 771 142,1989-11-07,"Intrarea Carmen Niță Nr. 67, Focsani, 193905",d5:f4:9e:44:63:7f,141.198.224.225,Consilier Botanist,RO04OHOY1084654923733547,TJS
Achim,Pușcașu,0245 544 764,2001-04-05,"Intrarea Gabriel Pop, Videle, 984961",64:cb:76:07:b4:e5,163.212.216.133,Expert Aplicare Legislatie Armonizata In Domeniul Industriei Si Comertului,RO28NOVX5845398004694957,PGK
Stancu,Mocanu,0265 611 078,1995-02-15,"Soseaua Teodora Diaconescu Nr. 976, Oituz, 760742",ca:11:ee:c4:c6:d4,27.19.16.179,Laborant Structura Macroscopica Si Microscopica,RO77MZVP6657726159749309,PAB
Lucia,Popa,0258 055 675,1982-12-11,"Strada Zeno Barbu Nr. 109, Ploiesti, 530973",8e:e1:e8:da:10:bc,64.83.8.239,Inspector De Specialitate Medic,RO61JKAY4022757134779756,XCD
Sergiu,Mocanu,0734 153 158,1957-08-11,"Soseaua Niță Nr. 68 Bl. 42  Sc. 64 Ap. 768, Straja, 788801",85:5d:e8:a1:90:62,125.85.215.53,Asistent De Cercetare In Exploatari Forestiere,RO66VMBH7853736523306858,RSD
Cedrin,Dinu,0720 189 403,2008-09-02,"Aleea Gheorghiță Manole Nr. 432 Bl. 57  Sc. 65 Ap. 972, Strehaia, 804293",aa:39:63:2c:43:d9,7.4.200.147,Marcator Piese,RO63UGYG7568056126062091,MRO
Paul,Dumitrescu,0720 714 733,1918-12-07,"Aleea Petruța Ioniță Nr. 653, Bragadiru, 632422",e4:f0:14:bf:1e:4d,196.209.69.183,Secretar De Emisie (Studii Medii),RO49YAES0182891444325425,UZS
Octaviana,Mazilescu,0745 412 036,1956-02-03,"Strada Gheorghiu Nr. 367 Bl. 18  Sc. 90 Ap. 671, Cugir, 160959",96:70:08:e3:4e:b3,106.27.181.215,Merceolog,RO83ELHU5734414665092563,LAK
Ludovica,Dochioiu,0720 114 708,1932-03-21,"Drumul Alida Stoica Nr. 64, Floresti, 240083",b1:c4:43:38:f8:5e,19.37.220.125,Inginer De Cercetare In Horticultura,RO25GDXX2341256465443091,MUR
Marcela,Barbu,0731 625 812,1967-03-27,"Bulevardul Popescu, Dragalina, 152324",f1:37:77:07:61:8d,164.52.166.81,Asistent De Cercetare In Electrofizica,RO06OUFO1582765138023448,TJS
Lioara,Stănescu,0745 005 645,2010-09-04,"Aleea Mocanu, Balotesti, 442045",62:62:61:c1:a0:56,124.216.99.197,Maestru Dans,RO33GNHT8184143717149941,QAR
Luminița,Florea,0261 367 625,1988-12-27,"Soseaua Ababei Nr. 624, Lugoj, 875510",79:7c:ee:46:69:75,81.234.32.78,Specialist Incercari Componente Vehicule/Grup Motopropulsor/Optimizare Energetica/Sisteme De Masurare,RO47YEHA2832181199871457,MUR
