first_name,last_name,personal_number,birthdate,address,phone_number,mac_address,ip_address,iban,currency
Octaviu,Aanei,2730503087430,1924-04-17,"Strada Dima Nr. 82, Glina, 648755",0265 683 894,ae:d8:7f:29:ff:89,135.44.232.210,RO64IAYY5374498684772965,TZS
Vlaicu,Niță,7821113085081,2007-12-13,"Intrarea Florea, Cisnadie, 290085",0769 037 301,28:99:db:38:95:12,101.109.20.122,RO58BYXP5913915905079998,KMF
Zenobia,Mazilescu,5900425385031,1970-05-10,"Soseaua Diaconu Nr. 565, Mihail Kogalniceanu, 947623",0236 115 774,47:bc:48:47:d5:f7,132.248.214.66,RO80UETL7155762983683824,SVC
Olga,Pușcașu,6980530443247,1995-11-26,"Strada Ababei Nr. 88 Bl. 25  Sc. 65 Ap. 815, Reghin, 839084",0729 752 846,ae:75:18:35:fb:de,140.29.72.8,RO17XHVE2673187299166770,BDT
Rareș,Ioniță,5660808142363,2022-04-01,"Soseaua Dima Nr. 322 Bl. 88  Sc. 10 Ap. 721, Chisineu-Cris, 485148",0746 826 454,ef:be:cf:d4:f4:bd,146.250.184.112,RO35CCOJ9427909580044194,XDR
Semenica,Ardelean,2531110186207,2017-12-27,"Aleea Delia Mazilescu, Sinaia, 157816",0254 284 494,17:f8:09:90:2e:e5,28.190.51.58,RO15SUET7103238742687970,CRC
Mihail,Stan,5940614284774,1955-03-13,"Drumul Tomescu Nr. 99 Bl. 98  Sc. 54 Ap. 771, Tarnaveni, 534180",0751 213 709,84:ea:f3:57:36:34,144.240.102.177,RO20BJIX6108539245507766,CLP
Miruna,Stancu,6310710142103,1974-08-02,"Soseaua Niță Nr. 750 Bl. 37  Sc. 57 Ap. 413, Deva, 877730",0732 308 542,8f:5c:5d:86:0d:51,195.126.20.134,RO49SQKL7565145106716953,FJD
Gabriela,Stănescu,1320804132323,1999-06-24,"Intrarea Ababei Nr. 554, Covasna, 840985",0744 792 642,c4:59:9b:12:81:98,119.97.134.140,RO21DHBZ8208624866344110,MVR
Agnos,Nistor,6390305429163,2004-04-28,"Strada Nistor Nr. 50 Bl. 94  Sc. 20 Ap. 912, Campina, 261413",0722 181 138,e6:8c:a5:db:ee:64,161.102.161.61,RO43NAJS8119567513533925,MRO
Alexandrina,Nemeș,8230208047863,2023-09-19,"Strada Georgescu, Draganesti-Olt, 740599",0748 016 814,d3:a0:82:a1:c4:c5,36.194.145.115,RO77IOLF9992042751304639,AFN
