last_name,first_name
Aanei,Octaviu
Niță,Vlaicu
Mazilescu,Zenobia
Pușcașu,Olga
Ioniță,Rareș
Ardelean,Semenica
Stan,Mihail
Stancu,Miruna
Stănescu,Gabriela
Nistor,Agnos
Nemeș,Alexandrina
Nistor,Teodora
Stancu,Evanghelina
Diaconu,Octaviana
Popescu,Ligia
Dima,Vlădelina
Dinu,Suzana
Pop,Nicoară
Suciu,Leopoldina
Preda,Jasmina
Popescu,Andrian
Ioniță,Iustina
Ene,Dragoș
Dochioiu,Lia
Gheorghiu,Adelina
Dochioiu,Vlădelina
Voinea,Mioara
Tomescu,Julieta
Suciu,Simi
Dima,Eufrosina
Ene,Emanuela
Manole,Nicoară
Cristea,Georgel
Albu,Noemi
Ioniță,Roxana
Diaconescu,Manuela
Dobre,Aurel
Tabacu,Alis
Dobre,Tudora
Ioniță,Dina
Popescu,Iustina
Georgescu,Jeana
Dima,Mihnea
Gheorghiu,Alis
Stancu,Francesca
Niță,Mircea
Ioniță,Norman
Nistor,Ernest
Eftimie,Oana
Marin,Iuliu
Pop,Anișoara
Ene,Gicu
Georgescu,Valentin
Suciu,Eustațiu
Stănescu,Zamfir
Eftimie,Ducu
Ababei,Silvian
Tudor,Bebe
Ardelean,Geanina
Preda,Anatolie
Oprea,Sever
Ene,Margareta
Suciu,Noemi
Toma,Luana
Georgescu,Horațiu
Aanei,Emanoil
Marin,Antoaneta
Pop,Vera
Pop,Panagachie
Tudor,Robert
Pușcașu,Frusina
Voinea,Laura
Mazilescu,Natalia
Toma,Didina
Tabacu,Lioara
Tudor,Codrina
Ioniță,Mălina
Dobre,Remus
Ioniță,Janeta
Tabacu,Noemi
Diaconu,Voichița
Popa,Laura
Albu,Stela
Nistor,Alida
Cristea,Teodosia
Ionescu,Veniamin
Georgescu,Nidia
Diaconescu,Ada
Stan,Blanduzia
Oprea,Anica
Nistor,Magdalena
Dima,Eremia
Niță,Catrina
Ardelean,Beniamin
Mocanu,Evelina
Ioniță,Simion
Nemeș,Estera
Ionescu,Geta
Stoica,Corina
Tabacu,Albertina
Pop,Marian
Marin,Decebal
Toma,Nora
Stănescu,Malvina
Mocanu,Fiona
Aanei,Gabriel
Dochioiu,Noemi
Pușcașu,Catrina
Nistor,Amelia
Stănescu,Eva
Stoica,Silvia
Toma,Dorina
Popescu,Sonia
Dima,Ofelia
Dobre,Iuliu
Ardelean,Iosefina
Georgescu,Mina
Ardelean,Paulica
Popa,Virginia
Georgescu,Saveta
Preda,Gabi
Mocanu,Valeriu
Preda,Sorina
Popa,Nichifor
Mocanu,Cristina
Nistor,Aurelian
Nistor,Vlădelina
Pușcașu,Mitruț
Dima,Crenguța
Eftimie,Jenel
Dochioiu,Iulian
Preda,Dina
Dochioiu,Aurel
Popescu,Crenguța
Dumitrescu,Liana
Toma,Vasilica
Niță,Cezara
Albu,Rica
Stănescu,Carol
Toma,Fabian
Pop,Natalia
Georgescu,Basarab
Tudor,Petruța
Suciu,Agnos
Tudor,Măriuca
Popa,Silvia
Tabacu,Carmina
Ioniță,Felix
Mazilescu,Tatiana
Albu,Manuela
Dochioiu,Mugur
Albu,Mirabela
Marin,Dimitrina
Nistor,Emil
Oprea,Petru
Gheorghiu,Vincențiu
Niță,Frusina
Toma,Heracleea
Stancu,Lia
Florea,Nidia
Dochioiu,Iridenta
Niță,Casian
Dinu,Veronica
Stancu,Grațiana
Ionescu,Marian
Suciu,Mihail
Niță,Mihaela
Oprea,Todor
Dumitrescu,Malvina
Popa,Amalia
Pop,Rozalia
Popa,Beatrice
Aanei,Ada
Aanei,Codrin
Florea,Janina
Manole,Zamfir
Aanei,Evanghelina
Pop,Larisa
Tudor,Daniel
Mazilescu,Grigore
Oprea,Grațiela
Dumitrescu,Amedeu
Barbu,Anuța
Tomescu,Nicușor
Tomescu,Rafael
Barbu,Leopoldina
Georgescu,Zoe
Nistor,Mitruț
Ardelean,Petre
Mocanu,Narcisa
Dobre,Măriuca
Dobre,Antonie
Gheorghiu,Ieremia
Aanei,Lorin
Diaconescu,Isabela
Dobre,Anica
Pop,Iris
Dinu,Axenia
Oprea,Geta
Nemeș,Marius
Oprea,Octav
Popescu,Oliviu
Dinu,Blanduzia
Nemeș,Vasilică
Nemeș,Ion
Dobre,Gherghina
Voinea,Liana
Popa,Sava
Stancu,Jana
Cristea,Octavian
Oprea,Angela
Dinu,Tiberia
Dochioiu,Mihail
Suciu,Andrei
Manole,Aurelian
Stan,Tudor
Pușcașu,Marilena
Nemeș,Bianca
Manole,Beatrice
Nistor,Fabia
Florea,Elena
Nistor,Petrișor
Manole,Jan
Aanei,Paulina
Eftimie,Antoniu
Stan,Andrian
Stancu,Felicia
Cristea,Zoe
Stan,Nicușor
Dinu,Xenia
Dinu,Marga
Tomescu,Gabriela
Tabacu,Alexe
Aanei,Mircea
Diaconu,Dorli
Oprea,Tatiana
Nemeș,Flavia
Tomescu,George
Tabacu,Eliana
Dochioiu,Remus
Popescu,Anghel
Ene,Ilarie
Oprea,Emilia
Toma,Rozalia
Niță,Eleonora
Gheorghiu,Șerban
Dobre,Ludovica
Pușcașu,Aneta
Nistor,Iustin
Ioniță,Rada
Nistor,Antoaneta
Tomescu,Draga
Toma,Niculina
Ababei,Valentina
Georgescu,Jenel
Aanei,Anuța
Albu,Horațiu
Stoica,Ivona
Nistor,Dorinel
Ionescu,Octaviana
Georgescu,Ioana
Toma,Amalia
Niță,Petrică
Stoica,Ilarie
Tabacu,Florentina
Ene,Vasilica
Mazilescu,Daniel
Florea,Pleșu
Cristea,Cecilia
Tudor,Claudiu
Tomescu,Simi
Nistor,Lascăr
Albu,Eusebiu
Manole,Giorgiana
Diaconescu,Panagachie
Oprea,Cornel
Marin,Lioara
Mocanu,Cristian
Pop,Otilia
Voinea,Felix
Popa,Mugurel
Ene,Domnica
Tudor,Demetra
Dima,Ilarie
Barbu,Janina
Stan,Claudia
Suciu,Ștefania
Tudor,Malvina
Popa,Dina
Stoica,Brândușa
Cristea,Francesca
Stan,Octavian
Barbu,Călin
Oprea,Haralamb
Ababei,Florica
Stoica,Mugurel
Niță,Narcisa
Tudor,Dorinel
Dinu,Florin
Niță,Mirela
Stan,Zoe
Nistor,Felicia
Ioniță,Victor
Tomescu,Vlad
Tomescu,Renata
Georgescu,Antim
Florea,Cornel
Dima,Vasile
Diaconescu,Dora
Popa,Alistar
Dochioiu,Iustinian
Dumitrescu,Monica
Aanei,Pamfil
Preda,Andrian
Stan,Ivan
Aanei,Stan
Niță,Maximilian
Tudor,Domnica
Popa,Gabriel
Aanei,Cezar
Pop,Flaviu
Ababei,Sandu
Dochioiu,Gabriel
Dobre,Zeno
Dobre,Tania
Voinea,Dochia
Mocanu,Luminița
Barbu,Paraschiva
Diaconu,Octavian
Nistor,Vincențiu
Georgescu,Ionel
Pușcașu,Achim
Stoica,Nadia
Ioniță,Pompilia
Tabacu,Catrinel
Nistor,Flavia
Niță,Dana
Eftimie,Mălina
Dobre,Gabriel
Eftimie,Horea
Dobre,Albert
Oprea,Costin
Ioniță,Leonard
Cristea,Albert
Ionescu,Sergiu
Tudor,Ivona
Nemeș,Tatiana
Mocanu,Nicoară
Marin,Voichița
Diaconescu,Francesca
Niță,Aureliana
Niță,Bartolomeu
Diaconescu,Cristea
Suciu,Anemona
Voinea,Ofelia
Ababei,Nicușor
Marin,Marcheta
Georgescu,Lazăr
Ababei,Gelu
Tabacu,Stelian
Stan,Flaviu
Ardelean,Agnos
Aanei,Vanesa
Stan,Anica
Voinea,Oana
Stancu,Leana
Stan,Luana
Eftimie,Lucreția
Barbu,Cristofor
Niță,Mioara
Ioniță,Lucențiu
Ionescu,Eufrosina
Dinu,Vera
Preda,Dumitru
Ionescu,Teodor
Manole,Alexe
Marin,Laurian
Tabacu,Jasmina
Ioniță,Adela
Ioniță,Romina
Barbu,Andrian
Suciu,Andreea
Oprea,Catrinel
Pușcașu,Alexandrina
Stancu,Anton
Ababei,Cedrin
Mazilescu,Ariana
Florea,Smaranda
Diaconu,Steluța
Preda,Nichifor
Marin,Sergiu
Dinu,Simi
Popescu,Dumitru
Ababei,Titus
Ababei,Cipriana
Tomescu,Norica
Dima,Floare
Oprea,Marilena
Dima,Norica
Ardelean,Aristița
Manole,Adam
Oprea,Vicențiu
Eftimie,Avram
Popescu,Axenia
Albu,Delia
Niță,Luciana
Nistor,Nicolaie
Mazilescu,Lucrețiu
Stoica,Octav
Mocanu,Iustina
Pușcașu,Teodosia
Ionescu,Lucențiu
Ene,Miron
Mocanu,Sebastian
Niță,Filofteia
Tabacu,Panait
Oprea,Nora
Dinu,Eustațiu
Dumitrescu,Jan
Nemeș,Miron
Dima,Lazăr
Stănescu,Roxelana
Stoica,Vera
Manole,Fabia
Mazilescu,Daniela
Ioniță,Ancuța
Preda,Cristofor
Popa,Pompilia
Popa,Daciana
Tabacu,Nechifor
Ardelean,Simion
Manole,Georgel
Pop,Agripina
Georgescu,Ieremia
Tomescu,Despina
Eftimie,Simona
Georgescu,Bebe
Ene,Iuliana
Suciu,Varvara
Florea,Teohari
Tomescu,Alexandru
Tomescu,Haralamb
Aanei,Ilarion
Mazilescu,Robertina
Mazilescu,Ilona
Tomescu,Romulus
Cristea,Teea
Stancu,Astrid
Manole,Sabrina
Suciu,Bogdana
Cristea,Pamfil
Voinea,Lorena
Diaconu,Gelu
Marin,Horațiu
Dumitrescu,Ovidiu
Nistor,Rafila
Ene,Teona
Pop,Eric
Diaconescu,Aglaia
Dinu,Maria
Pușcașu,Rozalia
Barbu,Ieremia
Tomescu,Constanța
Dobre,Bănel
Stancu,Iolanda
Preda,Lia
Niță,Vicențiu
Stan,Alis
Barbu,Lică
Diaconescu,Petrișor
Stănescu,Zeno
Popescu,Stan
Nemeș,Leontin
Dochioiu,Petre
Eftimie,Stana
Nistor,Dafina
Pușcașu,Gherghina
Diaconu,Leopoldina
Tomescu,Eliana
Ionescu,Mugurel
Popa,Pleșu
Stan,Georgeta
Mazilescu,Miron
Nistor,Dorin
Dobre,Lică
Gheorghiu,Horațiu
Ababei,Grigore
Popa,Raluca
Diaconescu,Monalisa
Albu,Ștefania
Popa,Dariana
Diaconu,Carol
Dochioiu,Flaviu
Ababei,Niculina
Nemeș,Adelina
Georgescu,Vasilică
Nistor,Aurelian
Nistor,Lia
Mocanu,Despina
Mazilescu,Benone
Preda,Demetra
Ioniță,Matei
Nemeș,Salomea
Dima,Nicuță
Ioniță,Marian
Tabacu,Eva
Mocanu,Augustin
Ardelean,Teohari
Stan,Mirabela
Diaconescu,Larisa
Popescu,Avram
Dumitrescu,Antonia
Georgescu,Melania
Georgescu,Tinca
Barbu,Janina
Florea,David
Aanei,Tudor
Popa,Antim
Marin,Costache
Ionescu,Ștefania
Stan,Heracleea
Marin,Decebal
Popa,Laurențiu
Georgescu,Filip
Ardelean,Amedeu
Ardelean,Mălina
Dumitrescu,Lucia
Nemeș,Emanoil
Tudor,Roxana
Tomescu,Gică
Nistor,Relu
Tabacu,Izabela
Ene,Ica
Preda,Sandu
Ene,Fabian
Eftimie,Adelin
Pușcașu,Steliana
Dima,Stelian
Dobre,Silvian
Toma,Zoe
Voinea,Adam
Popescu,Tiberiu
Diaconu,Eleonora
Suciu,Dinu
Albu,Salomea
Nistor,Carmina
Nistor,Salomea
Nemeș,Bernard
Tabacu,Ludmila
Ioniță,Dumitra
Marin,Olivia
Eftimie,Dominic
Barbu,Denisa
Mazilescu,Petrișor
Niță,Emil
Dochioiu,Teohari
Stoica,Doina
Niță,Caterina
Tomescu,Paulina
Diaconescu,Mioara
Diaconescu,Roberta
Marin,Casiana
Ioniță,Gabriel
Suciu,Tania
