,Unnamed: 0,personal_number,birthdate,address,phone_number
0,0,*****MASKED*****,1924-04-17,"Strada Dima Nr. 82, Glina, 648755",0265683894
1,1,*****MASKED*****,2007-12-13,"Intrarea Florea, Cisnadie, 290085",0769037301
2,2,*****MASKED*****,1970-05-10,"Soseaua Diaconu Nr. 565, Mihail Kogalniceanu, 947623",0236115774
3,3,*****MASKED*****,1995-11-26,"Strada Ababei Nr. 88 Bl. 25  Sc. 65 Ap. 815, Reghin, 839084",0729752846
4,4,*****MASKED*****,2022-04-01,"Soseaua Dima Nr. 322 Bl. 88  Sc. 10 Ap. 721, Chisineu-Cris, 485148",0746826454
5,5,*****MASKED*****,2017-12-27,"Aleea Delia Mazilescu, Sinaia, 157816",0254284494
6,6,*****MASKED*****,1955-03-13,"Drumul Tomescu Nr. 99 Bl. 98  Sc. 54 Ap. 771, Tarnaveni, 534180",0751213709
7,7,*****MASKED*****,1974-08-02,"Soseaua Niță Nr. 750 Bl. 37  Sc. 57 Ap. 413, Deva, 877730",0732308542
8,8,*****MASKED*****,1999-06-24,"Intrarea Ababei Nr. 554, Covasna, 840985",0744792642
9,9,*****MASKED*****,2004-04-28,"Strada Nistor Nr. 50 Bl. 94  Sc. 20 Ap. 912, Campina, 261413",0722181138
10,10,*****MASKED*****,2023-09-19,"Strada Georgescu, Draganesti-Olt, 740599",0748016814
11,11,*****MASKED*****,1951-03-19,"Bulevardul Sava Oprea Nr. 34, Balan, 998536",0255303744
12,12,*****MASKED*****,2003-02-10,"Soseaua Heracleea Nemeș Nr. 470, Boldesti-Scaeni, 874283",0770595806
13,13,*****MASKED*****,2003-07-30,"Drumul Tabacu Nr. 52, Sangeorgiu de Mures, 315952",0258018975
14,14,*****MASKED*****,1987-09-08,"Intrarea Dinu, Slobozia, 509783",0254888278
15,15,*****MASKED*****,1918-09-04,"Drumul Ababei Nr. 228, Ocna Mures, 152621",0264724405
16,16,*****MASKED*****,1985-12-24,"Bulevardul Ionescu Nr. 742, Toplita, 363076",0743344451
17,17,*****MASKED*****,1974-09-28,"Strada Voinea Nr. 526, Cristuru Secuiesc, 249475",0766023737
18,18,*****MASKED*****,1911-10-22,"Drumul Nistor Nr. 14, Petrila, 791481",0745654754
19,19,*****MASKED*****,1954-04-19,"Bulevardul Bogdan Tomescu, Modelu, 793438",0755549272
20,20,*****MASKED*****,1939-06-10,"Bulevardul Eftimie Nr. 31 Bl. 92  Sc. 66 Ap. 442, Santana, 466008",0253331391
21,21,*****MASKED*****,1936-10-11,"Drumul Diaconescu Nr. 94, Husi, 568481",0768792632
22,22,*****MASKED*****,1940-11-06,"Strada Marinela Tomescu Nr. 70, Simeria, 946293",0742841141
23,23,*****MASKED*****,1963-12-16,"Drumul Nistor Nr. 82 Bl. 80  Sc. 71 Ap. 363, Sacele, 459657",0259299068
