,phone_number,birthdate,address,job
0,0726 523 997,1953-02-09,746b730104ff73e432a7d02c7de28a795cb82c46261f13e331aa74f5f3e34b33,Gradinar
1,0745 771 142,1989-11-07,fead4c5e4eb468101dff5c11a58b679dac81a193c0c49ae64d31acd4b6bc64d5,Consilier Botanist
2,0245 544 764,2001-04-05,c6f4e7b1d4b7a3e71c9737c7bcb282a8a0b7165b12550fa7826aeebbd45b8435,Expert Aplicare Legislatie Armonizata In Domeniul Industriei Si Comertului
3,0265 611 078,1995-02-15,993f7027f92e70aef11bec5c263e56d288c92fda28d6fb5bf1ee028a69f98685,Laborant Structura Macroscopica Si Microscopica
4,0258 055 675,1982-12-11,9119e7fd30f587ea773c3022b662ef834b591c4d2cb6a79075666c94a11d59d8,Inspector De Specialitate Medic
5,0734 153 158,1957-08-11,78ed9c599837db21902d5a5388f7ea3085282c262046e0b646312099d7e1fba6,Asistent De Cercetare In Exploatari Forestiere
6,0720 189 403,2008-09-02,92e9ac1d27de780c02dcd8e72eb32abfe79b78ca6da30b1ae5cd194547608742,Marcator Piese
7,0720 714 733,1918-12-07,bf2b5d1ab09c90c694c960d52f32f23d638d6fbc067b4a0f87249bc6857568f7,Secretar De Emisie (Studii Medii)
8,0745 412 036,1956-02-03,dda54f0f56495ce36304eb7c82974c41f41694c630f3aee99aee71751486e6d1,Merceolog
9,0720 114 708,1932-03-21,d1db3f2f811763296e2bacb21a42f8ff05e57dab1f4afa510365d798d226c1e4,Inginer De Cercetare In Horticultura
10,0731 625 812,1967-03-27,0bd276592124451fb388becec5d7aaf397a799bdc775ded6cfe54336937baf9b,Asistent De Cercetare In Electrofizica
11,0745 005 645,2010-09-04,878d8e53054cc972e1e023fd0a0156e08d4cb7f03cf8763c463e2f63200e2ef3,Maestru Dans
12,0261 367 625,1988-12-27,b91bc65927cd0773efce92b4fa5f250a3482bca9bd0bac814afe06c295ba341e,Specialist Incercari Componente Vehicule/Grup Motopropulsor/Optimizare Energetica/Sisteme De Masurare
13,0239 565 455,1939-10-21,cbdb4e9c9cfe839dfe19ee76c053d15b1cc0a3e1a3c2b481db7a44483aada519,Cercetator In Comunicatii
14,0722 071 129,1936-04-29,b857d6b1ac70c37bbe9f12942bafd4553e23ad264d5f48ac35f2f4dff2c1fbfe,Confectioner Izolatii La Conductori Electrici
15,0236 398 897,1956-09-18,5cebd0e0f5f87a7d8d763c8a9a479f67dab789d1d853ca85d25b9fb29385376f,Expert Accesare Fonduri Structurale Si De Coeziune Europene
16,0241 398 615,1921-02-12,fcbb7b08075ddc9d221d11c59ff3cd1de7f4f4afe0d9bc58881827ba837f7c68,"Tehnician Pentru Sisteme De Detectie, Supraveghere Video, Control Acces"
17,0737 142 529,1952-07-01,274c9df3032ab197ca323cc258a79abbf19f9ba7515bceab9bfbc269e59ca7a4,Tehnician Analist Calitate
18,0764 807 406,1929-03-14,863f5d865322b971bca35f7bc1f90c85973856cba065597c68461f1fd90f47dd,Responsabil Cazare
19,0767 965 652,1948-02-03,6ef255d1e66afc574b8b2f1bc707a9bd66a7b066b0bd5ac2473b2bbd665c0019,Cazangiu Recipiente
20,0257 378 616,1915-04-09,b1dc097e8c7e101f489498e2d5e40452460c82539f69529dfaebe5ef265ea49a,Muncitor Necalificat In Metalurgie
21,0785 394 624,1931-03-25,af17575799323b945e812015c72aad92b30806964a5d07b2e0872cdebd7a0578,Cercetator Economist In Economia Mediului
22,0253 256 408,2016-08-24,db3eda645b9c1b2e38bcf39e7f34370006bc5f67f36bd0c4ae60cd84a4e5e35f,Tehnician In Industria Alimentara Extractiva
23,0737 429 736,1967-09-14,1439ebc5f0ddc54532c698e823dc0378279cb1247ce634e2ecbf3aff86ef7406,Gospodar
24,0251 635 680,1931-08-24,b322f6ea8f3af16134d62281a1af6808195ff998cb5b3222df6dd89b901d8a83,Mestesugar Finisor Mineral
25,0729 455 955,1977-01-11,5081ef3436fe507716932e74eb332e4f87d8aa8bbd6ce9418d6772a12bfb6cdf,Lucrator In Ateliere De Modele
26,0251 002 104,1976-04-06,9714a983d940cc6da09eb946aae7f688af7b460d2a923ccf1a7fa6f4ca83f80a,"Manager Marketing (Tarife, Contracte, Achizitii)"
27,0727 816 760,1995-12-11,801e4f58ed35a3d13b585a9446912cb1ed6eb1a7623729f1610a0da1697ba883,Fermier In Productia Vegetala
28,0743 875 783,1933-12-31,c7024cec3ccc830e788c8e16ef4f2e6f67c53e9c7245739b2fd879469e54d832,Manager De Cladire
29,0784 712 368,1951-01-03,58588fa01882dff6dff4cbf5703376f44666d97239a93c3247a65410c1624e75,Armator De Izolatori Electrici (Prelucrator Produse Electrotehnice
30,0256 937 901,2011-04-05,1e3eabb830960924feea9da3e461aa17804678bcda7620b0a02f6a067637e8b3,Gravor Manual
31,0254 906 281,1914-08-17,34d1a52eb65e4640611665582cd0e4b225006b855a5d2786358456df9ea58636,Asistent De Cercetare In Petrol (Extractieprospectiune)
32,0240 392 925,2022-12-04,592dbc18ea55b128aec281c49b0e0362a4071ff36e5a234f766ce7bb838c74dc,Analist Bancar/Societate De Leasing
33,0240 173 429,1976-07-01,a1d4a9f53a7222dcf479873e3ff82f01d678573ea6a1f407563f2906a78fe45a,Uscator Electrozi De Sudura
34,0743 378 150,1989-01-24,e350d15a406e59013eb8357bc765503adc8c896eccd191d0338aedfdbf5e5767,Expert Fiscal
35,0235 783 897,2001-09-27,5396de401b04ca03bbcc929ea8861071b382a09e254ce7acea5319e44789cbb9,Operator Receptie
36,0749 514 605,1944-01-25,6f7abb6de2e2edc2cc24e302ea8a826f8894d88d403f3c474bf744b3c733a9c2,Astrolog
37,0245 783 998,1990-01-10,f07c0892161568bf0424ab02de43ae617a37a5e4efa823c891b355580df492c9,Operator Emisie-Receptie
38,0252 285 037,1928-05-28,a968ce076735422c7e1faa198d2c08f3de23172f28de2d4d04cbee3cca987c8d,Inspector Casier
39,0730 488 200,1963-01-10,6ff7327b8fd5a6856438a3716adb5f4e0cfd0080b0332cc031d471dbc8a5f6fe,Tehnician In Industria Alimentara Fermentativa
40,0744 059 582,1963-08-10,d0ae895845daf92fd42fa52680d8205114f8aae06b1c5cfe2bb80d5d69a3b0b9,Bucatar-Sef
41,021 851 2633,1940-12-09,d87a50b8ea0231cdf8e83ae2e022bfad0403dc093c45d2e84417e2aa39e449d6,Fochist Pentru Cazane De Abur Si De Apa Fierbinte
42,0245 786 768,1912-03-10,3749ed0812de3f06af645c27306f07ec3d177abc0cc32fc851503d78c749a56e,Operator La Masini-Unelte Cu Comanda Numerica
43,0722 705 248,1930-09-10,420e5e3f0ff2e88860ee8aab3e3c5b6c0ea91012f094b66ed885b8d7ade776f6,Asistent De Cercetare In Confectii Din Piele Si Inlocuitori
44,0268 339 269,1962-03-08,ef0c92e065a424ff8a133a24909c012c98d8334b631bf8dbfb8ab5310526576e,Asistent De Cercetare In Constructii Aerospatiale
45,0241 873 999,2023-07-31,f90f8e7ac80b1a573ae900aa94ae0fa5b7675b69c8003e47607fee64f6583eb0,Ofiter Ajutor Fluvial/Portuar
46,0752 174 819,1960-03-04,7bfc9275774df7ca72ee981df7831a7a6a74353a3cc4a12c589ac5701b78680e,Operator Control Nedistructiv Cu Ultrasunete
47,0260 192 980,1952-02-28,2d696303d9a30c3fc0468a2b86492d8474b81a75a7f424b9a04f7df66a48fa19,Consilier Afaceri Europene
48,0759 299 964,1977-05-10,8035b605e463b6a8851a4491f5529d64cef290cd6360f435eae9016dc9280507,Dispecer
49,0725 432 796,1985-06-19,8bbb462a88fe8cce8d4eb621d031c8a455026918590d859ab94a0f75f3416db2,Custode Pentru Arii Protejate
50,0259 266 473,1954-06-07,c119a353e2f20402361ee5139d7583716ed106c3c37e67dd7b53005a8916d847,Consul
51,0231 094 924,1995-12-31,6abcc4cb4e417e37c4830aa9b4809afc4860b798999c7f9921a4eea09fc87203,Terminolog
52,0743 210 795,1980-04-22,b3e7e2438f3a81abba0781eee53cf619846ac24ad47edec228dcd367ab9e8d0e,Pirogravor
53,0738 946 705,1951-04-15,282ba03f227f6dabfd44e469ce4f872a97094d56d5b866b1f788cc6656921bb7,Lustragiu
54,0260 918 214,1923-03-02,9b6f79229323af00ed2629a81e0fa6ff30e9ccd3d7de77669d6122f25e0b85d7,Art Director Publicitate (Studii Medii)
55,0232 275 148,1979-07-17,8b0f9593f2e765c026f30bba58087cb7cb6eaa03fe9cef57fb6b9d4ae7c0e437,Revizor Contabil
56,0750 991 240,1967-08-25,f5693de3201bbd5251078f9443eb8dadb123bfa17b03764aa8a4d6b347f8edf0,Comisar General
57,0720 366 241,2002-10-18,95a169b06dd29ef033b8f1b481b2beca202052140dd8a7e5ed17db5f3dd6d83f,Pontonier Feribot
58,0788 320 971,1993-12-27,43ae1340345928aec6e2aff61f79263d4c929d3fcb18458c2c9db2723271eb00,"Laborant In Industriile Textila, Pielarie"
59,0784 376 196,1931-10-03,9d5a601cc2976ed0bd450d28935cc30b25a671c2a38f283c7ebae19484208d00,Stantator Piese Pentru Incaltaminte Din Piele Si Cauciuc
60,0788 614 496,2011-08-07,f2af3be3dae985fa76814ebd078693d474a45496aaad9e1025569d27117347b9,Asistent De Cercetare In Sisteme De Propulsie
61,0768 119 275,2017-11-21,29a9074407ac8d26418bed4e21909e68a80b6c02191c7f58d654af3d5b48d768,Asistent De Cercetare In Turnarea Metalelor
62,0744 526 925,1929-11-11,90e76e343acb66b55709a0d2b76728daf59776a97d534dfe387591a327683ba5,Sef/Sef Adjunct Centru Exploatare Retele Electrice
63,0255 077 664,1998-06-21,11f79bee7fab7a522edde32858d93bf24a924f04a15c8c7f47159e7b38862917,Preparator La Prepararea Produselor Cosmetice Si De Parfumerie
64,0260 748 366,1945-03-29,4d157d45a8a47220727c670d93e16c713b3221877b763297df91b5a2e92cb12f,Preparator Faina Din Peste
65,0722 845 646,1944-12-24,2199ad72e6c0edc106be56b8a16c24ceca64b58b6631acb4c93399eedca82b0b,Restaurator Opere De Arta Si Monumente Istorice (Studii Superioare)
66,0240 148 441,1978-08-27,2d5f49f80e4ff2066ab2b0d248b62eda97e08faa9b75c4709468c514285f4c79,Pregatitor Lemn Aschietor
67,0240 314 632,1948-09-19,f7738d0dff476869174ff1a22fb60d1f733028c8409d152e344dde77298adf88,Miezuitor Panele Si Placi Celulare
68,0740 416 407,1966-03-01,407f2098853d5484f16b6e6595e612583d22448095cbe50d6542f475e11a4ed0,Contabil
69,0765 331 427,1963-02-02,d49cf90c818c6ad97fbd87250004c20d69872a42f599b8653a88a6e02bd20957,Sef Birou Comert Cu Ridicata Si Cu Amanuntul
70,0254 766 031,1979-09-12,68c76bb499fa9c0ce4a502b6ca7fc205ea72df885e18a3b7a52cb8ec350d71c5,Procuror Sef Birou/Serviciu
71,0748 757 189,1917-03-13,66d347b363bd38db78fcb9dd7779492a514e249df1b27b5a0e27611eaf8662d6,"Sef Serviciu, Centru, Statie, Aeroport"
72,0728 007 805,1944-10-16,ecdb991312fe54562ba96d8d99f5ba8785ed572dddbf6c4133583a678b140e7e,Secretara Prelucrare Texte
73,0729 923 111,1933-03-27,ee35ec279957f1a3d57a562f44674a240c2ab0061f2fd5b818f5dd80c56870e1,"Sef Atelier Editie, Multiplicare, Expeditie"
74,0739 440 200,1966-01-23,54efcf0f1c155c35448b19220c56f52277aace1d84260f5776602cca935f4e3e,Climatolog
75,0761 169 124,1931-07-10,d6dab45c0cff2fd38e2555b6b2523aa35181f798862e567f1602be5bb1424ae4,Tehnician Dentar
76,0237 138 943,2015-06-27,befa283d79a407bba9f49892840abdc605f37e102fcdc5555fe4e0fc98ede2ef,Tehnician Prestatii Vehicule
77,0243 199 348,1973-01-31,8b6ba619dd61c34b14296e2762464421cf4caa25919f9b682ce8c34aa2c3df2d,Expert Geolog
78,0760 236 120,1922-10-27,371386ebf44ae2d5c5efb4febf3b1563afbdc29a58beabcc38c9fe0686ebf9a7,Operator Masini Puitoare
79,0245 513 279,1920-09-11,f9128963523f790b75abb786bb0ae53a2bca667754c803553ecc7d80be301183,Naphtolator La Imprimerie
80,0232 370 039,1959-01-22,1e1f34d6557379e5894adf6af19ccabac35cda591cfabb2d95437c8f728bdd03,Director General Adjunct Societate Comerciala
81,0231 527 740,1972-05-18,252509d045fd499edc6d8eeb199728d5007de376e798d402943874ed866a258e,Asistent De Cercetare In Microelectronica
82,0753 224 280,1948-06-26,5045900e52d51271dd8276338b553ac5b575b15697f9a12c20a33dfa27ab5f39,Operator Fierbator Textile
83,0264 285 596,1984-08-17,48a7b48594483a416278e49362773a21422af746f61d0a24aa1c20fb7548b32b,Inginer Masini-Unelte
84,0755 370 658,1958-09-19,9260833c17ff6d639b044309e22e73876ac2246221ccfac0d2a961264c0b61e4,Inspector De Specialitate Statistician
85,0253 072 856,1922-08-16,9e99d4c746dc45efaaf247b6672b99b9fe310dc221a55fdf3aab2d69f7491e38,Consultant Bugetar
86,0727 637 835,1927-12-05,75b3ae3e58817263f0af076342982084d1244bd20f9a09c88db9f381f596daca,Probator Hidraulic Piese Turnate
87,0744 800 397,1952-12-30,39319b0ea2f26f4718c1c80bcb5dc8d8a86d231b657efd5a0e542be4b1e49e38,Arhitect Urbanism
88,0248 271 474,1971-03-17,03b613c6818873d303d0fd67c65a08ca6edb9ea9d97fbd3d1fe6259ce79f6051,"Preparator Peste, Raci, Broaste In Cherhanale Si Oficii"
89,0726 884 652,2003-04-27,20f87199155d49640946eed4f291c755596ceafa1e3dcf5d135d361223024ca3,Laminator Sarma
90,0763 378 281,1977-02-11,51f2bf280a49b32e396f354acf98af8c6b7fcb68198bb8f3016605df3f6d2034,Intretinator Textile-Piele
91,0252 709 438,1924-02-23,0da2cde77a4bea6b92e5080399446091eb7f19c60f06b56ae2fa18c4b46b642a,Secretar-Sef Notariat
92,0232 449 609,1961-12-09,aa594707ca9be43e56e305373be83bd9bc80ee6645d5235f19cdd8a5819dc2af,Manager Proiect Informatic
93,0761 916 448,1955-05-31,50a167797e51b9dfc6300c10db7eccac48179447c1ae7d0d9afc5025028fe3d8,Supraveghetor Hotel
94,021 838 3761,1909-11-09,b8ddc3d729ffa694063c9e2261c9253cbf03432d42fa0049204daafde24a38b6,Operator Argasitor
95,0750 961 789,2022-06-21,19cd926e240175512c2d6c51455601618140665405847e4aed1ba83997347671,"Preparator Extracte, Arome Si Esente"
96,0771 534 198,1916-10-12,3ec6a17d9f447583622eb9c2234a03c41e9ecc6ce58016fb1f15dc2cae41c78f,Operator Montaj Linii Automate
97,0738 759 604,1911-07-24,510ce9322b221d9478f5a49975a873993e96f1468bb9173b474c68d5ef91e0b4,Masinist La Litografiat Si Vernisat Tabla
98,0252 236 719,2006-03-03,4e7f8e8ddef70eba9480ea02dcc6b9cb44b10ca13d9b76d6d19a16a56be11982,Vanzator De Bilete
99,0772 903 839,1960-12-03,28b527b22db10f1f42cda029d7b1c69e67ee45f5cee5df62f4687ee6dc26e0cf,Educator Specializat
100,0720 820 317,1942-06-10,31f297f8ed1363d3522a0186adfba7204a037554e286fe90bbde6da215fbabcf,Manager Relatii Cu Clientii Bancii/Societate De Leasing
101,021 040 1304,2017-03-20,c02c5bf8cd2bb5d747fc6cff3e4697d563c0f8e9b770d0ff079b0917cbae2526,Expert Administratia Publica
102,0232 152 427,1995-10-15,66bf55726f45ff9274c69ff76abd136b89849f91a502351381fbf3d0c4cef60f,"Grefier-Sef De Sectie (Curte De Apel, Tribunal, Parchete)"
103,0260 010 386,2010-08-05,3609bcca24638b5cfef25239b244a8bc4aaeeeba88a4e5d17861bb991e5498ba,Armator De Izolatori Electrici (Prelucrator Produse Electrotehnice
104,0723 494 940,1955-09-12,93861d301f0adda959f001f98752dca57d691e83018dbc4e1d1f0a319a6905a8,"Tehnician In Industria Carnii, Laptelui Si Conservelor"
105,0735 046 156,2015-03-03,56362e1bf2afef3b9ef6cae9163ddc792b0a9b5b8876b3a8dcb48afa9193e87f,Operator Chimist La Producerea Compusilor Anorganici Ai Azotului Si Ingrasamintelor Azotoase
106,0741 308 414,2001-10-20,b4c69b5529fac37e8a6f0655235bf0312dac46a703938acef4c4b4ddf843066c,Excavatorist Pentru Excavatoare Cu Rotor De Mare Capacitate
107,0244 722 653,1929-07-28,6a73a604d60a060a6e9a72fa9cee2ef8bb01f5854699f3c96ee83dde3dc97d3d,Maestru Corepetitor
108,0744 568 374,2002-01-03,6a97350385cd77ed41c5a21531450915cbb5bcd0e62c8a9a92033c2268798c93,Trezorier (Studii Superioare)
109,0247 694 060,1939-03-16,7c511c82be5149c0e57b56157a4c6a5c5db70d8c31c1772b391250b9b98a5bf8,Operator La Fabricarea Spirtului Si Drojdiei De Panificatie
110,0258 181 051,1978-02-19,9cea85b40b9f51609739a8af0b0013eaf5409f6748e825373a7f2e5ff3d66846,Primitor-Preparator Produse Fluide
111,0249 927 121,1918-12-16,b157deb97cee8fe5b155948c1c912b81fab2bb49fbbc152c1923c785c29712bf,Grefier Arhivar
112,0250 959 497,1937-01-28,247052212cd5b3fc9c2304006bb92067f3bbd1279ca3c404d9b759b1cc9fcc56,Asistent De Cercetare In Constructii De Masini Agricole
113,0727 746 015,1955-11-26,afe29c1c4d0a2bfbe4efeba9037c246feab8a1b2d3a6c6e2725a773c217f1559,Inspector Probatiune
114,0255 140 798,1959-11-07,4932ec76f4d5f31e83678dc2c2fac785ef49c4174b98a423cdde917f2ac60cbc,Regizor Scena
115,0748 322 313,1959-06-23,8ca598417f6ccfc64afc3ef70534881be6e874717d23aab4bc5a6b2825dce076,Consilier Biolog
116,0755 348 862,1951-04-17,1ea8100aa6526ffd40d5585dbd0efa7df61b0ebb1861a4598d3bbeed39314892,Operator La Obtinerea Produselor Din Spume Poliuretanice Si Latex
117,0729 691 105,2017-04-18,23948c70d2c19e8c717e5ce8f3737186e9eb064ac1bfcf91cf07ad69bbcbe263,Inspector De Specialitate Medic
118,0754 376 530,1931-12-18,0a77b39cc62c9af7bd69845b1c5344acf897cba40929d19376bf13325a8dd704,Fasonator Mecanic (Cherestea)
119,0767 745 816,1991-01-19,00aab8076c3977fb384249db9d6116ebc055dff2ecaf41388d0756eb6a067c48,Operator La Fabricarea Uleiurilor Vegetale
120,0771 600 731,2014-01-16,688ceaeb666339988867f6ead54917ef506188f274e40aa6e46046b70c2684f8,Director De Creatie
121,0758 829 680,1937-09-16,b9dbc2101dc0552daf6348dabb45287518a151f2b9812908fc51205d30ee2b09,Operator Control Nedistructiv Pentru Examinare Vizuala
122,0740 069 635,2009-01-14,71d4d4b0c62916d928e9242e3fe131c6838ce523f9b6de557c67a775c5351ffa,Conducator Firma Mica 
123,0258 115 145,1918-04-11,ee938f481ceec6f75fb52f85e57f4d4437481ecb558c3c2618188542b1a848d1,Sef Sectie Cercetare-Proiectare
124,0731 705 150,2012-06-23,3734e55ada2ae75dcd9c9c8464aa57085fd4b35c7455ea28c2f42ad2770e5a34,Croitor Confectioner Costume Teatru
125,0239 006 416,1966-06-13,b299b9cb9ae3ed92b0f27699f00198666d7baf43b8697cf54f8f3d8f14878253,Expert Inginer Mecanic
126,0753 235 754,1953-01-31,3db2cf5921f9a79957c28e7e6051a62142da884334f7822392d1351a577dc5aa,Cercetator In Etnologie
127,0766 135 177,2016-08-20,987a0e0f9ff4872cd60fb7faf2ed5de7739cfdfc267ee17c72134ded81c529f3,Agent Evidenta Si Plata A Ajutorului De Somaj
128,0248 150 872,2002-07-31,cec396c9a09153ebd0725c5c2446e8b4aa9e53057fc1ff79d4194002bfa12987,Ingrijitor De Copii
129,0238 517 238,1959-05-13,e5760f0c6043309a5d252139c33932db9f944fd832f542c70085474f9ca51ca7,Model 
130,0236 681 435,2004-05-26,4d19bfc0c30a63834868983f0133e89367d5f031a72fa96e17151f0d618b735b,Sef Sector Exploatare Imbunatatiri Funciare
131,0749 813 505,1963-03-13,81e65d774fec33b2b08174d05007152bfaf464a0741eb4e431fc43878b82b5ab,Remaieur Ciorapi
132,0738 890 010,1923-04-10,c94797b2ceef10772de3404ce64622a577abb5bfe2f2dcd4fcf8e419b0c2751e,Ajutor Maistru Croitor
133,0733 346 328,1933-03-25,c806a8bc274a2eb6005ef3d1ec8c7bdf470aeaf4660560c5fca45c6c137a50e3,Sef Centru National De Telecomunicatii Aeronautice Aviatie Civila
134,0751 313 730,1977-09-19,373c40693f76c10bbf5adc571b3a4fa753a487be951e5179075c80c58cc484b4,Masinist La Confectionarea Spetelor Si Spiralelor
135,0231 206 732,1997-09-28,b573e334c7e330bf0a3ebb99b1fe4b69ce7b29908d93c9e2dc37125e6780aa51,Analist Studiul Materialelor
136,0234 290 768,2006-12-18,6d7afa41b87540ce5f122327c9c2973b73a027050bcf328e7a48db56854d35e3,Pregatitor Paste Chimice
137,0247 117 039,2011-11-24,96faf5f999ee32d1b2f96846cff6ca54d395c49edc5f512a62a87dca20723ec9,Extractorist In Chimie
138,0747 705 806,2016-11-22,94854bb550c5f8003c7a856e0d4783a200207f14585ae95a1e357e93a2a9c8ae,Mecanic Pentru Intretinerea Aparatelor De Lansare La Zbor
139,0241 812 451,1994-07-07,bfbd24711f971454790d47fc7ecfb3d32a1cf89cbc669cccc4db4c6c6b3d4f6b,Miner La Suprafata
140,0732 690 156,1957-03-06,6349d9d32f0176e25406458df105a3cb239325efb4edb3034241b6999b74a421,Sef Birou/Serviciu Administrativ
141,0255 703 940,1920-10-24,33fe4ec3bc673450ae92d33c5e3bf25ca5c30782ddaaa7f030f749102a69ac7b,Ambalator Manual
142,0241 335 547,1976-04-06,0e7dbde7ff0410464d86ead014bb8d6aef8c6568a33390d1aa1bf39d0aff15f3,Turnator Fonta Pe Banda
143,0251 646 167,1945-06-17,c7c04c526c5a1c719f3be7ddcf5e5fb509c9f4b63097bc6b61adee504da8093d,Referent De Specialitate Inginer Zootehnist
144,0753 080 226,2022-01-28,fb245329041c5568abc2353643d76769317eb0fb3bb01768558ea8e3757602f7,Manechin
145,0739 464 760,1942-02-28,380343d69c29f1c657ece5087c1947da807c8ae3a23653a32d58f561c4acb9d5,Operator La Prelucrarea Tuburilor Din Sticla
146,0772 583 872,1965-11-16,d5d3c3cc02112e6b7d08c9172bd2f91c01bf9680dedae161d877bbfaad08e0d5,Asistent De Cercetare In Energetica Industriala
147,0724 740 659,1970-09-29,9cb8bce4ef6193542d41ac23d3860aa501141effc95168bd178583ded5550ca7,Ghid Montan
148,0748 211 551,1979-10-12,7062909f7adbdbf723d59a073388f79a0267d2cf1b437a4711f02e07a4b588bd,Manager Relatia Cu Furnizorii
149,0241 030 444,2021-08-10,4bc8b72444afd026b0b7f11e8469218775d7dad0cbbdb9d93271c44b66b8947a,Inginer Mecanic Utilaj Tehnologic Petrolier
150,0256 507 361,2008-10-03,bd5c26e8f93b7e50586f3af388e215c262ab42de1ce3e909cb7be6f571f1b485,Analist Calitate
151,0741 959 643,1932-09-07,8d65c7cdbf1b4b843f52559f0bfdd931bec3194986affcb65c4c1c33b0ac664d,Repasator
152,0767 373 066,2018-10-08,62410d358a5ef145fb98926db5736a56df9fca371be07243e462464102be20a4,Inginer De Cercetare In Tehnologia Substantelor Organice
153,0764 301 664,1980-08-11,8a4b00b3acd8afe8f1da679f6a08bdde93e7cb26463fab9613080e0cc2bf53ba,Impingator Vagoneti
154,0264 235 486,1998-10-04,877fe7edf876930be765453e983ea2cc98b58d06a12100b8af38b8a456a8de78,Pregatitor Placi Fibrolemnoase Si Hartie Pentru Filme
155,0239 287 861,1973-01-02,beb4907dc2edb57364d2a3c83644e60ee511d3888386bdcd4db1c73f758335fa,Tinichigiu Sisteme De Acoperisuri Si Invelitori
156,0772 050 814,1916-09-26,03012655eaeb2c03e16de73c902bc93521e61dc53b09c31d07d99d52c3dcbca6,Director De Club (Hotelier)
157,0780 737 091,1997-05-29,dbe32e90375dfc050b6ecbcf95c73e0ca359a5f5d3a2e2e65aeb6a53df12dd5a,Polizator
158,0711 393 629,2003-04-03,feaa1ffad1e925b4946a7ff38ddb48e8cfa900402551d76977267db620f8f3a4,Masinist La Masini Speciale Fara Aschiere
159,0772 705 630,2017-01-19,f30df52423302a610591a3c897ec2ac26bb7da1725087691e6bbfa5d82e1f292,Bibliotecar (Studii Superioare)
160,0255 803 262,1980-04-02,bcb8a240e91e97b119086a914cb74a67ba502c0fb02ee53756e37865e71dfea5,Tehnician Mecanic
161,0764 370 020,1966-05-17,0414139e6a5d7c6c8ae59bc5ccc5bb36ecd6667f431b199964dacfafaa65e7ea,Referent Inginer Petrolist
162,0266 703 328,1971-12-20,2129fb85247f6f0e91405b80ba8950fcd143250dc4e98d76f69b3d9726b90d97,Cenzor
163,0788 053 797,1929-08-22,6632ce039e4726a88ed171b0a50adc338f7d2745d4df8db907627e7b1a85452f,Cercetator In Etnologie
164,0749 349 560,1931-03-02,07ed654ba99129c1b6413c8a0225d743700f1ac630fcbe31ba9c207ad216f9a6,Analist Credite
165,0729 824 219,1934-12-14,75cb84ae794c4cbd7b96d41aeca2fa66c43ab7136f971f7d82e22cef0dd8714b,Inginer De Cercetare In Centrale Termoelectrice
166,021 609 8968,2016-12-22,ab73d7aa0044e0a6e8337ef7e95e535fa9d6717326692ac1af40a5c7477ca3e6,Supraveghetor De Noapte Servicii Sociale
167,0747 078 731,1934-03-31,19ee62bf1b4aa0e8da3c998cd84321276e5f83c2406741e353b6734531e1b48f,Innodator Fire De Matase Naturala
168,0256 141 851,2014-12-27,2e0deb77dda71e74389af4a0253c3fff8e721724baee4748b24a35f383d84357,Bibliograf
169,0245 737 204,1998-02-07,8bd7f856bee38a6b28babfb53fc5bbaf6b5af4e9fc610f1efe61a97f14489049,"Inginer De Cercetare In Tehnologia Chimica A Produselor Textile, Pieii, Blanurilor Si Inlocuitorilor"
170,0757 744 180,1978-03-27,9c30b4c44c5c038449eb4c4ac6cd7f23f9a2655e544601bdb219abb6cd23d959,Asistent De Cercetare In Geodezie
171,0241 180 246,1936-11-26,0fbccdeb70c2b9dfe78844ac5337e020a41339a2d6bb54f8e7c70a52e2a0a432,Presator Piese Din Pulberi Metalice
172,0768 000 626,1946-05-16,5ba0fd8be2ee4ad5ae9b7241a46eca248871b29b724efd624a45b2859398e3fa,Cercetator Economist In Management
